代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300448.SZ,浩云科技,2015-04-24,N/A,18.95,22.74,18.95,22.74,8700,197230,N/A,N/A,22.6701,0.0435,454800000,N/A,1819200000,20000000,0,80000000,31.8853,7.4836,4.7097,160.531,
300448.SZ,浩云科技,2015-04-27,22.74,25.01,25.01,25.01,25.01,6700,167567,2.27,9.9824,25.01,0.0335,500200000,N/A,2000800000,20000000,0,80000000,35.0682,8.2306,5.1798,176.5558,
300448.SZ,浩云科技,2015-04-28,25.01,27.51,27.51,27.51,27.51,3700,101787,2.5,9.996,27.51,0.0185,550200000,N/A,2200800000,20000000,0,80000000,38.5736,9.0533,5.6976,194.2044,
300448.SZ,浩云科技,2015-04-29,27.51,30.26,30.26,30.26,30.26,3600,108936,2.75,9.9964,30.26,0.018,605200000,N/A,2420800000,20000000,0,80000000,42.4296,9.9584,6.2671,213.6178,
300448.SZ,浩云科技,2015-04-30,30.26,33.29,33.29,33.29,33.29,7200,239688,3.03,10.0132,33.29,0.036,665800000,N/A,2663200000,20000000,0,80000000,46.6781,10.9555,6.8947,235.0078,
300448.SZ,浩云科技,2015-05-04,33.29,36.62,36.62,36.62,36.62,7000,256340,3.33,10.003,36.62,0.035,732400000,N/A,2929600000,20000000,0,80000000,51.3474,12.0514,7.5843,258.5156,
300448.SZ,浩云科技,2015-05-05,36.62,40.28,40.28,40.28,40.28,29500,1188260,3.66,9.9945,40.28,0.1475,805600000,N/A,3222400000,20000000,0,80000000,56.4793,13.2559,8.3424,284.353,
300448.SZ,浩云科技,2015-05-06,40.28,44.31,44.31,44.31,44.31,40600,1798986,4.03,10.005,44.31,0.203,886200000,N/A,3544800000,20000000,0,80000000,62.13,14.5821,9.177,312.8025,
300448.SZ,浩云科技,2015-05-07,44.31,48.74,48.74,48.74,48.74,114595,5585360.3,4.43,9.9977,48.74,0.573,974800000,N/A,3899200000,20000000,0,80000000,68.3416,16.04,10.0945,344.0757,
300448.SZ,浩云科技,2015-05-08,48.74,53.61,53.61,53.61,53.61,48200,2584002,4.87,9.9918,53.61,0.241,1072200000,N/A,4288800000,20000000,0,80000000,75.1702,17.6427,11.1031,378.455,
300448.SZ,浩云科技,2015-05-11,53.61,58.97,58.97,58.97,58.97,21000,1238370,5.36,9.9981,58.97,0.105,1179400000,N/A,4717600000,20000000,0,80000000,82.6858,19.4066,12.2132,416.2934,
300448.SZ,浩云科技,2015-05-12,58.97,64.87,64.87,64.87,64.87,16005,1038244.4,5.9,10.0051,64.87,0.08,1297400000,N/A,5189600000,20000000,0,80000000,90.9586,21.3483,13.4352,457.9439,
300448.SZ,浩云科技,2015-05-13,64.87,71.36,71.36,71.36,71.36,25800,1841088,6.49,10.0046,71.36,0.129,1427200000,N/A,5708800000,20000000,0,80000000,100.0587,23.4841,14.7793,503.7595,
300448.SZ,浩云科技,2015-05-14,71.36,78.5,78.5,78.5,78.5,22350,1754475,7.14,10.0056,78.5,0.1118,1570000000,N/A,6280000000,20000000,0,80000000,110.0701,25.8338,16.2581,554.1637,
300448.SZ,浩云科技,2015-05-15,78.5,86.35,86.35,86.35,86.35,34702,2996517.7,7.85,10,86.35,0.1735,1727000000,N/A,6908000000,20000000,0,80000000,121.0771,28.4172,17.8839,609.5801,
300448.SZ,浩云科技,2015-05-18,86.35,94.99,94.99,94.99,94.99,32400,3077676,8.64,10.0058,94.99,0.162,1899800000,N/A,7599200000,20000000,0,80000000,133.1919,31.2605,19.6733,670.5734,
300448.SZ,浩云科技,2015-05-19,94.99,104.49,104.49,104.49,104.49,35300,3688497,9.5,10.0011,104.49,0.1765,2089800000,N/A,8359200000,20000000,0,80000000,146.5124,34.3869,21.6409,737.6378,
300448.SZ,浩云科技,2015-05-20,104.49,114.94,114.94,114.94,114.94,22250,2557415,10.45,10.001,114.94,0.1113,2298800000,N/A,9195200000,20000000,0,80000000,161.1651,37.8259,23.8051,811.4086,
300448.SZ,浩云科技,2015-05-21,114.94,126.43,126.43,126.43,126.43,25150,3179714.5,11.49,9.9965,126.43,0.1258,2528600000,N/A,10114400000,20000000,0,80000000,177.276,41.6072,26.1848,892.5212,
300448.SZ,浩云科技,2015-05-22,126.43,139.07,139.07,139.07,139.07,50350,7002174.5,12.64,9.9976,139.07,0.2518,2781400000,N/A,11125600000,20000000,0,80000000,194.9994,45.7669,28.8027,981.7521,
300448.SZ,浩云科技,2015-05-25,139.07,152.98,152.98,152.98,152.98,136000,20805280,13.91,10.0022,152.98,0.68,3059600000,N/A,12238400000,20000000,0,80000000,214.5035,50.3446,31.6836,1079.9486,
300448.SZ,浩云科技,2015-05-26,152.98,168.28,168.28,168.28,168.28,67293,11324066,15.3,10.0013,168.28,0.3365,3365600000,N/A,13462400000,20000000,0,80000000,235.9567,55.3798,34.8524,1187.9575,
300448.SZ,浩云科技,2015-05-27,168.28,185.11,185.11,185.11,185.11,29810,5518129.1,16.83,10.0012,185.11,0.1491,3702200000,N/A,14808800000,20000000,0,80000000,259.5552,60.9184,38.338,1306.7675,
300448.SZ,浩云科技,2015-05-28,185.11,203.62,203.62,203.62,203.62,801297,163160095.1,18.51,9.9995,203.62,4.0065,4072400000,N/A,16289600000,20000000,0,80000000,285.5093,67.0099,42.1716,1437.4371,
300448.SZ,浩云科技,2015-05-29,203.62,191,223.98,183.7,223.98,10949019,2265340034.5,20.36,9.999,206.8989,54.7451,4479600000,N/A,17918400000,20000000,0,80000000,314.0574,73.7102,46.3883,1581.1666,
300448.SZ,浩云科技,2015-06-01,223.98,224.9,226,201.58,202,8195388,1704813440.1,-21.98,-9.8134,208.0211,40.9769,4040000000,N/A,16160000000,20000000,0,80000000,283.2378,66.4768,41.8361,1426.0009,
300448.SZ,浩云科技,2015-06-02,202,207,216.81,199,208.85,7029234,1464381589.8,6.85,3.3911,208.3273,35.1462,4177000000,N/A,16708000000,20000000,0,80000000,292.8426,68.731,43.2548,1474.3578,
300448.SZ,浩云科技,2015-06-03,208.85,195.5,199,187.97,190.11,6246041,1193592948.5,-18.74,-8.9729,191.0959,31.2302,3802200000,N/A,15208800000,20000000,0,80000000,266.566,62.5638,39.3736,1342.0645,
300448.SZ,浩云科技,2015-06-04,190.11,194.55,199.99,173.48,183.5,4585850,860817597.1,-6.61,-3.4769,187.7117,22.9292,3670000000,N/A,14680000000,20000000,0,80000000,257.2977,60.3885,38.0046,1295.4017,
300448.SZ,浩云科技,2015-06-05,183.5,186.77,189.58,173.03,179.5,4799432,871894725.9,-4,-2.1798,181.6662,23.9972,3590000000,N/A,14360000000,20000000,0,80000000,251.689,59.0722,37.1761,1267.1641,
300448.SZ,浩云科技,2015-06-08,179.5,176,183.25,161.55,161.55,4901990,829904327.7,-17.95,-10,169.2995,24.5099,3231000000,N/A,12924000000,20000000,0,80000000,226.5201,53.165,33.4585,1140.4478,
300448.SZ,浩云科技,2015-06-09,161.55,155.5,164.64,155.5,160.71,3534780,568557380.7,-0.84,-0.52,160.8466,17.6739,3214200000,N/A,12856800000,20000000,0,80000000,225.3423,52.8885,33.2845,1134.5178,
300448.SZ,浩云科技,2015-06-10,160.71,158,176.78,158,176.78,3423565,580863669.8,16.07,9.9994,169.6663,17.1178,3535600000,N/A,14142400000,20000000,0,80000000,247.8751,58.177,36.6128,1247.9625,
300448.SZ,浩云科技,2015-06-11,176.78,172,182.97,170,178.5,4078820,729782077,1.72,0.973,178.9199,20.3941,3570000000,N/A,14280000000,20000000,0,80000000,250.2868,58.7431,36.969,1260.1047,
300448.SZ,浩云科技,2015-06-12,178.5,175,179,160.65,160.65,4085138,680501790.4,-17.85,-10,166.5799,20.4257,3213000000,N/A,12852000000,20000000,0,80000000,225.2582,52.8688,33.2721,1134.0942,
300448.SZ,浩云科技,2015-06-15,160.65,155.5,155.5,144.59,144.59,2415892,354568111,-16.06,-9.9969,146.7649,12.0795,2891800000,N/A,11567200000,20000000,0,80000000,202.7394,47.5835,29.9459,1020.7201,
300448.SZ,浩云科技,2015-06-16,144.59,135,148,133.6,139.46,3012429,425579854.8,-5.13,-3.548,141.2747,15.0621,2789200000,N/A,11156800000,20000000,0,80000000,195.5462,45.8953,28.8835,984.5053,
300448.SZ,浩云科技,2015-06-17,139.46,137.13,143.6,137.13,142.27,2038682,286870477,2.81,2.0149,140.7137,10.1934,2845400000,N/A,11381600000,20000000,0,80000000,199.4863,46.82,29.4654,1004.3423,
300448.SZ,浩云科技,2015-06-18,142.27,141,141,128.04,128.04,2870187,379721583.3,-14.23,-10.0021,132.2986,14.3509,2560800000,N/A,10243200000,20000000,0,80000000,179.5335,42.1371,26.5183,903.8868,
300448.SZ,浩云科技,2015-06-19,128.04,121.1,125.97,115.24,115.24,2321020,278424616.7,-12.8,-9.9969,119.9579,11.6051,2304800000,N/A,9219200000,20000000,0,80000000,161.5857,37.9247,23.8673,813.5264,
300448.SZ,浩云科技,2015-06-23,115.24,117.9,126.76,115,126.76,3259287,397452634,11.52,9.9965,121.9447,16.2964,2535200000,N/A,10140800000,20000000,0,80000000,177.7387,41.7158,26.2532,894.8508,
300448.SZ,浩云科技,2015-06-24,126.76,128.16,129,118.11,120.8,2909752,359852209.9,-5.96,-4.7018,123.6711,14.5488,2416000000,N/A,9664000000,20000000,0,80000000,169.3818,39.7544,25.0188,852.7767,
300448.SZ,浩云科技,2015-06-25,120.8,121.79,124,115.55,118.61,2253366,270715321.4,-2.19,-1.8129,120.1382,11.2668,2372200000,N/A,9488800000,20000000,0,80000000,166.3111,39.0337,24.5652,837.3167,
300448.SZ,浩云科技,2015-06-26,118.61,113.35,114.8,106.75,106.75,1415832,154800546.1,-11.86,-9.9992,109.3354,7.0792,2135000000,N/A,8540000000,20000000,0,80000000,149.6813,35.1307,22.1089,753.592,
300448.SZ,浩云科技,2015-06-29,106.75,107.55,109,96.08,96.08,1838990,180355886,-10.67,-9.9953,98.0733,9.195,1921600000,N/A,7686400000,20000000,0,80000000,134.7202,31.6192,19.8991,678.2681,
300448.SZ,浩云科技,2015-06-30,96.08,92.76,99.9,86.47,96.59,2801338,263524342.9,0.51,0.5308,94.0709,14.0067,1931800000,N/A,7727200000,20000000,0,80000000,135.4353,31.7871,20.0047,681.8684,
300448.SZ,浩云科技,2015-07-01,96.59,91.88,99.68,86.93,86.93,2911578,275578351.4,-9.66,-10.001,94.6491,14.5579,1738600000,N/A,6954400000,20000000,0,80000000,121.8904,28.608,18.004,613.6745,
300448.SZ,浩云科技,2015-07-02,86.93,83,83.99,78.24,78.24,2060948,165025977.1,-8.69,-9.9965,80.0728,10.3047,1564800000,N/A,6259200000,20000000,0,80000000,109.7056,25.7482,16.2042,552.3282,
300448.SZ,浩云科技,2015-07-03,78.24,73.12,83.37,70.42,77.7,2928932,221770665.6,-0.54,-0.6902,75.7172,14.6447,1554000000,N/A,6216000000,20000000,0,80000000,108.9484,25.5705,16.0924,548.5162,
300448.SZ,浩云科技,2015-07-06,77.7,85.47,85.47,69.93,74,2574888,201151754.2,-3.7,-4.7619,78.1206,12.8744,1480000000,N/A,5920000000,20000000,0,80000000,103.7604,24.3529,15.3261,522.3964,
300448.SZ,浩云科技,2015-07-07,74,68,68,66.6,66.6,659436,44097615,-7.4,-10,66.8717,3.2972,1332000000,N/A,5328000000,20000000,0,80000000,93.3843,21.9176,13.7935,470.1567,
300448.SZ,浩云科技,2015-07-08,66.6,59.94,60.9,59.94,59.94,2796846,167726545.8,-6.66,-10,59.9699,13.9842,1198800000,N/A,4795200000,20000000,0,80000000,84.0459,19.7258,12.4141,423.1411,
300448.SZ,浩云科技,2015-07-09,59.94,55.8,65.93,55.8,65.93,2147263,138059383.8,5.99,9.9933,64.2955,10.7363,1318600000,N/A,5274400000,20000000,0,80000000,92.4449,21.6971,13.6547,465.4269,
300448.SZ,浩云科技,2015-07-10,65.93,70.98,72.52,69.81,72.52,631311,45189139.1,6.59,9.9954,71.5798,3.1566,1450400000,N/A,5801600000,20000000,0,80000000,101.6852,23.8658,15.0196,511.9484,
300448.SZ,浩云科技,2015-07-13,72.52,79,79.77,77.88,79.77,1849746,146553997.9,7.25,9.9972,79.2293,9.2487,1595400000,N/A,6381600000,20000000,0,80000000,111.8509,26.2517,16.5211,563.1292,
300448.SZ,浩云科技,2015-07-14,79.77,83,87.75,80.67,87.75,1817127,156176369.4,7.98,10.0038,85.9469,9.0856,1755000000,N/A,7020000000,20000000,0,80000000,123.0402,28.8779,18.1738,619.4633,
300448.SZ,浩云科技,2015-07-15,87.75,90,90,78.98,78.98,2905012,235829238.8,-8.77,-9.9943,81.1801,14.5251,1579600000,N/A,6318400000,20000000,0,80000000,110.7432,25.9918,16.3575,557.5522,
300448.SZ,浩云科技,2015-07-16,78.98,71.33,84.5,71.29,80.5,1571339,124638824.4,1.52,1.9245,79.3201,7.8567,1610000000,N/A,6440000000,20000000,0,80000000,112.8745,26.492,16.6723,568.2825,
