´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
002058.SZ,Íþ¶ûÌ©,2006-08-02,N/A,3.8702,5.1183,3.8702,4.6897,10776887,114047262.1,N/A,N/A,10.5826,74.8395,160704000,N/A,696036254.4,14400000,0,62368840,52.8403,7.0851,5.3903,132.025,
002058.SZ,Íþ¶ûÌ©,2006-08-03,4.6897,4.3073,4.6182,4.2863,4.3283,5742445,60247899.5,-0.3614,-7.7061,10.4917,39.8781,148320000,N/A,642399052,14400000,0,62368840,48.7683,6.5392,4.9749,121.851,
002058.SZ,Íþ¶ûÌ©,2006-08-04,4.3283,4.2442,4.3073,4.0257,4.0551,3647013,35916303.7,-0.2731,-6.3107,9.8481,25.3265,138960000,N/A,601859306,14400000,0,62368840,45.6907,6.1265,4.661,114.1614,
002058.SZ,Íþ¶ûÌ©,2006-08-07,4.0551,4.0089,4.177,3.9711,4.1686,2199044,21434885.3,0.1135,2.7979,9.7474,15.2711,142848000,N/A,618698892.8,14400000,0,62368840,46.9691,6.2979,4.7914,117.3555,
002058.SZ,Íþ¶ûÌ©,2006-08-08,4.1686,4.2274,4.53,4.2022,4.3619,3572452,37036289.8,0.1933,4.6371,10.3672,24.8087,149472000,N/A,647388559.2,14400000,0,62368840,49.1471,6.5899,5.0136,122.7974,
002058.SZ,Íþ¶ûÌ©,2006-08-09,4.3619,4.2821,4.3073,4.1182,4.2274,2275223,22807141.7,-0.1345,-3.0829,10.0241,15.8002,144864000,N/A,627430530.4,14400000,0,62368840,47.632,6.3868,4.859,119.0118,
002058.SZ,Íþ¶ûÌ©,2006-08-10,4.2274,4.1686,4.4123,4.156,4.4123,2468577,25195706.6,0.1849,4.3738,10.2066,17.1429,151200000,N/A,654872820,14400000,0,62368840,49.7153,6.6661,5.0715,124.2171,
002058.SZ,Íþ¶ûÌ©,2006-08-11,4.4123,4.3619,4.8115,4.3493,4.6518,4922629,53362943.7,0.2395,5.4286,10.8403,34.1849,159408000,N/A,690423058.8,14400000,0,62368840,52.4141,7.028,5.3468,130.9603,
002058.SZ,Íþ¶ûÌ©,2006-08-14,4.6518,4.5972,4.9502,4.572,4.7191,4822944,54587920.5,0.0672,1.4453,11.3184,33.4927,161712000,N/A,700402073.2,14400000,0,62368840,53.1717,7.1296,5.4241,132.8531,
002058.SZ,Íþ¶ûÌ©,2006-08-15,4.7191,4.6939,4.9334,4.5804,4.7821,2617986,29615983.3,0.063,1.3357,11.3125,18.1805,163872000,N/A,709757399.2,14400000,0,62368840,53.8819,7.2248,5.4966,134.6276,
002058.SZ,Íþ¶ûÌ©,2006-08-16,4.7821,4.7485,4.8283,4.6687,4.7863,1932390,21771946.6,0.0042,0.0879,11.2668,13.4194,164016000,N/A,710381087.6,14400000,0,62368840,53.9293,7.2312,5.5014,134.7459,
002058.SZ,Íþ¶ûÌ©,2006-08-17,4.7863,4.7275,4.7443,4.5804,4.6392,1776159,19646425.6,-0.1471,-3.0729,11.0612,12.3344,158976000,N/A,688551993.6,14400000,0,62368840,52.2721,7.009,5.3324,130.6054,
002058.SZ,Íþ¶ûÌ©,2006-08-18,4.6392,4.6014,5.0805,4.5846,4.9124,3650287,42324049.1,0.2731,5.8877,11.5947,25.3492,168336000,N/A,729091739.6,14400000,0,62368840,55.3497,7.4216,5.6463,138.295,
002058.SZ,Íþ¶ûÌ©,2006-08-21,4.9124,4.7569,5.3746,4.7527,5.2654,4310199,52222327.9,0.353,7.1856,12.116,29.9319,180432000,N/A,781481565.2,14400000,0,62368840,59.3269,7.9549,6.052,148.2323,
002058.SZ,Íþ¶ûÌ©,2006-08-22,5.2654,5.2149,5.3158,5.1141,5.1771,2830479,35011349.9,-0.0882,-1.676,12.3694,19.6561,177408000,N/A,768384108.8,14400000,0,62368840,58.3326,7.8216,5.9506,145.748,
002058.SZ,Íþ¶ûÌ©,2006-08-23,5.1771,5.1687,5.2486,5.0553,5.2149,2081039,25486294,0.0378,0.7305,12.2469,14.4517,178704000,N/A,773997304.4,14400000,0,62368840,58.7587,7.8787,5.9941,146.8127,
002058.SZ,Íþ¶ûÌ©,2006-08-24,5.2149,5.1687,5.5301,5.1477,5.404,3289646,41828845.2,0.1891,3.6261,12.7153,22.8448,185184000,N/A,802063282.4,14400000,0,62368840,60.8894,8.1644,6.2114,152.1363,
002058.SZ,Íþ¶ûÌ©,2006-08-25,5.404,5.3578,5.5427,5.1771,5.2107,3526177,44641948.3,-0.1933,-3.577,12.6602,24.4873,178560000,N/A,773373616,14400000,0,62368840,58.7114,7.8724,5.9892,146.6944,
002058.SZ,Íþ¶ûÌ©,2006-08-28,5.2107,5.1813,5.3242,5.1687,5.2191,1757671,21916185,0.0084,0.1613,12.4689,12.206,178848000,N/A,774620992.8,14400000,0,62368840,58.8061,7.8851,5.9989,146.931,
002058.SZ,Íþ¶ûÌ©,2006-08-29,5.2191,5.2318,5.4124,5.2107,5.2738,2043394,25936087.8,0.0546,1.0467,12.6927,14.1902,180720000,N/A,782728942,14400000,0,62368840,59.4216,7.9676,6.0617,148.469,
002058.SZ,Íþ¶ûÌ©,2006-08-30,5.2738,5.3158,5.3998,5.236,5.3662,1722587,21813299,0.0924,1.753,12.6631,11.9624,183888000,N/A,796450086.8,14400000,0,62368840,60.4633,8.1073,6.168,151.0716,
002058.SZ,Íþ¶ûÌ©,2006-08-31,5.3662,5.3662,5.3662,5.3662,5.3662,N/A,N/A,0,0,N/A,N/A,183888000,N/A,796450086.8,14400000,0,62368840,60.4633,8.1073,6.168,151.0716,
002058.SZ,Íþ¶ûÌ©,2006-09-01,5.3662,5.3368,5.3368,5.0679,5.1477,2292023,28263177.1,-0.2185,-4.072,12.3311,15.9168,176400000,N/A,764018290,14400000,0,62368840,58.0012,7.7772,5.9168,144.9199,
002058.SZ,Íþ¶ûÌ©,2006-09-04,5.1477,5.1183,5.1813,5.0427,5.1561,1542295,18720418.4,0.0084,0.1633,12.138,10.7104,176688000,N/A,765265666.8,14400000,0,62368840,58.0959,7.7899,5.9264,145.1565,
002058.SZ,Íþ¶ûÌ©,2006-09-05,5.1561,5.1561,5.2065,4.9544,5.0132,1740629,20876610,-0.1429,-2.771,11.9937,12.0877,171792000,N/A,744060261.2,14400000,0,62368840,56.486,7.574,5.7622,141.1342,
002058.SZ,Íþ¶ûÌ©,2006-09-06,5.0132,4.9838,5.2906,4.9712,5.2696,2304003,28401049.9,0.2563,5.1132,12.3268,16,180576000,N/A,782105253.6,14400000,0,62368840,59.3743,7.9613,6.0569,148.3507,
002058.SZ,Íþ¶ûÌ©,2006-09-07,5.2696,5.2738,5.278,5.1435,5.2318,1551696,19244436.2,-0.0378,-0.7177,12.4022,10.7757,179280000,N/A,776492058,14400000,0,62368840,58.9481,7.9041,6.0134,147.2859,
002058.SZ,Íþ¶ûÌ©,2006-09-08,5.2318,5.2149,5.4965,5.1561,5.2528,2340910,29722090,0.021,0.4016,12.6968,16.2563,180000000,N/A,779610500,14400000,0,62368840,59.1849,7.9359,6.0375,147.8774,
002058.SZ,Íþ¶ûÌ©,2006-09-11,5.2528,5.2107,5.257,5.0469,5.1477,1047075,12824547.8,-0.1051,-2,12.248,7.2714,176400000,N/A,764018290,14400000,0,62368840,58.0012,7.7772,5.9168,144.9199,
002058.SZ,Íþ¶ûÌ©,2006-09-12,5.1477,5.1477,5.2023,5.0763,5.1267,823762,10038311.7,-0.021,-0.4082,12.1859,5.7206,175680000,N/A,760899848,14400000,0,62368840,57.7644,7.7454,5.8926,144.3284,
002058.SZ,Íþ¶ûÌ©,2006-09-13,5.1267,5.0973,5.2528,5.0931,5.1183,915236,11288450.7,-0.0084,-0.1639,12.3339,6.3558,175392000,N/A,759652471.2,14400000,0,62368840,57.6697,7.7327,5.883,144.0918,
