代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002631.SZ,德尔未来,2011-11-11,N/A,5.6585,5.8993,5.5405,5.5453,24815533,589883404.6,N/A,N/A,23.7707,77.5485,736960000,N/A,3684800000,32000000,0,160000000,37.6787,13.8343,7.2338,25.4598,
002631.SZ,德尔未来,2011-11-14,5.5453,5.685,5.7043,5.4924,5.6248,11302230,262721234.6,0.0795,1.4329,23.2451,35.3195,747520000,N/A,3737600000,32000000,0,160000000,38.2186,14.0325,7.3374,25.8246,
002631.SZ,德尔未来,2011-11-15,5.6248,5.5622,5.6152,5.4659,5.5983,8409200,193459012,-0.0265,-0.4709,23.0056,26.2788,744000000,N/A,3720000000,32000000,0,160000000,38.0387,13.9664,7.3029,25.703,
002631.SZ,德尔未来,2011-11-16,5.5983,5.5766,5.6272,5.4033,5.449,7224608,166140463.4,-0.1493,-2.6667,22.9965,22.5769,724160000,N/A,3620800000,32000000,0,160000000,37.0243,13.594,7.1081,25.0176,
002631.SZ,德尔未来,2011-11-17,5.449,5.4129,5.4827,5.3094,5.4322,6304255,141358474,-0.0169,-0.3093,22.4227,19.7008,721920000,N/A,3609600000,32000000,0,160000000,36.9098,13.5519,7.0861,24.9402,
002631.SZ,德尔未来,2011-11-18,5.4322,5.372,5.3816,5.2468,5.3214,4659517,102984799.7,-0.1108,-2.039,22.102,14.561,707200000,N/A,3536000000,32000000,0,160000000,36.1572,13.2756,6.9417,24.4317,
002631.SZ,德尔未来,2011-11-21,5.3214,5.3238,5.3527,5.0686,5.1625,3950988,85185459.6,-0.1589,-2.9864,21.5605,12.3468,686080000,N/A,3430400000,32000000,0,160000000,35.0774,12.8791,6.7343,23.702,
002631.SZ,德尔未来,2011-11-22,5.1625,5.0565,5.1191,4.9867,5.0686,2799901,58781853,-0.0939,-1.819,20.9943,8.7497,673600000,N/A,3368000000,32000000,0,160000000,34.4393,12.6449,6.6118,23.2709,
002631.SZ,德尔未来,2011-11-23,5.0686,5.0445,5.1167,5.0084,5.0084,3042180,64054485.6,-0.0602,-1.1876,21.0555,9.5068,665600000,N/A,3328000000,32000000,0,160000000,34.0303,12.4947,6.5333,22.9945,
002631.SZ,德尔未来,2011-11-24,5.0084,4.9289,5.1529,4.7869,5.136,5413697,110979595.4,0.1276,2.5481,20.4998,16.9178,682560000,N/A,3412800000,32000000,0,160000000,34.8974,12.8131,6.6998,23.5804,
002631.SZ,德尔未来,2011-11-25,5.136,5.1769,5.3094,5.1745,5.2155,9823702,213880405,0.0795,1.5471,21.7719,30.6991,693120000,N/A,3465600000,32000000,0,160000000,35.4373,13.0113,6.8034,23.9452,
002631.SZ,德尔未来,2011-11-28,5.2155,5.1769,5.189,5.0228,5.0325,4358482,91944076.6,-0.183,-3.5088,21.0954,13.6203,668800000,N/A,3344000000,32000000,0,160000000,34.1939,12.5547,6.5647,23.1051,
002631.SZ,德尔未来,2011-11-29,5.0325,5.0806,5.0951,4.9337,5.0421,4045342,84009897.8,0.0096,0.1914,20.7671,12.6417,670080000,N/A,3350400000,32000000,0,160000000,34.2593,12.5788,6.5773,23.1493,
002631.SZ,德尔未来,2011-11-30,5.0421,5.0276,5.0276,4.599,4.6448,4117308,82422143.2,-0.3973,-7.8797,20.0185,12.8666,617280000,N/A,3086400000,32000000,0,160000000,31.5598,11.5876,6.059,21.3252,
002631.SZ,德尔未来,2011-12-01,4.6448,4.7869,4.9,4.6785,4.8013,4856515,96551754.2,0.1565,3.3696,19.8809,15.1766,638080000,N/A,3190400000,32000000,0,160000000,32.6233,11.9781,6.2632,22.0438,
002631.SZ,德尔未来,2011-12-02,4.8013,4.7556,4.7556,4.4811,4.5051,4113706,78270241.2,-0.2962,-6.1685,19.0267,12.8553,598720000,N/A,2993600000,32000000,0,160000000,30.6109,11.2392,5.8768,20.684,
002631.SZ,德尔未来,2011-12-05,4.5051,4.4955,4.4955,4.3149,4.3221,2835767,51384382,-0.183,-4.062,18.1201,8.8618,574400000,N/A,2872000000,32000000,0,160000000,29.3675,10.7827,5.6381,19.8438,
002631.SZ,德尔未来,2011-12-06,4.3221,4.286,4.5437,4.2379,4.4979,3738694,68644214.4,0.1758,4.0669,18.3605,11.6834,597760000,N/A,2988800000,32000000,0,160000000,30.5618,11.2212,5.8674,20.6508,
002631.SZ,德尔未来,2011-12-07,4.4979,4.4618,4.6039,4.4377,4.5918,4756677,89585233.5,0.0939,2.0878,18.8336,14.8646,610240000,N/A,3051200000,32000000,0,160000000,31.1999,11.4555,5.9899,21.082,
002631.SZ,德尔未来,2011-12-08,4.5918,4.5653,4.6592,4.5268,4.6352,4519694,86186948.9,0.0433,0.9439,19.0692,14.124,616000000,N/A,3080000000,32000000,0,160000000,31.4944,11.5636,6.0465,21.281,
002631.SZ,德尔未来,2011-12-09,4.6352,4.6809,4.7122,4.5822,4.64,4466691,86067116.8,0.0048,0.1039,19.2687,13.9584,616640000,N/A,3083200000,32000000,0,160000000,31.5271,11.5756,6.0527,21.3031,
002631.SZ,德尔未来,2011-12-12,4.64,4.6231,4.6592,4.4401,4.4979,2721121,51182904.6,-0.1421,-3.0618,18.8095,8.5035,597760000,N/A,2988800000,32000000,0,160000000,30.5618,11.2212,5.8674,20.6508,
002631.SZ,德尔未来,2011-12-13,4.4979,4.4329,4.4666,4.2812,4.2908,1965427,35569187.6,-0.2071,-4.6039,18.0974,6.142,570240000,N/A,2851200000,32000000,0,160000000,29.1548,10.7046,5.5973,19.7001,
002631.SZ,德尔未来,2011-12-14,4.2908,4.2836,4.3486,4.0982,4.1006,1819835,31858723.7,-0.1902,-4.4332,17.5064,5.687,544960000,N/A,2724800000,32000000,0,160000000,27.8623,10.23,5.3492,18.8268,
002631.SZ,德尔未来,2011-12-15,4.1006,4.1078,4.1102,3.9321,3.9441,1653854,27486480.5,-0.1565,-3.8168,16.6197,5.1683,524160000,N/A,2620800000,32000000,0,160000000,26.7988,9.8396,5.145,18.1082,
002631.SZ,德尔未来,2011-12-16,3.9441,3.985,4.0597,3.8598,4.05,2003091,32820000,0.1059,2.6862,16.3847,6.2597,538240000,N/A,2691200000,32000000,0,160000000,27.5187,10.1039,5.2832,18.5946,
002631.SZ,德尔未来,2011-12-19,4.05,3.9995,4.0019,3.8526,3.9802,1987523,32391605.9,-0.0698,-1.7241,16.2975,6.211,528960000,N/A,2644800000,32000000,0,160000000,27.0443,9.9297,5.1921,18.274,
002631.SZ,德尔未来,2011-12-20,3.9802,3.9393,4.0428,3.9272,3.9345,1663797,27538732.1,-0.0457,-1.1494,16.5517,5.1994,522880000,N/A,2614400000,32000000,0,160000000,26.7334,9.8155,5.1324,18.064,
002631.SZ,德尔未来,2011-12-21,3.9345,3.973,4.0067,3.7322,3.7322,2117834,34145266.1,-0.2023,-5.1408,16.1227,6.6182,496000000,N/A,2480000000,32000000,0,160000000,25.3591,9.3109,4.8686,17.1353,
002631.SZ,德尔未来,2011-12-22,3.7322,3.6768,3.7442,3.4914,3.6696,3009978,45084941.6,-0.0626,-1.6774,14.9785,9.4062,487680000,N/A,2438400000,32000000,0,160000000,24.9337,9.1548,4.7869,16.8479,
002631.SZ,德尔未来,2011-12-23,3.6696,3.6696,3.7707,3.6383,3.6889,2600034,40102457.3,0.0193,0.5249,15.4238,8.1251,490240000,N/A,2451200000,32000000,0,160000000,25.0646,9.2028,4.812,16.9363,
002631.SZ,德尔未来,2011-12-26,3.6889,3.6889,3.6889,3.5661,3.5757,1773618,26669012.5,-0.1132,-3.0679,15.0365,5.5426,475200000,N/A,2376000000,32000000,0,160000000,24.2957,8.9205,4.6644,16.4168,
002631.SZ,德尔未来,2011-12-27,3.5757,3.542,3.5757,3.3734,3.3734,2041737,29275068.8,-0.2023,-5.6566,14.3383,6.3804,448320000,N/A,2241600000,32000000,0,160000000,22.9214,8.4159,4.4006,15.4881,
002631.SZ,德尔未来,2011-12-28,3.3734,3.3469,3.4433,3.306,3.4288,1696651,23692840.8,0.0554,1.6417,13.9645,5.302,455680000,N/A,2278400000,32000000,0,160000000,23.2977,8.554,4.4728,15.7424,
002631.SZ,德尔未来,2011-12-29,3.4288,3.3951,3.5011,3.3734,3.4722,2190682,31494609.6,0.0433,1.264,14.3766,6.8459,461440000,N/A,2307200000,32000000,0,160000000,23.5921,8.6622,4.5293,15.9414,
002631.SZ,德尔未来,2011-12-30,3.4722,3.5396,3.6335,3.5131,3.607,3186251,47286148,0.1348,3.8835,14.8407,9.957,479360000,N/A,2396800000,32000000,0,160000000,24.5083,8.9986,4.7052,16.5605,
002631.SZ,德尔未来,2012-01-04,3.607,3.5853,3.6022,3.4505,3.4553,2247713,33041508.2,-0.1517,-4.2056,14.7001,7.0241,459200000,N/A,2296000000,32000000,0,160000000,26.5347,1.9334,4.4253,3.2334,
002631.SZ,德尔未来,2012-01-05,3.4553,3.3903,3.4336,3.2025,3.2386,2276543,31310977.4,-0.2167,-6.2718,13.7537,7.1142,430400000,N/A,2152000000,32000000,0,160000000,24.8705,1.8121,4.1478,3.0306,
002631.SZ,德尔未来,2012-01-06,3.2386,3.2025,3.3903,3.1664,3.3494,1808159,24692025,0.1108,3.4201,13.6559,5.6505,445120000,N/A,2225600000,32000000,0,160000000,25.7211,1.8741,4.2896,3.1342,
002631.SZ,德尔未来,2012-01-09,3.3494,3.3349,3.5035,3.3253,3.4914,2690718,38201061.2,0.1421,4.2416,14.1973,8.4085,464000000,N/A,2320000000,32000000,0,160000000,26.8121,1.9536,4.4716,3.2672,
002631.SZ,德尔未来,2012-01-10,3.4914,3.4673,3.607,3.4384,3.5637,3703564,54209505.2,0.0722,2.069,14.6371,11.5736,473600000,N/A,2368000000,32000000,0,160000000,27.3668,1.994,4.5641,3.3348,
002631.SZ,德尔未来,2012-01-11,3.5637,3.6118,3.7563,3.5829,3.5901,4444482,67519077.2,0.0265,0.7432,15.1917,13.889,477120000,N/A,2385600000,32000000,0,160000000,27.5702,2.0088,4.598,3.3596,
002631.SZ,德尔未来,2012-01-12,3.5901,3.5516,3.6239,3.5227,3.5396,2446083,36224669,-0.0506,-1.4085,14.8093,7.644,470400000,N/A,2352000000,32000000,0,160000000,27.1819,1.9805,4.5332,3.3122,
002631.SZ,德尔未来,2012-01-13,3.5396,3.5396,3.6094,3.3301,3.3518,2447691,35451106.4,-0.1878,-5.3061,14.4835,7.649,445440000,N/A,2227200000,32000000,0,160000000,25.7396,1.8754,4.2927,3.1365,
002631.SZ,德尔未来,2012-01-16,3.3518,3.294,3.3012,3.1784,3.2025,1559892,20926397.1,-0.1493,-4.454,13.4153,4.8747,425600000,N/A,2128000000,32000000,0,160000000,24.5931,1.7919,4.1015,2.9968,
002631.SZ,德尔未来,2012-01-17,3.2025,3.1928,3.4336,3.1808,3.4096,1991212,27379581.2,0.2071,6.4662,13.7502,6.2225,453120000,N/A,2265600000,32000000,0,160000000,26.1834,1.9078,4.3667,3.1906,
002631.SZ,德尔未来,2012-01-18,3.4096,3.3831,3.4288,3.253,3.2627,1595864,22180208.4,-0.1469,-4.3079,13.8986,4.9871,433600000,N/A,2168000000,32000000,0,160000000,25.0554,1.8256,4.1786,3.0531,
002631.SZ,德尔未来,2012-01-19,3.2627,3.294,3.3373,3.229,3.2675,1482435,20209125.9,0.0048,0.1476,13.6324,4.6326,434240000,N/A,2171200000,32000000,0,160000000,25.0924,1.8283,4.1848,3.0576,
002631.SZ,德尔未来,2012-01-20,3.2675,3.229,3.3108,3.2121,3.294,2151250,29222145.9,0.0265,0.8106,13.5838,6.7227,437760000,N/A,2188800000,32000000,0,160000000,25.2958,1.8431,4.2187,3.0824,
002631.SZ,德尔未来,2012-01-30,3.294,3.2868,3.3469,3.2627,3.2868,1326223,18193242.9,-0.0072,-0.2193,13.7181,4.1444,436800000,N/A,2184000000,32000000,0,160000000,25.2403,1.839,4.2094,3.0756,
002631.SZ,德尔未来,2012-01-31,3.2868,3.2868,3.306,3.2386,3.2747,989989,13406162.9,-0.012,-0.3663,13.5417,3.0937,435200000,N/A,2176000000,32000000,0,160000000,25.1479,1.8323,4.194,3.0644,
002631.SZ,德尔未来,2012-02-01,3.2747,3.2747,3.3373,3.2627,3.2771,1040983,14254637,0.0024,0.0735,13.6934,3.2531,435520000,N/A,2177600000,32000000,0,160000000,25.1664,1.8337,4.1971,3.0666,
