代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002262.SZ,恩华药业,2008-07-23,N/A,2.4129,2.8771,2.4072,2.6949,21161576,287362998.5,N/A,N/A,13.5795,88.1732,337200000,N/A,1686000000,24000000,0,120000000,63.251,11.5903,2.0949,193.6627,
002262.SZ,恩华药业,2008-07-24,2.6949,2.7237,2.9634,2.7045,2.9059,14108069,208583450.5,0.211,7.8292,14.7847,58.7836,363600000,N/A,1818000000,24000000,0,120000000,68.203,12.4977,2.2589,208.8249,
002262.SZ,恩华药业,2008-07-25,2.9059,2.7217,2.8675,2.7083,2.7793,7645158,111992939.8,-0.1266,-4.3564,14.6489,31.8548,347760000,N/A,1738800000,24000000,0,120000000,65.2318,11.9532,2.1605,199.7276,
002262.SZ,恩华药业,2008-07-28,2.7793,2.7927,2.8464,2.7141,2.8157,4139381,59867520.5,0.0364,1.3112,14.4629,17.2474,352320000,N/A,1761600000,24000000,0,120000000,66.0871,12.11,2.1888,202.3465,
002262.SZ,恩华药业,2008-07-29,2.8157,2.7716,2.9462,2.762,2.8618,4638070,69565610.4,0.046,1.6349,14.9988,19.3253,358080000,N/A,1790400000,24000000,0,120000000,67.1676,12.3079,2.2246,205.6546,
002262.SZ,恩华药业,2008-07-30,2.8618,2.8771,3.1418,2.8771,3.0401,5366139,83755932.4,0.1784,6.2332,15.6082,22.3589,380400000,N/A,1902000000,24000000,0,120000000,71.3543,13.0751,2.3632,218.4735,
002262.SZ,恩华药业,2008-07-31,3.0401,3.0114,3.1418,2.9155,2.9749,4224239,66102736,-0.0652,-2.1451,15.6484,17.601,372240000,N/A,1861200000,24000000,0,120000000,69.8237,12.7947,2.3126,213.787,
002262.SZ,恩华药业,2008-08-01,2.9749,2.9327,3.1303,2.879,3.0689,3890861,61344104.2,0.094,3.1593,15.7662,16.2119,384000000,N/A,1920000000,24000000,0,120000000,72.0296,13.1989,2.3856,220.5411,
002262.SZ,恩华药业,2008-08-04,3.0689,3.0306,3.1955,2.9922,3.0593,3301259,53350980.6,-0.0096,-0.3125,16.1608,13.7552,382800000,N/A,1914000000,24000000,0,120000000,71.8045,13.1576,2.3782,219.8519,
002262.SZ,恩华药业,2008-08-05,3.0593,3.0152,3.0689,2.8004,2.8771,2824257,42944497.5,-0.1822,-5.9561,15.2056,11.7677,360000000,N/A,1800000000,24000000,0,120000000,67.5277,12.3739,2.2365,206.7573,
002262.SZ,恩华药业,2008-08-06,2.8771,2.8752,2.9001,2.7122,2.762,2272194,33099290.6,-0.1151,-4,14.5671,9.4675,345600000,N/A,1728000000,24000000,0,120000000,64.8266,11.879,2.1471,198.487,
002262.SZ,恩华药业,2008-08-07,2.762,2.7256,2.8963,2.7256,2.8925,1901415,28205887.7,0.1304,4.7222,14.8342,7.9226,361920000,N/A,1809600000,24000000,0,120000000,67.8879,12.4399,2.2484,207.86,
002262.SZ,恩华药业,2008-08-08,2.8925,2.8752,2.9404,2.6182,2.7045,2376484,34410404.6,-0.188,-6.4987,14.4795,9.902,338400000,N/A,1692000000,24000000,0,120000000,63.4761,11.6315,2.1023,194.3519,
002262.SZ,恩华药业,2008-08-11,2.7045,2.6642,2.6661,2.4935,2.5952,2251092,30156343.5,-0.1093,-4.0426,13.3963,9.3796,324720000,N/A,1623600000,24000000,0,120000000,60.91,11.1613,2.0173,186.4951,
002262.SZ,恩华药业,2008-08-12,2.5952,2.551,2.6834,2.5319,2.6009,1161024,15851517.3,0.0058,0.2217,13.653,4.8376,325440000,N/A,1627200000,24000000,0,120000000,61.0451,11.186,2.0218,186.9086,
002262.SZ,恩华药业,2008-08-13,2.6009,2.5549,2.6604,2.4072,2.5894,1481619,19374251.7,-0.0115,-0.4425,13.0764,6.1734,324000000,N/A,1620000000,24000000,0,120000000,60.775,11.1365,2.0129,186.0816,
002262.SZ,恩华药业,2008-08-14,2.5894,2.5491,2.6834,2.5491,2.6278,913938,12527156.4,0.0384,1.4815,13.7068,3.8081,328800000,N/A,1644000000,24000000,0,120000000,61.6753,11.3015,2.0427,188.8383,
002262.SZ,恩华药业,2008-08-15,2.6278,2.6124,2.6661,2.551,2.6278,841081,11459266.8,0,0,13.6245,3.5045,328800000,N/A,1644000000,24000000,0,120000000,61.6753,11.3015,2.0427,188.8383,
002262.SZ,恩华药业,2008-08-18,2.6278,2.6297,2.645,2.4072,2.4129,1040260,13632436.2,-0.2148,-8.1752,13.1048,4.3344,301920000,N/A,1509600000,24000000,0,120000000,56.6333,10.3776,1.8757,173.4005,
002262.SZ,恩华药业,2008-08-19,2.4129,2.3401,2.4513,2.2154,2.3822,1434088,17405629.6,-0.0307,-1.2719,12.1371,5.9754,298080000,N/A,1490400000,24000000,0,120000000,55.913,10.2456,1.8518,171.195,
002262.SZ,恩华药业,2008-08-20,2.3822,2.317,2.5894,2.2499,2.5741,1654254,21155201,0.1918,8.0515,12.7884,6.8927,322080000,N/A,1610400000,24000000,0,120000000,60.4148,11.0706,2.0009,184.9789,
002262.SZ,恩华药业,2008-08-21,2.5741,2.4321,2.5856,2.3784,2.3784,1293450,16508607.5,-0.1956,-7.6006,12.7632,5.3894,297600000,N/A,1488000000,24000000,0,120000000,55.8229,10.2291,1.8488,170.9194,
002262.SZ,恩华药业,2008-08-22,2.3784,2.3592,2.3765,2.2269,2.248,851366,10129523.1,-0.1304,-5.4839,11.898,3.5474,281280000,N/A,1406400000,24000000,0,120000000,52.7617,9.6682,1.7475,161.5464,
