代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002092.SZ,中泰化学,2006-12-08,N/A,3.2518,4.7866,3.2518,4.1751,61758253,696463449,N/A,N/A,11.2773,77.1978,1081600000,N/A,3190720000,80000000,0,236000000,26.152,7.1986,3.0497,-127.5489,
002092.SZ,中泰化学,2006-12-11,4.1751,3.7582,3.7582,3.7582,3.7582,2249600,27377632,-0.4169,-9.9852,12.17,2.812,973600000,N/A,2872120000,80000000,0,236000000,23.5406,6.4798,2.7452,-114.8129,
002092.SZ,中泰化学,2006-12-12,3.7582,3.576,3.6934,3.4124,3.5699,30310081,349485571,-0.1884,-5.0123,11.5303,37.8876,924800000,N/A,2728160000,80000000,0,236000000,22.3607,6.155,2.6076,-109.0581,
002092.SZ,中泰化学,2006-12-13,3.5699,3.5174,3.5452,3.3413,3.4216,17791826,198150137.1,-0.1482,-4.1522,11.1371,22.2398,886400000,N/A,2614880000,80000000,0,236000000,21.4322,5.8994,2.4993,-104.5297,
002092.SZ,中泰化学,2006-12-14,3.4216,3.4309,3.6162,3.4309,3.4741,16567763,189299163.5,0.0525,1.5343,11.4258,20.7097,900000000,N/A,2655000000,80000000,0,236000000,21.7611,5.99,2.5377,-106.1335,
002092.SZ,中泰化学,2006-12-15,3.4741,3.4618,3.5452,3.4278,3.5112,11293388,127490310.3,0.0371,1.0667,11.2889,14.1167,909600000,N/A,2683320000,80000000,0,236000000,21.9932,6.0539,2.5648,-107.2656,
002092.SZ,中泰化学,2006-12-18,3.5112,3.4957,3.5452,3.4278,3.4896,10850964,122341826.6,-0.0216,-0.6157,11.2747,13.5637,904000000,N/A,2666800000,80000000,0,236000000,21.8578,6.0166,2.549,-106.6052,
002092.SZ,中泰化学,2006-12-19,3.4896,3.4803,3.8385,3.4402,3.7459,22091677,263847858,0.2563,7.3451,11.9433,27.6146,970400000,N/A,2862680000,80000000,0,236000000,23.4633,6.4585,2.7362,-114.4355,
002092.SZ,中泰化学,2006-12-20,3.7459,3.6285,3.7304,3.6131,3.6594,9306330,110173037.1,-0.0865,-2.3083,11.8385,11.6329,948000000,N/A,2796600000,80000000,0,236000000,22.9216,6.3094,2.673,-111.794,
002092.SZ,中泰化学,2006-12-21,3.6594,3.6625,3.8447,3.6285,3.6409,10571955,127764243.9,-0.0185,-0.5063,12.0852,13.2149,943200000,N/A,2782440000,80000000,0,236000000,22.8056,6.2775,2.6595,-111.2279,
002092.SZ,中泰化学,2006-12-22,3.6409,3.5977,3.6749,3.4927,3.5205,8776045,100864582.2,-0.1204,-3.3079,11.4932,10.9701,912000000,N/A,2690400000,80000000,0,236000000,22.0512,6.0698,2.5715,-107.5486,
002092.SZ,中泰化学,2006-12-25,3.5205,3.5205,3.6131,3.4772,3.6069,8013349,91944929.4,0.0865,2.4561,11.474,10.0167,934400000,N/A,2756480000,80000000,0,236000000,22.5928,6.2189,2.6347,-110.1902,
002092.SZ,中泰化学,2006-12-26,3.6069,3.6069,3.6069,3.4618,3.471,4608360,52387233.8,-0.1359,-3.7671,11.3679,5.7605,899200000,N/A,2652640000,80000000,0,236000000,21.7417,5.9846,2.5354,-106.0392,
002092.SZ,中泰化学,2006-12-27,3.471,3.4556,3.505,3.4155,3.4371,4915309,54954803.9,-0.034,-0.9786,11.1803,6.1441,890400000,N/A,2626680000,80000000,0,236000000,21.5289,5.9261,2.5106,-105.0014,
002092.SZ,中泰化学,2006-12-28,3.4371,3.4371,3.471,3.258,3.3043,6199443,67093942.3,-0.1328,-3.8634,10.8226,7.7493,856000000,N/A,2525200000,80000000,0,236000000,20.6972,5.6971,2.4136,-100.9448,
002092.SZ,中泰化学,2006-12-29,3.3043,3.3228,3.4433,3.2981,3.3444,4441003,48452360.7,0.0401,1.215,10.9102,5.5513,866400000,N/A,2555880000,80000000,0,236000000,20.9486,5.7663,2.443,-102.1712,
002092.SZ,中泰化学,2007-01-04,3.3444,3.3012,3.4865,3.2765,3.3352,5611985,61315050.8,-0.0093,-0.277,10.9257,7.015,864000000,N/A,2548800000,80000000,0,236000000,19.9613,2.1315,1.5368,15.2738,
002092.SZ,中泰化学,2007-01-05,3.3352,3.329,3.4587,3.3105,3.4587,4020302,44223875.5,0.1235,3.7037,11.0001,5.0254,896000000,N/A,2643200000,80000000,0,236000000,20.7006,2.2105,1.5937,15.8395,
002092.SZ,中泰化学,2007-01-08,3.4587,3.4803,3.5606,3.4371,3.5359,5423011,61353357.2,0.0772,2.2321,11.3135,6.7788,916000000,N/A,2702200000,80000000,0,236000000,21.1627,2.2598,1.6293,16.1931,
002092.SZ,中泰化学,2007-01-09,3.5359,3.5359,3.644,3.5081,3.5915,6700028,77411204.1,0.0556,1.5721,11.5539,8.375,930400000,N/A,2744680000,80000000,0,236000000,21.4953,2.2953,1.6549,16.4477,
002092.SZ,中泰化学,2007-01-10,3.5915,3.5884,3.6285,3.5019,3.5915,6026675,69528643.8,0,0,11.5368,7.5333,930400000,N/A,2744680000,80000000,0,236000000,21.4953,2.2953,1.6549,16.4477,
002092.SZ,中泰化学,2007-01-11,3.5915,3.573,3.7613,3.5513,3.6749,10493336,125037220.6,0.0834,2.3216,11.9159,13.1167,952000000,N/A,2808400000,80000000,0,236000000,21.9944,2.3486,1.6934,16.8295,
002092.SZ,中泰化学,2007-01-12,3.6749,3.7057,3.7953,3.4772,3.4865,11601526,136750183.7,-0.1884,-5.1261,11.7873,14.5019,903200000,N/A,2664440000,80000000,0,236000000,20.8669,2.2282,1.6066,15.9668,
002092.SZ,中泰化学,2007-01-15,3.4865,3.4587,3.6131,3.4525,3.6007,5222256,60168392.9,0.1143,3.2772,11.5215,6.5278,932800000,N/A,2751760000,80000000,0,236000000,21.5508,2.3013,1.6592,16.4901,
002092.SZ,中泰化学,2007-01-16,3.6007,3.6069,3.7057,3.5544,3.6532,6303508,74145506.3,0.0525,1.458,11.7626,7.8794,946400000,N/A,2791880000,80000000,0,236000000,21.865,2.3348,1.6834,16.7305,
002092.SZ,中泰化学,2007-01-17,3.6532,3.6532,3.7521,3.5359,3.5915,8513299,101071186,-0.0618,-1.6906,11.8722,10.6416,930400000,N/A,2744680000,80000000,0,236000000,21.4953,2.2953,1.6549,16.4477,
002092.SZ,中泰化学,2007-01-18,3.5915,3.5699,3.891,3.5544,3.8324,11965672,144715248.3,0.2409,6.7068,12.0942,14.9571,992800000,N/A,2928760000,80000000,0,236000000,22.937,2.4493,1.7659,17.5508,
002092.SZ,中泰化学,2007-01-19,3.8324,3.8385,3.9806,3.8385,3.8725,11045977,139593212,0.0401,1.0475,12.6375,13.8075,1003200000,N/A,2959440000,80000000,0,236000000,23.1773,2.4749,1.7844,17.7346,
002092.SZ,中泰化学,2007-01-22,3.8725,3.9157,4.1751,3.891,4.1226,11901974,154844343.4,0.2501,6.4593,13.01,14.8775,1068000000,N/A,3150600000,80000000,0,236000000,24.6744,2.6348,1.8997,18.8802,
002092.SZ,中泰化学,2007-01-23,4.1226,4.1628,4.1844,3.9374,4.0609,8763326,114454997,-0.0618,-1.4981,13.0607,10.9542,1052000000,N/A,3103400000,80000000,0,236000000,24.3047,2.5953,1.8712,18.5973,
002092.SZ,中泰化学,2007-01-24,4.0609,4.0485,4.1597,3.9991,4.0979,6965044,91771492.9,0.0371,0.9125,13.176,8.7063,1061600000,N/A,3131720000,80000000,0,236000000,24.5265,2.619,1.8883,18.767,
002092.SZ,中泰化学,2007-01-25,4.0979,4.1072,4.1226,3.8818,3.8818,6650135,85638172.1,-0.2162,-5.2751,12.8777,8.3127,1005600000,N/A,2966520000,80000000,0,236000000,23.2327,2.4809,1.7887,17.7771,
