代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002053.SZ,云南盐化,2006-06-27,N/A,13.9855,14.1675,12.0027,12.2709,41762054,553912719.7,N/A,N/A,13.2635,74.5751,717360000,N/A,2380752629.43,56000000,0,185851103,24.0572,5.1835,3.2774,-83.6622,
002053.SZ,云南盐化,2006-06-28,12.2709,12.4816,13.3629,12.4816,12.9031,22735342,308070787.1,0.6322,5.1522,13.5503,40.5988,754320000,N/A,2503414357.41,56000000,0,185851103,25.2966,5.4505,3.4463,-87.9727,
002053.SZ,云南盐化,2006-06-29,12.9031,12.8839,13.1905,12.472,13.018,14267359,191839051.3,0.1149,0.8909,13.446,25.4774,761040000,N/A,2525716489.77,56000000,0,185851103,25.522,5.4991,3.477,-88.7564,
002053.SZ,云南盐化,2006-06-30,13.018,13.018,13.0372,12.5582,12.6445,8732710,116353121.9,-0.3736,-2.8698,13.3238,15.5941,739200000,N/A,2453234559.6,56000000,0,185851103,24.7896,5.3413,3.3772,-86.2093,
002053.SZ,云南盐化,2006-07-03,12.6445,12.5582,13.0276,12.5582,12.9318,7487026,100044522.6,0.2874,2.2727,13.3624,13.3697,756000000,N/A,2508989890.5,56000000,0,185851103,25.353,5.4627,3.454,-88.1686,
002053.SZ,云南盐化,2006-07-04,12.9318,12.9318,13.2096,12.6923,13.2,8753439,118141412.6,0.2682,2.0741,13.4966,15.6311,771680000,N/A,2561028199.34,56000000,0,185851103,25.8788,5.576,3.5256,-89.9973,
002053.SZ,云南盐化,2006-07-05,13.2,13.1043,13.1043,12.7115,12.7881,6571059,88589029.7,-0.4119,-3.1205,13.4817,11.734,747600000,N/A,2481112225.05,56000000,0,185851103,25.0713,5.402,3.4156,-87.189,
002053.SZ,云南盐化,2006-07-06,12.7881,12.7402,14.0717,12.7115,14.0717,15337299,219049009.7,1.2836,10.0375,14.2821,27.388,822640000,N/A,2730152703.07,56000000,0,185851103,27.5878,5.9442,3.7584,-95.9405,
002053.SZ,云南盐化,2006-07-07,14.0717,14.5124,15.4703,14.2729,14.6561,24813377,382575100,0.5843,4.1525,15.4181,44.3096,856800000,N/A,2843521875.9,56000000,0,185851103,28.7334,6.191,3.9145,-99.9245,
002053.SZ,云南盐化,2006-07-10,14.6561,14.589,15.9588,14.3687,15.7289,15033719,237273398,1.0729,7.3203,15.7827,26.8459,919520000,N/A,3051675111.26,56000000,0,185851103,30.8367,6.6442,4.2011,-107.2392,
002053.SZ,云南盐化,2006-07-11,15.7289,15.5182,15.9301,15.1446,15.3266,9685806,155727039.1,-0.4023,-2.5579,16.0779,17.2961,896000000,N/A,2973617648,56000000,0,185851103,30.048,6.4743,4.0936,-104.4962,
002053.SZ,云南盐化,2006-07-12,15.3266,15.3745,15.6906,15.1829,15.4416,6866207,110374444,0.1149,0.75,16.075,12.2611,902720000,N/A,2995919780.36,56000000,0,185851103,30.2733,6.5228,4.1243,-105.2799,
002053.SZ,云南盐化,2006-07-13,15.4416,15.3266,15.4224,13.8993,13.976,13621934,204283305.8,-1.4656,-9.4913,14.9966,24.3249,817040000,N/A,2711567592.77,56000000,0,185851103,27.4,5.9037,3.7329,-95.2874,
002053.SZ,云南盐化,2006-07-14,13.976,13.5162,14.1771,13.497,13.7269,6790288,97699259.3,-0.2491,-1.782,14.3881,12.1255,802480000,N/A,2663246305.99,56000000,0,185851103,26.9117,5.7985,3.6663,-93.5894,
