´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
002433.SZ,Ì«°²ÌÃ,2010-06-18,N/A,8.0723,8.51,7.783,7.9702,14219641,478261241.1,N/A,N/A,33.6338,71.0982,655600000,N/A,3278000000,20000000,0,100000000,60.8268,14.8204,11.3687,95.4906,
002433.SZ,Ì«°²ÌÃ,2010-06-21,7.9702,7.3064,7.659,7.1727,7.5034,6419836,193815906.2,-0.4668,-5.8572,30.1902,32.0992,617200000,N/A,3086000000,20000000,0,100000000,57.2641,13.9524,10.7028,89.8975,
002433.SZ,Ì«°²ÌÃ,2010-06-22,7.5034,7.338,7.8681,7.2991,7.4426,5139750,160554979.8,-0.0608,-0.8101,31.2379,25.6987,612200000,N/A,3061000000,20000000,0,100000000,56.8002,13.8393,10.6161,89.1692,
002433.SZ,Ì«°²ÌÃ,2010-06-23,7.4426,7.2943,7.7708,7.2092,7.7344,4942592,153067443.7,0.2918,3.9203,30.9691,24.713,636200000,N/A,3181000000,20000000,0,100000000,59.0269,14.3819,11.0323,92.6649,
002433.SZ,Ì«°²ÌÃ,2010-06-24,7.7344,7.6663,7.7441,7.4596,7.5082,3111203,96897400.5,-0.2261,-2.9236,31.1447,15.556,617600000,N/A,3088000000,20000000,0,100000000,57.3012,13.9614,10.7098,89.9557,
002433.SZ,Ì«°²ÌÃ,2010-06-25,7.5082,7.394,7.5009,6.9976,7.0876,3373588,100112215.6,-0.4206,-5.6023,29.6753,16.8679,583000000,N/A,2915000000,20000000,0,100000000,54.091,13.1792,10.1098,84.9161,
002433.SZ,Ì«°²ÌÃ,2010-06-28,7.0876,7.0511,7.1387,6.9296,7.0803,1692431,48915690.3,-0.0073,-0.1029,28.9026,8.4622,582400000,N/A,2912000000,20000000,0,100000000,54.0353,13.1657,10.0994,84.8287,
002433.SZ,Ì«°²ÌÃ,2010-06-29,7.0803,7.0706,7.0803,6.6402,6.6524,1920387,53760866.4,-0.4279,-6.044,27.9948,9.6019,547200000,N/A,2736000000,20000000,0,100000000,50.7694,12.3699,9.489,79.7017,
002433.SZ,Ì«°²ÌÃ,2010-06-30,6.6524,6.5648,6.6864,6.4433,6.6086,1166301,31466858.4,-0.0438,-0.6579,26.98,5.8315,543600000,N/A,2718000000,20000000,0,100000000,50.4354,12.2886,9.4265,79.1774,
002433.SZ,Ì«°²ÌÃ,2010-07-01,6.6086,6.5892,6.6451,6.3947,6.3947,1186452,31705727.6,-0.214,-3.2377,26.7231,5.9323,526000000,N/A,2630000000,20000000,0,100000000,48.8025,11.8907,9.1213,76.6138,
002433.SZ,Ì«°²ÌÃ,2010-07-02,6.3947,6.4019,6.4481,5.9813,6.2415,1433434,36485780.4,-0.1532,-2.3954,25.4534,7.1672,513400000,N/A,2567000000,20000000,0,100000000,47.6334,11.6059,8.9029,74.7786,
002433.SZ,Ì«°²ÌÃ,2010-07-05,6.2415,6.115,6.2974,6.0543,6.1515,686366,17305897.4,-0.09,-1.4414,25.2138,3.4318,506000000,N/A,2530000000,20000000,0,100000000,46.9469,11.4386,8.7745,73.7008,
002433.SZ,Ì«°²ÌÃ,2010-07-06,6.1515,6.1977,6.3995,6.1029,6.3995,1655566,42885965.8,0.248,4.0316,25.9041,8.2778,526400000,N/A,2632000000,20000000,0,100000000,48.8396,11.8997,9.1283,76.6721,
002433.SZ,Ì«°²ÌÃ,2010-07-07,6.3995,6.3995,6.419,6.2974,6.4019,1014990,26515965.4,0.0024,0.038,26.1244,5.075,526600000,N/A,2633000000,20000000,0,100000000,48.8582,11.9043,9.1318,76.7012,
