代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002330.SZ,得利斯,2010-01-06,N/A,10.2724,11.7301,10.2724,11.7301,41776247,931202600,N/A,N/A,22.2902,82.8894,1208592000,N/A,6018980000,50400000,0,251000000,95.2692,5.0142,5.4174,7.2785,
002330.SZ,得利斯,2010-01-07,11.7301,11.2899,12.4051,11.2752,11.9845,33551815,809869380.9,0.2544,2.1685,24.1379,66.5711,1234800000,N/A,6149500000,50400000,0,251000000,97.3351,5.1229,5.5349,7.4363,
002330.SZ,得利斯,2010-01-08,11.9845,11.5344,11.7105,10.786,10.7909,19492797,438847296.2,-1.1936,-9.9592,22.5133,38.6762,1111824000,N/A,5537060000,50400000,0,251000000,87.6413,4.6127,4.9837,6.6957,
002330.SZ,得利斯,2010-01-11,10.7909,10.517,11.104,10.0327,10.786,12720426,275515503.7,-0.0049,-0.0453,21.6593,25.2389,1111320000,N/A,5534550000,50400000,0,251000000,87.6016,4.6106,4.9814,6.6927,
002330.SZ,得利斯,2010-01-12,10.786,10.5219,11.0453,10.424,10.8594,10266467,227310388.9,0.0734,0.6803,22.1411,20.37,1118880000,N/A,5572200000,50400000,0,251000000,88.1975,4.642,5.0153,6.7382,
002330.SZ,得利斯,2010-01-13,10.8594,10.5903,11.0012,10.517,10.5659,7413111,162738756.5,-0.2935,-2.7027,21.9528,14.7086,1088640000,N/A,5421600000,50400000,0,251000000,85.8138,4.5165,4.8798,6.5561,
002330.SZ,得利斯,2010-01-14,10.5659,10.7029,11.0012,10.5757,10.8936,6926810,153357145,0.3277,3.1019,22.1396,13.7437,1122408000,N/A,5589770000,50400000,0,251000000,88.4756,4.6566,5.0311,6.7595,
002330.SZ,得利斯,2010-01-15,10.8936,10.8643,11.0012,10.6882,10.7762,6168518,136536021.2,-0.1174,-1.0777,22.1343,12.2391,1110312000,N/A,5529530000,50400000,0,251000000,87.5222,4.6064,4.9769,6.6866,
002330.SZ,得利斯,2010-01-18,10.7762,10.7126,10.7126,10.4534,10.5806,5951007,128576831.1,-0.1957,-1.8157,21.6059,11.8076,1090152000,N/A,5429130000,50400000,0,251000000,85.933,4.5228,4.8865,6.5652,
002330.SZ,得利斯,2010-01-19,10.5806,10.6148,10.6637,10.4191,10.649,4507074,97210976.2,0.0685,0.6472,21.5685,8.9426,1097208000,N/A,5464270000,50400000,0,251000000,86.4892,4.5521,4.9182,6.6077,
002330.SZ,得利斯,2010-01-20,10.649,10.6539,10.6637,9.8762,9.8811,6357156,132808027.3,-0.768,-7.2118,20.8911,12.6134,1018080000,N/A,5070200000,50400000,0,251000000,80.2518,4.2238,4.5635,6.1312,
002330.SZ,得利斯,2010-01-21,9.8811,9.93,10.111,9.8566,10.0278,3724657,75893684.7,0.1467,1.4851,20.376,7.3902,1033200000,N/A,5145500000,50400000,0,251000000,81.4437,4.2865,4.6313,6.2222,
002330.SZ,得利斯,2010-01-22,10.0278,9.9153,9.9153,9.1326,9.3528,4675760,90831208.9,-0.675,-6.7317,19.426,9.2773,963648000,N/A,4799120000,50400000,0,251000000,75.9611,3.9979,4.3195,5.8034,
002330.SZ,得利斯,2010-01-25,9.3528,9.3136,9.431,9.1033,9.1375,2141459,40541498.5,-0.2152,-2.3013,18.9317,4.2489,941472000,N/A,4688680000,50400000,0,251000000,74.2131,3.9059,4.2201,5.6698,
002330.SZ,得利斯,2010-01-26,9.1375,9.1865,9.2892,8.7071,8.756,2748119,49987201.5,-0.3815,-4.1756,18.1896,5.4526,902160000,N/A,4492900000,50400000,0,251000000,71.1142,3.7428,4.0439,5.4331,
002330.SZ,得利斯,2010-01-27,8.756,8.7805,8.9419,8.5701,8.6728,2156566,38477428.8,-0.0832,-0.9497,17.842,4.2789,893592000,N/A,4450230000,50400000,0,251000000,70.4389,3.7073,4.0055,5.3815,
002330.SZ,得利斯,2010-01-28,8.6728,8.6728,8.7658,8.5652,8.7218,1773146,31434390.7,0.0489,0.564,17.728,3.5181,898632000,N/A,4475330000,50400000,0,251000000,70.8361,3.7282,4.0281,5.4118,
002330.SZ,得利斯,2010-01-29,8.7218,8.6826,8.8294,8.6141,8.7609,2376824,42528244.8,0.0391,0.4487,17.8929,4.7159,902664000,N/A,4495410000,50400000,0,251000000,71.154,3.7449,4.0461,5.4361,
002330.SZ,得利斯,2010-02-01,8.7609,8.6924,8.7511,8.169,8.169,3007708,51430231.7,-0.5919,-6.756,17.0995,5.9677,841680000,N/A,4191700000,50400000,0,251000000,66.3468,3.4919,3.7728,5.0688,
002330.SZ,得利斯,2010-02-02,8.169,8.2228,8.3891,8.032,8.0565,2397944,40377513.6,-0.1125,-1.3772,16.8384,4.7578,830088000,N/A,4133970000,50400000,0,251000000,65.433,3.4438,3.7208,4.999,
002330.SZ,得利斯,2010-02-03,8.0565,8.032,8.2668,7.6554,8.2522,3293907,53579287.7,0.1957,2.4287,16.2662,6.5355,850248000,N/A,4234370000,50400000,0,251000000,67.0222,3.5275,3.8112,5.1204,
002330.SZ,得利斯,2010-02-04,8.2522,8.1152,8.3744,7.9831,8.169,2822300,47203695.9,-0.0832,-1.0077,16.7253,5.5998,841680000,N/A,4191700000,50400000,0,251000000,66.3468,3.4919,3.7728,5.0688,
002330.SZ,得利斯,2010-02-05,8.169,7.9636,7.9978,7.7679,7.8266,2585273,41618725.1,-0.3424,-4.1916,16.0984,5.1295,806400000,N/A,4016000000,50400000,0,251000000,63.5658,3.3456,3.6146,4.8564,
002330.SZ,得利斯,2010-02-08,7.8266,7.8266,8.35,7.8266,8.2668,3985792,66727942.1,0.4402,5.625,16.7415,7.9083,851760000,N/A,4241900000,50400000,0,251000000,67.1414,3.5338,3.818,5.1295,
002330.SZ,得利斯,2010-02-09,8.2668,8.2179,8.2962,8.081,8.2424,2267194,37979399.9,-0.0245,-0.2959,16.7517,4.4984,849240000,N/A,4229350000,50400000,0,251000000,66.9427,3.5233,3.8067,5.1144,
002330.SZ,得利斯,2010-02-10,8.2424,8.2668,8.4087,8.2228,8.3744,1898228,32304318.1,0.1321,1.6024,17.0181,3.7663,862848000,N/A,4297120000,50400000,0,251000000,68.0154,3.5798,3.8677,5.1963,
002330.SZ,得利斯,2010-02-11,8.3744,8.4136,8.4136,8.2179,8.2473,1419543,24015690.3,-0.1272,-1.5187,16.9179,2.8166,849744000,N/A,4231860000,50400000,0,251000000,66.9825,3.5254,3.8089,5.1174,
002330.SZ,得利斯,2010-02-12,8.2473,8.2864,8.306,8.1983,8.2668,1315331,22187122,0.0196,0.2372,16.8681,2.6098,851760000,N/A,4241900000,50400000,0,251000000,67.1414,3.5338,3.818,5.1295,
002330.SZ,得利斯,2010-02-22,8.2668,8.2668,8.4136,8.2081,8.2179,1468568,24946612.3,-0.0489,-0.5917,16.987,2.9138,846720000,N/A,4216800000,50400000,0,251000000,66.7441,3.5128,3.7954,5.0992,
002330.SZ,得利斯,2010-02-23,8.2179,8.2424,8.3109,7.9391,8.3109,2116933,35203139.5,0.0929,1.131,16.6293,4.2003,856296000,N/A,4264490000,50400000,0,251000000,67.4989,3.5526,3.8383,5.1569,
002330.SZ,得利斯,2010-02-24,8.3109,8.2522,8.4967,8.1494,8.4918,3525223,60736205.8,0.181,2.1778,17.229,6.9945,874944000,N/A,4357360000,50400000,0,251000000,68.9689,3.6299,3.9219,5.2692,
002330.SZ,得利斯,2010-02-25,8.4918,8.4967,9.1473,8.4967,9.0495,6653537,121759906.8,0.5576,6.5668,18.3,13.2015,932400000,N/A,4643500000,50400000,0,251000000,73.498,3.8683,4.1794,5.6152,
002330.SZ,得利斯,2010-02-26,9.0495,9.0495,9.0495,9.0495,9.0495,N/A,N/A,0,0,N/A,N/A,932400000,N/A,4643500000,50400000,0,251000000,73.498,3.8683,4.1794,5.6152,
002330.SZ,得利斯,2010-03-01,9.0495,8.8685,9.3039,8.8636,9.0593,4655239,86527434.8,0.0098,0.1081,18.5871,9.2366,933408000,N/A,4648520000,50400000,0,251000000,73.5774,3.8725,4.1839,5.6213,
002330.SZ,得利斯,2010-03-02,9.0593,9.0593,9.1718,8.844,8.9419,3544652,65169277.1,-0.1174,-1.2959,18.3852,7.033,921312000,N/A,4588280000,50400000,0,251000000,72.6239,3.8223,4.1297,5.5484,
002330.SZ,得利斯,2010-03-03,8.9419,8.9027,9.299,8.8538,9.2452,3793051,70817032.4,0.3033,3.3917,18.6702,7.5259,952560000,N/A,4743900000,50400000,0,251000000,75.0871,3.9519,4.2698,5.7366,
002330.SZ,得利斯,2010-03-04,9.2452,9.1962,9.3332,8.6533,8.756,3153670,58047864.5,-0.4892,-5.291,18.4064,6.2573,902160000,N/A,4492900000,50400000,0,251000000,71.1142,3.7428,4.0439,5.4331,
002330.SZ,得利斯,2010-03-05,8.756,8.756,8.9027,8.575,8.7315,1585614,28282028.5,-0.0245,-0.2793,17.8366,3.1461,899640000,N/A,4480350000,50400000,0,251000000,70.9156,3.7324,4.0326,5.4179,
002330.SZ,得利斯,2010-03-08,8.7315,8.7805,9.1278,8.756,8.9419,2305010,42341478.8,0.2103,2.409,18.3693,4.5734,921312000,N/A,4588280000,50400000,0,251000000,72.6239,3.8223,4.1297,5.5484,
002330.SZ,得利斯,2010-03-09,8.9419,8.9272,9.0495,8.8881,9.0495,1812345,33206052.8,0.1076,1.2035,18.3221,3.5959,932400000,N/A,4643500000,50400000,0,251000000,73.498,3.8683,4.1794,5.6152,
002330.SZ,得利斯,2010-03-10,9.0495,9.0006,9.0739,8.7462,8.7756,1555281,28285382.8,-0.2739,-3.027,18.1867,3.0859,904176000,N/A,4502940000,50400000,0,251000000,71.2732,3.7512,4.0529,5.4452,
