╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
000502.SZ,бл╬╟©ь╧и,1992-11-23,N/A,5.5019,5.5019,5.5019,5.5019,N/A,N/A,N/A,N/A,N/A,N/A,217775368.74,N/A,1051650492.99,12713098,0,61392323,60.8872,13.2849,15.5883,N/A,
000502.SZ,бл╬╟©ь╧и,1992-11-24,5.5019,3.79,3.79,3.4688,3.6936,19100,1078000,-1.8083,-32.8663,56.4398,0.1502,146200627,N/A,706011714.5,12713098,0,61392323,40.8758,8.9187,10.465,N/A,
000502.SZ,бл╬╟©ь╧и,1992-11-25,3.6936,3.6454,3.7257,3.5651,3.6936,19100,1092000,0,0,57.1728,0.1502,146200627,N/A,706011714.5,12713098,0,61392323,40.8758,8.9187,10.465,N/A,
000502.SZ,бл╬╟©ь╧и,1992-11-26,3.6936,3.7418,4.1433,3.7418,4.1433,37400,2318000,0.4497,12.1739,61.9786,0.2942,163998964.2,N/A,791960966.7,12713098,0,61392323,45.852,10.0044,11.739,N/A,
000502.SZ,бл╬╟©ь╧и,1992-11-27,4.1433,4.1754,4.3039,4.1111,4.2396,65100,4259000,0.0964,2.3256,65.4224,0.5121,167812893.6,N/A,810378663.6,12713098,0,61392323,46.9184,10.2371,12.012,N/A,
000502.SZ,бл╬╟©ь╧и,1992-11-30,4.2396,4.2878,4.8177,4.2878,4.8177,80400,5802000,0.5781,13.6364,72.1642,0.6324,190696470,N/A,920884845,12713098,0,61392323,53.3163,11.633,13.65,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-01,4.8177,4.8177,4.9141,4.5126,4.8659,63400,4750000,0.0482,1,74.9211,0.4987,192603434.7,N/A,930093693.45,12713098,0,61392323,53.8495,11.7494,13.7865,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-02,4.8659,4.9141,4.9783,4.5447,4.5608,70300,5342000,-0.3051,-6.2706,75.9886,0.553,180525991.6,N/A,871770986.6,12713098,0,61392323,50.4728,11.0126,12.922,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-03,4.5608,4.5126,4.7535,4.5126,4.5929,27600,1979000,0.0321,0.7042,71.7029,0.2171,181797301.4,N/A,877910218.9,12713098,0,61392323,50.8282,11.0902,13.013,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-04,4.5929,4.5929,4.7856,4.4323,4.7535,57500,4112000,0.1606,3.4965,71.513,0.4523,188153850.4,N/A,908606380.4,12713098,0,61392323,52.6054,11.4779,13.468,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-07,4.7535,4.8177,4.9783,4.8177,4.882,61500,4698000,0.1285,2.7027,76.3902,0.4838,193239089.6,N/A,933163309.6,12713098,0,61392323,54.0272,11.7881,13.832,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-08,4.882,4.9302,4.9302,4.6893,4.7374,22900,1702000,-0.1445,-2.9605,74.3231,0.1801,187518195.5,N/A,905536764.25,12713098,0,61392323,52.4277,11.4391,13.4225,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-09,4.7374,4.7214,4.7214,4.4966,4.5608,38200,2713000,-0.1767,-3.7288,71.0209,0.3005,180525991.6,N/A,871770986.6,12713098,0,61392323,50.4728,11.0126,12.922,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-10,4.5608,4.5608,4.5608,4.2396,4.4002,33800,2326000,-0.1606,-3.5211,68.8166,0.2659,174169442.6,N/A,841074825.1,12713098,0,61392323,48.6956,10.6248,12.467,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-11,4.4002,4.4966,4.6893,4.4644,4.5126,26600,1894000,0.1124,2.5547,71.203,0.2092,178619026.9,N/A,862562138.15,12713098,0,61392323,49.9396,10.8963,12.7855,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-14,4.5126,4.4966,4.6572,4.4966,4.5126,16700,1187000,0,0,71.0778,0.1314,178619026.9,N/A,862562138.15,12713098,0,61392323,49.9396,10.8963,12.7855,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-15,4.5126,4.5126,4.5126,4.336,4.336,14500,987000,-0.1767,-3.9146,68.069,0.1141,171626823,N/A,828796360.5,12713098,0,61392323,47.9847,10.4697,12.285,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-16,4.336,4.336,4.4966,4.3039,4.4644,14200,971000,0.1285,2.963,68.3803,0.1117,176712062.2,N/A,853353289.7,12713098,0,61392323,49.4065,10.7799,12.649,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-17,4.4644,4.4484,4.5287,4.4323,4.4805,6200,432000,0.0161,0.3597,69.6774,0.0488,177347717.1,N/A,856422905.85,12713098,0,61392323,49.5842,10.8187,12.6945,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-18,4.4805,4.4966,4.4966,4.4323,4.4805,13600,944000,0,0,69.4118,0.107,177347717.1,N/A,856422905.85,12713098,0,61392323,49.5842,10.8187,12.6945,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-21,4.4805,4.4966,4.5126,4.4002,4.4805,16900,1180000,0,0,69.8225,0.1329,177347717.1,N/A,856422905.85,12713098,0,61392323,49.5842,10.8187,12.6945,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-22,4.4805,4.4805,4.4805,4.3681,4.4002,10900,754000,-0.0803,-1.7921,69.1743,0.0857,174169442.6,N/A,841074825.1,12713098,0,61392323,48.6956,10.6248,12.467,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-23,4.4002,4.3681,4.3841,4.336,4.3681,10400,705000,-0.0321,-0.7299,67.7885,0.0818,172898132.8,N/A,834935592.8,12713098,0,61392323,48.3401,10.5473,12.376,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-24,4.3681,4.3681,4.3681,4.3039,4.352,9500,643000,-0.0161,-0.3676,67.6842,0.0747,172262477.9,N/A,831865976.65,12713098,0,61392323,48.1624,10.5085,12.3305,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-25,4.352,4.4002,4.4323,4.352,4.3681,13900,951000,0.0161,0.369,68.4173,0.1093,172898132.8,N/A,834935592.8,12713098,0,61392323,48.3401,10.5473,12.376,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-28,4.3681,4.4323,4.4644,4.352,4.4002,13700,937000,0.0321,0.7353,68.3942,0.1078,174169442.6,N/A,841074825.1,12713098,0,61392323,48.6956,10.6248,12.467,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-29,4.4002,4.3841,4.4323,4.3681,4.4323,19500,1335000,0.0321,0.7299,68.4615,0.1534,175440752.4,N/A,847214057.4,12713098,0,61392323,49.051,10.7024,12.558,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-30,4.4323,4.4644,4.5608,4.4644,4.5287,32600,2283000,0.0964,2.1739,70.0307,0.2564,179254681.8,N/A,865631754.3,12713098,0,61392323,50.1173,10.935,12.831,N/A,
000502.SZ,бл╬╟©ь╧и,1992-12-31,4.5287,4.5608,4.7535,4.5608,4.6893,58500,4259000,0.1606,3.5461,72.8034,0.4602,185611230.8,N/A,896327915.8,12713098,0,61392323,51.8946,11.3228,13.286,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-04,4.6893,5.2353,5.3959,5.1389,5.171,94800,7751000,0.4818,10.274,81.7616,0.7457,204680877.8,N/A,988416400.3,12713098,0,61392323,19.7667,10.849,7.6268,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-05,5.171,5.1389,5.2032,5.0265,5.0426,44100,3521000,-0.1285,-2.4845,79.8413,0.3469,199595638.6,N/A,963859471.1,12713098,0,61392323,19.2756,10.5794,7.4373,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-06,5.0426,5.0426,5.1068,4.9783,5.0908,28200,2221000,0.0482,0.9554,78.7589,0.2218,201502603.3,N/A,973068319.55,12713098,0,61392323,19.4598,10.6805,7.5084,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-07,5.0908,5.1389,5.2674,5.1389,5.2674,62200,5040000,0.1767,3.47,81.0289,0.4893,208494807.2,N/A,1006834097.2,12713098,0,61392323,20.135,11.0511,7.7689,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-08,5.2674,5.2995,5.4922,5.2995,5.4922,125200,10558000,0.2248,4.2683,84.3291,0.9848,217393975.8,N/A,1049808723.3,12713098,0,61392323,20.9945,11.5228,8.1005,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-11,5.4922,5.5243,6.0382,5.5243,5.974,152100,13808000,0.4818,8.7719,90.7824,1.1964,236463622.8,N/A,1141897207.8,12713098,0,61392323,22.8361,12.5336,8.8111,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-12,5.974,6.0222,6.3434,5.974,6.0704,198800,18968000,0.0964,1.6129,95.4125,1.5637,240277552.2,N/A,1160314904.7,12713098,0,61392323,23.2044,12.7358,8.9532,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-13,6.0704,6.0704,6.9536,6.0704,6.9536,249100,25585000,0.8833,14.5503,102.7098,1.9594,275238571.7,N/A,1329143792.95,12713098,0,61392323,26.5807,14.5888,10.2559,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-14,6.9536,7.0018,7.4033,6.9536,7.0178,154600,17198000,0.0642,0.9238,111.2419,1.2161,277781191.3,N/A,1341422257.55,12713098,0,61392323,26.8262,14.7236,10.3507,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-15,7.0178,7.066,7.2748,6.8573,7.2748,179600,19742000,0.2569,3.6613,109.922,1.4127,287951669.7,N/A,1390536115.95,12713098,0,61392323,27.8084,15.2627,10.7297,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-18,7.2748,7.323,8.158,7.323,8.158,202200,24547000,0.8833,12.1413,121.3996,1.5905,322912689.2,N/A,1559365004.2,12713098,0,61392323,31.1847,17.1158,12.0324,N/A,
000502.SZ,бл╬╟©ь╧и,1993-01-19,8.158,8.1902,8.5113,8.1902,8.2383,187900,24494000,0.0803,0.9843,130.3566,1.478,326090963.7,N/A,1574713084.95,12713098,0,61392323,31.4917,17.2842,12.1508,N/A,
000502.SZ,бл╬╟©ь╧и,1993-02-01,8.2383,8.2865,9.7318,8.2865,9.6034,71000,10375000,1.365,16.5692,146.1268,0.5585,380121630.2,N/A,1835630457.7,12713098,0,61392323,36.7096,20.1481,14.1641,N/A,
000502.SZ,бл╬╟©ь╧и,1993-02-02,9.6034,9.6355,10.4384,9.6355,10.4384,106000,16855000,0.8351,8.6957,159.0094,0.8338,413175685,N/A,1995250497.5,12713098,0,61392323,39.9017,21.9001,15.3958,N/A,
000502.SZ,бл╬╟©ь╧и,1993-02-03,10.4384,10.4866,10.7596,10.3421,10.4706,84100,13797000,0.0321,0.3077,164.0547,0.6615,414446994.8,N/A,2001389729.8,12713098,0,61392323,40.0245,21.9675,15.4431,N/A,
000502.SZ,бл╬╟©ь╧и,1993-02-04,10.4706,10.5027,10.599,10.326,10.599,105400,17237000,0.1285,1.227,163.5389,0.8291,419532234,N/A,2025946659,12713098,0,61392323,40.5156,22.237,15.6326,N/A,
000502.SZ,бл╬╟©ь╧и,1993-02-05,10.599,10.599,10.599,10.2779,10.5669,72700,11919000,-0.0321,-0.303,163.9477,0.5719,418260924.2,N/A,2019807426.7,12713098,0,61392323,40.3928,22.1696,15.5852,N/A,
000502.SZ,бл╬╟©ь╧и,1993-02-08,10.5669,10.5348,11.3056,10.5348,11.2253,185300,32231000,0.6584,6.231,173.9396,1.4576,444322775.1,N/A,2145661688.85,12713098,0,61392323,42.9097,23.551,16.5564,N/A,
000502.SZ,бл╬╟©ь╧и,1993-02-09,11.2253,11.2735,11.402,11.0808,11.2253,66800,11666000,0,0,174.6407,0.5254,444322775.1,N/A,2145661688.85,12713098,0,61392323,42.9097,23.551,16.5564,N/A,
