測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
002082.SZ,集褽陔第,2006-11-20,N/A,3.6404,3.9259,3.4976,3.7403,19036506,195671708.2,N/A,N/A,10.2788,79.3188,251520000,N/A,871936000,24000000,0,83200000,40.7763,6.0846,0.7436,44.4108,
002082.SZ,集褽陔第,2006-11-21,3.7403,3.6154,4.115,3.569,4.115,10932390,120198757.2,0.3747,10.0191,10.9947,45.5516,276720000,N/A,959296000,24000000,0,83200000,44.8617,6.6942,0.8181,48.8604,
002082.SZ,集褽陔第,2006-11-22,4.115,4.033,4.3899,3.933,4.2507,7211920,84294896.3,0.1356,3.2958,11.6883,30.0497,285840000,N/A,990912000,24000000,0,83200000,46.3403,6.9148,0.845,50.4707,
002082.SZ,集褽陔第,2006-11-23,4.2507,4.1757,4.2471,4.0794,4.165,4250379,49226474.3,-0.0857,-2.0151,11.5817,17.7099,280080000,N/A,970944000,24000000,0,83200000,45.4065,6.7755,0.828,49.4537,
002082.SZ,集褽陔第,2006-11-24,4.165,4.1008,4.4113,4.0686,4.2078,3106963,37147631.9,0.0428,1.0283,11.9563,12.9457,282960000,N/A,980928000,24000000,0,83200000,45.8734,6.8452,0.8365,49.9622,
002082.SZ,集褽陔第,2006-11-27,4.2078,4.215,4.347,4.1793,4.2614,1758917,20920390.7,0.0535,1.2723,11.8939,7.3288,286560000,N/A,993408000,24000000,0,83200000,46.457,6.9322,0.8471,50.5979,
002082.SZ,集褽陔第,2006-11-28,4.2614,4.2471,4.2828,4.1257,4.2114,2267308,26485237.1,-0.05,-1.1725,11.6814,9.4471,283200000,N/A,981760000,24000000,0,83200000,45.9123,6.851,0.8372,50.0046,
002082.SZ,集褽陔第,2006-11-29,4.2114,4.1579,4.2649,4.1043,4.1686,1327925,15648284.1,-0.0428,-1.0169,11.784,5.533,280320000,N/A,971776000,24000000,0,83200000,45.4454,6.7813,0.8287,49.4961,
002082.SZ,集褽陔第,2006-11-30,4.1686,4.1579,4.3435,4.14,4.3113,2269676,27181692.4,0.1428,3.4247,11.976,9.457,289920000,N/A,1005056000,24000000,0,83200000,47.0017,7.0135,0.8571,51.1911,
002082.SZ,集褽陔第,2006-12-01,4.3113,4.2756,4.7432,4.24,4.7432,4067164,52553656.7,0.4318,10.0166,12.9215,16.9465,318960000,N/A,1105728000,24000000,0,83200000,51.7097,7.716,0.9429,56.3187,
