´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
002608.SZ,*STË´´¬,2011-08-10,N/A,14.4712,14.7822,13.4499,13.4538,24705137,902173600,N/A,N/A,36.5177,83.4633,1037184000,N/A,5150880000,29600000,0,147000000,23.307,4.9911,1.6715,-67.4453,
002608.SZ,*STË´´¬,2011-08-11,13.4538,12.5707,13.4691,12.2981,13.0468,11694745,392715487.4,-0.407,-3.0251,33.5805,39.5093,1005808000,N/A,4995060000,29600000,0,147000000,22.6019,4.8401,1.621,-65.405,
002608.SZ,*STË´´¬,2011-08-12,13.0468,13.0813,13.4115,12.8625,12.8893,7259900,247674356.9,-0.1574,-1.2066,34.1154,24.5267,993672000,N/A,4934790000,29600000,0,147000000,22.3292,4.7817,1.6014,-64.6158,
002608.SZ,*STË´´¬,2011-08-15,12.8893,12.8164,14.1679,12.682,13.7609,11029584,389706279.2,0.8716,6.762,35.3328,37.2621,1060864000,N/A,5268480000,29600000,0,147000000,23.8391,5.105,1.7097,-68.9851,
002608.SZ,*STË´´¬,2011-08-16,13.7609,13.6265,14.2601,13.5728,13.8838,10050887,363250527.1,0.1229,0.8929,36.1411,33.9557,1070336000,N/A,5315520000,29600000,0,147000000,24.0519,5.1506,1.725,-69.6011,
002608.SZ,*STË´´¬,2011-08-17,13.8838,13.7763,13.9836,13.5459,13.5574,5179228,184792823.9,-0.3264,-2.3507,35.6796,17.4974,1045176000,N/A,5190570000,29600000,0,147000000,23.4865,5.0296,1.6844,-67.965,
002608.SZ,*STË´´¬,2011-08-18,13.5574,13.6688,14.2793,13.6688,13.8032,6777221,246309082,0.2457,1.8125,36.3437,22.896,1064120000,N/A,5284650000,29600000,0,147000000,23.9122,5.1207,1.715,-69.1968,
002608.SZ,*STË´´¬,2011-08-19,13.8032,13.5843,13.6649,12.9393,13.208,5597879,192589500.2,-0.5951,-4.3115,34.404,18.9118,1018240000,N/A,5056800000,29600000,0,147000000,22.8813,4.8999,1.641,-66.2134,
002608.SZ,*STË´´¬,2011-08-22,13.208,13.1735,13.423,12.9239,13.0084,3159624,108263412.5,-0.1997,-1.5116,34.2647,10.6744,1002848000,N/A,4980360000,29600000,0,147000000,22.5354,4.8259,1.6162,-65.2125,
002608.SZ,*STË´´¬,2011-08-23,13.0084,13.0775,13.6073,13.0621,13.5766,4905072,170371595.3,0.5683,4.3684,34.7338,16.5712,1046656000,N/A,5197920000,29600000,0,147000000,23.5198,5.0367,1.6868,-68.0612,
002608.SZ,*STË´´¬,2011-08-24,13.5766,13.592,14.3561,13.592,13.8953,8105734,294306354.5,0.3187,2.3473,36.3084,27.3842,1071224000,N/A,5319930000,29600000,0,147000000,24.0719,5.1549,1.7264,-69.6588,
002608.SZ,*STË´´¬,2011-08-25,13.8953,13.88,14.0911,13.5997,14.0451,5333220,192743027.7,0.1497,1.0776,36.1401,18.0176,1082768000,N/A,5377260000,29600000,0,147000000,24.3313,5.2104,1.745,-70.4095,
002608.SZ,*STË´´¬,2011-08-26,14.0451,13.9299,14.5058,13.9183,14.141,6036660,223882561.2,0.096,0.6834,37.0872,20.3941,1090168000,N/A,5414010000,29600000,0,147000000,24.4976,5.2461,1.7569,-70.8907,
002608.SZ,*STË´´¬,2011-08-29,14.141,14.0451,14.1718,13.8608,13.926,3969199,144739272.5,-0.215,-1.5205,36.4656,13.4095,1073592000,N/A,5331690000,29600000,0,147000000,24.1251,5.1663,1.7302,-69.8128,
002608.SZ,*STË´´¬,2011-08-30,13.926,14.0297,14.0873,13.4384,13.4883,4248115,152115199.8,-0.4377,-3.1431,35.8077,14.3517,1039848000,N/A,5164110000,29600000,0,147000000,23.3668,5.0039,1.6758,-67.6185,
002608.SZ,*STË´´¬,2011-08-31,13.4883,13.4614,13.5843,12.9469,13.2848,2905845,100114617.6,-0.2035,-1.5087,34.4528,9.817,1024160000,N/A,5086200000,29600000,0,147000000,23.0143,4.9284,1.6506,-66.5984,
002608.SZ,*STË´´¬,2011-09-01,13.2848,13.2464,13.3808,12.9815,13.1389,2494991,85695310.6,-0.1459,-1.0983,34.3469,8.429,1012912000,N/A,5030340000,29600000,0,147000000,22.7615,4.8743,1.6324,-65.8669,
002608.SZ,*STË´´¬,2011-09-02,13.1389,13.0928,13.3501,13.0161,13.2234,2244488,77290616.8,0.0845,0.6429,34.4357,7.5827,1019424000,N/A,5062680000,29600000,0,147000000,22.9079,4.9056,1.6429,-66.2904,
002608.SZ,*STË´´¬,2011-09-05,13.2234,12.9393,12.9393,12.3672,12.3902,2997860,98243403.5,-0.8332,-6.3008,32.7712,10.1279,955192000,N/A,4743690000,29600000,0,147000000,21.4645,4.5965,1.5394,-62.1135,
002608.SZ,*STË´´¬,2011-09-06,12.3902,12.0178,12.3864,11.8565,11.9487,2209598,69286174.4,-0.4415,-3.5637,31.3569,7.4649,921152000,N/A,4574640000,29600000,0,147000000,20.6996,4.4327,1.4845,-59.9,
002608.SZ,*STË´´¬,2011-09-07,11.9487,12.0485,12.2789,11.9525,12.252,2263271,71563034.2,0.3033,2.5386,31.6193,7.6462,944536000,N/A,4690770000,29600000,0,147000000,21.225,4.5453,1.5222,-61.4206,
002608.SZ,*STË´´¬,2011-09-08,12.252,12.2904,12.3326,11.63,11.7106,2326347,73163551.5,-0.5414,-4.4187,31.45,7.8593,902800000,N/A,4483500000,29600000,0,147000000,20.2872,4.3444,1.455,-58.7066,
002608.SZ,*STË´´¬,2011-09-09,11.7106,11.6146,11.8949,11.5993,11.8642,1715761,52642254.1,0.1536,1.3115,30.6816,5.7965,914640000,N/A,4542300000,29600000,0,147000000,20.5532,4.4014,1.4741,-59.4766,
002608.SZ,*STË´´¬,2011-09-13,11.8642,11.6338,11.7106,11.3343,11.4342,1595245,47699843.5,-0.43,-3.6246,29.9013,5.3893,881488000,N/A,4377660000,29600000,0,147000000,19.8082,4.2419,1.4206,-57.3208,
002608.SZ,*STË´´¬,2011-09-14,11.4342,11.5186,11.7452,11.3459,11.7413,1585249,47747985.1,0.3072,2.6864,30.1202,5.3556,905168000,N/A,4495260000,29600000,0,147000000,20.3404,4.3558,1.4588,-58.8606,
002608.SZ,*STË´´¬,2011-09-15,11.7413,11.6722,11.9947,11.6223,11.7221,1933062,59558562,-0.0192,-0.1635,30.8105,6.5306,903688000,N/A,4487910000,29600000,0,147000000,20.3071,4.3487,1.4564,-58.7644,
002608.SZ,*STË´´¬,2011-09-16,11.7221,11.7221,11.7221,11.7221,11.7221,N/A,N/A,0,0,N/A,N/A,903688000,N/A,4487910000,29600000,0,147000000,20.3071,4.3487,1.4564,-58.7644,
002608.SZ,*STË´´¬,2011-09-19,11.7221,11.5186,11.5378,10.8582,10.8582,2332177,67246709.1,-0.8639,-7.3698,28.8343,7.879,837088000,N/A,4157160000,29600000,0,147000000,18.8105,4.0282,1.3491,-54.4336,
002608.SZ,*STË´´¬,2011-09-20,10.8582,10.7123,11.0771,10.7046,10.8851,1352948,38385286.1,0.0269,0.2475,28.3716,4.5708,839160000,N/A,4167450000,29600000,0,147000000,18.8571,4.0382,1.3524,-54.5683,
002608.SZ,*STË´´¬,2011-09-21,10.8851,10.9043,11.4418,10.8275,11.3267,2274436,66174883.5,0.4415,4.0564,29.0951,7.6839,873200000,N/A,4336500000,29600000,0,147000000,19.622,4.202,1.4073,-56.7818,
002608.SZ,*STË´´¬,2011-09-22,11.3267,11.2038,11.2959,10.7661,10.7661,1962624,56467056,-0.5606,-4.9492,28.7712,6.6305,829984000,N/A,4121880000,29600000,0,147000000,18.6509,3.994,1.3376,-53.9716,
