代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002442.SZ,龙星化工,2010-07-06,N/A,5.3859,6.2117,5.3101,6.0282,33968320,491967370.9,N/A,N/A,14.4831,84.9208,604400000,N/A,3022000000,40000000,0,200000000,43.629,7.594,3.1219,-88.1452,
002442.SZ,龙星化工,2010-07-07,6.0282,5.8646,5.9643,5.5095,5.7409,20537855,295503691.3,-0.2872,-4.7651,14.3882,51.3446,575600000,N/A,2878000000,40000000,0,200000000,41.55,7.2321,2.9732,-83.945,
002442.SZ,龙星化工,2010-07-08,5.7409,5.6372,5.8167,5.5055,5.6811,14487920,204782070.3,-0.0598,-1.0424,14.1347,36.2198,569600000,N/A,2848000000,40000000,0,200000000,41.1169,7.1567,2.9422,-83.07,
002442.SZ,龙星化工,2010-07-09,5.6811,5.6571,5.6891,5.3859,5.5893,13829831,192672238.6,-0.0918,-1.6152,13.9316,34.5746,560400000,N/A,2802000000,40000000,0,200000000,40.4528,7.0411,2.8946,-81.7283,
002442.SZ,龙星化工,2010-07-12,5.5893,5.5654,5.7888,5.5335,5.6332,9965197,141816226,0.0439,0.7852,14.2312,24.913,564800000,N/A,2824000000,40000000,0,200000000,40.7704,7.0964,2.9174,-82.3699,
002442.SZ,龙星化工,2010-07-13,5.6332,5.5375,5.5853,5.4018,5.4816,7792362,106729751.2,-0.1516,-2.6912,13.6967,19.4809,549600000,N/A,2748000000,40000000,0,200000000,39.6732,6.9054,2.8389,-80.1532,
002442.SZ,龙星化工,2010-07-14,5.4816,5.4776,5.6891,5.4736,5.6212,8945536,125286958.1,0.1396,2.5473,14.0055,22.3638,563600000,N/A,2818000000,40000000,0,200000000,40.6838,7.0813,2.9112,-82.1949,
002442.SZ,龙星化工,2010-07-15,5.6212,5.6492,5.7649,5.4896,5.5055,8892401,126075782.8,-0.1157,-2.0582,14.1779,22.231,552000000,N/A,2760000000,40000000,0,200000000,39.8464,6.9356,2.8513,-80.5032,
002442.SZ,龙星化工,2010-07-16,5.5055,5.4138,5.4537,5.1904,5.318,8057112,107068775.1,-0.1875,-3.4058,13.2887,20.1428,533200000,N/A,2666000000,40000000,0,200000000,38.4893,6.6994,2.7542,-77.7614,
002442.SZ,龙星化工,2010-07-19,5.318,5.2303,5.3978,5.2303,5.3819,4640385,61936866.9,0.0638,1.2003,13.3474,11.601,539600000,N/A,2698000000,40000000,0,200000000,38.9513,6.7798,2.7872,-78.6948,
002442.SZ,龙星化工,2010-07-20,5.3819,5.346,5.5215,5.338,5.5055,6211148,84950948.3,0.1237,2.298,13.6772,15.5279,552000000,N/A,2760000000,40000000,0,200000000,39.8464,6.9356,2.8513,-80.5032,
002442.SZ,龙星化工,2010-07-21,5.5055,5.5055,5.6053,5.4696,5.5095,6377915,88591353,0.004,0.0725,13.8903,15.9448,552400000,N/A,2762000000,40000000,0,200000000,39.8753,6.9406,2.8533,-80.5615,
002442.SZ,龙星化工,2010-07-22,5.5095,5.4776,5.6013,5.4497,5.5853,6330641,87778184.9,0.0758,1.3758,13.8656,15.8266,560000000,N/A,2800000000,40000000,0,200000000,40.4239,7.0361,2.8926,-81.6699,
002442.SZ,龙星化工,2010-07-23,5.5853,5.6172,5.6332,5.4816,5.5534,4999039,69437273,-0.0319,-0.5714,13.8901,12.4976,556800000,N/A,2784000000,40000000,0,200000000,40.1929,6.9959,2.8761,-81.2032,
002442.SZ,龙星化工,2010-07-26,5.5534,5.5893,5.6532,5.5534,5.6252,5138501,72219151.4,0.0718,1.2931,14.0545,12.8463,564000000,N/A,2820000000,40000000,0,200000000,40.7127,7.0864,2.9132,-82.2533,
