ด๚ย๋,ผ๒ณฦ,ศีฦฺ,วฐสีลฬผÛ(ิช),ฟชลฬผÛ(ิช),ื๎ธ฿ผÛ(ิช),ื๎ตอผÛ(ิช),สีลฬผÛ(ิช),ณษฝปมฟ(นษ),ณษฝปฝ๐ถ๎(ิช),ีวต๘(ิช),ีวต๘ท๙(%),พ๙ผÛ(ิช),ปปสึยส(%),Aนษม๗อจสะึต(ิช),Bนษม๗อจสะึต(ิช),ืÜสะึต(ิช),Aนษม๗อจนษฑพ(นษ),Bนษม๗อจนษฑพ(นษ),ืÜนษฑพ(นษ),สะำฏยส,สะพปยส,สะฯ๚ยส,สะฯึยส,
002623.SZ,ัวย๊ถู,2011-10-13,N/A,38.2644,38.5587,37.038,37.4893,16562824,635230709.2,N/A,N/A,38.3528,51.7588,1222720000,N/A,6113600000,32000000,0,160000000,28.0204,19.5128,10.272,79.4487,
002623.SZ,ัวย๊ถู,2011-10-14,37.4893,36.3021,36.3806,34.5361,35.0168,9350344,336995329.4,-2.4725,-6.5951,36.041,29.2198,1142080000,N/A,5710400000,32000000,0,160000000,26.1724,18.2259,9.5945,74.2089,
002623.SZ,ัวย๊ถู,2011-10-17,35.0168,34.8304,37.1753,34.8304,36.5965,8861357,328750357.1,1.5796,4.5111,37.0993,27.6917,1193600000,N/A,5968000000,32000000,0,160000000,27.3531,19.0481,10.0273,77.5565,
002623.SZ,ัวย๊ถู,2011-10-18,36.5965,35.8606,36.7927,35.1346,35.6938,5367577,196868197,-0.9026,-2.4665,36.6773,16.7737,1164160000,N/A,5820800000,32000000,0,160000000,26.6784,18.5783,9.78,75.6436,
002623.SZ,ัวย๊ถู,2011-10-19,35.6938,35.9587,36.1059,33.8983,34.1632,5063127,180019943.1,-1.5306,-4.2881,35.5551,15.8223,1114240000,N/A,5571200000,32000000,0,160000000,25.5344,17.7816,9.3606,72.4,
002623.SZ,ัวย๊ถู,2011-10-20,34.1632,33.7414,33.7414,31.4553,32.2795,3975302,131634375.5,-1.8838,-5.5141,33.1131,12.4228,1052800000,N/A,5264000000,32000000,0,160000000,24.1265,16.8012,8.8445,68.4078,
002623.SZ,ัวย๊ถู,2011-10-21,32.2795,32.1813,32.77,31.887,32.2402,2064751,68052374.8,-0.0392,-0.1216,32.9591,6.4523,1051520000,N/A,5257600000,32000000,0,160000000,24.0971,16.7807,8.8337,68.3246,
002623.SZ,ัวย๊ถู,2011-10-24,32.2402,32.3776,32.3776,29.2379,31.8281,3943030,124130212.9,-0.4121,-1.2781,31.4809,12.322,1038080000,N/A,5190400000,32000000,0,160000000,23.7891,16.5662,8.7208,67.4513,
002623.SZ,ัวย๊ถู,2011-10-25,31.8281,31.2787,33.3489,30.7587,32.6915,3585094,117636260.5,0.8634,2.7127,32.8126,11.2034,1066240000,N/A,5331200000,32000000,0,160000000,24.4344,17.0156,8.9574,69.2811,
002623.SZ,ัวย๊ถู,2011-10-26,32.6915,32.7897,33.3587,32.0636,32.2795,4081743,135796171.8,-0.4121,-1.2605,33.2692,12.7554,1052800000,N/A,5264000000,32000000,0,160000000,24.1265,16.8012,8.8445,68.4078,
002623.SZ,ัวย๊ถู,2011-10-27,32.2795,32.1813,33.5549,31.9459,33.3097,4275262,143750762.1,1.0302,3.1915,33.6238,13.3602,1086400000,N/A,5432000000,32000000,0,160000000,24.8964,17.3374,9.1268,70.591,
002623.SZ,ัวย๊ถู,2011-10-28,33.3097,33.7021,33.7119,33.0546,33.6334,3261041,111072005.4,0.3238,0.972,34.0603,10.1908,1096960000,N/A,5484800000,32000000,0,160000000,25.1384,17.5059,9.2155,71.2772,
002623.SZ,ัวย๊ถู,2011-10-31,33.6334,33.6334,33.9965,33.0644,33.5255,2635664,90060277.7,-0.1079,-0.3209,34.1699,8.2364,1093440000,N/A,5467200000,32000000,0,160000000,25.0578,17.4497,9.1859,71.0484,
002623.SZ,ัวย๊ถู,2011-11-01,33.5255,33.1919,33.7315,32.878,33.29,2484419,84250296.1,-0.2355,-0.7024,33.9115,7.7638,1085760000,N/A,5428800000,32000000,0,160000000,24.8818,17.3271,9.1214,70.5494,
