代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002068.SZ,黑猫股份,2006-09-15,N/A,2.4772,2.6926,2.3618,2.6695,21075781,272367445.8,N/A,N/A,12.9232,75.2706,388640000,N/A,1235320000,28000000,0,89000000,40.039,6.542,2.0243,23.6891,
002068.SZ,黑猫股份,2006-09-18,2.6695,2.5811,2.8657,2.5484,2.7542,13639335,190116653.4,0.0846,3.17,13.9389,48.7119,400960000,N/A,1274480000,28000000,0,89000000,41.3083,6.7493,2.0885,24.4401,
002068.SZ,黑猫股份,2006-09-19,2.7542,2.7157,2.7618,2.6561,2.6657,8249566,115950160.8,-0.0885,-3.2123,14.0553,29.4627,388080000,N/A,1233540000,28000000,0,89000000,39.9813,6.5325,2.0214,23.655,
002068.SZ,黑猫股份,2006-09-20,2.6657,2.6195,2.6503,2.5714,2.6311,4312937,58707857.6,-0.0346,-1.2987,13.612,15.4033,383040000,N/A,1217520000,28000000,0,89000000,39.4621,6.4477,1.9952,23.3478,
002068.SZ,黑猫股份,2006-09-21,2.6311,2.6099,2.7118,2.5811,2.6695,4818748,66430080.9,0.0385,1.462,13.7858,17.2098,388640000,N/A,1235320000,28000000,0,89000000,40.039,6.542,2.0243,23.6891,
002068.SZ,黑猫股份,2006-09-22,2.6695,2.6695,2.7041,2.6176,2.6311,3197044,44106040,-0.0385,-1.4409,13.7959,11.418,383040000,N/A,1217520000,28000000,0,89000000,39.4621,6.4477,1.9952,23.3478,
002068.SZ,黑猫股份,2006-09-25,2.6311,2.5888,2.6272,2.4618,2.4984,3281366,43299444.5,-0.1327,-5.0439,13.1956,11.7192,363720000,N/A,1156110000,28000000,0,89000000,37.4717,6.1225,1.8945,22.1702,
002068.SZ,黑猫股份,2006-09-26,2.4984,2.481,2.5291,2.4349,2.5291,2133605,27459031.2,0.0308,1.2317,12.8698,7.62,368200000,N/A,1170350000,28000000,0,89000000,37.9332,6.1979,1.9179,22.4432,
002068.SZ,黑猫股份,2006-09-27,2.5291,2.5407,2.5753,2.4868,2.5195,1673500,21906452.7,-0.0096,-0.3802,13.0902,5.9768,366800000,N/A,1165900000,28000000,0,89000000,37.789,6.1743,1.9106,22.3579,
002068.SZ,黑猫股份,2006-09-28,2.5195,2.5137,2.5522,2.5003,2.5234,1155203,15165068.3,0.0038,0.1527,13.1276,4.1257,367360000,N/A,1167680000,28000000,0,89000000,37.8467,6.1838,1.9135,22.392,
002068.SZ,黑猫股份,2006-09-29,2.5234,2.5234,2.5907,2.5099,2.5522,1987579,26457330.4,0.0288,1.1433,13.3113,7.0985,371560000,N/A,1181030000,28000000,0,89000000,38.2794,6.2544,1.9354,22.6481,
