代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002756.SZ,永兴特钢,2015-05-15,N/A,26.09,31.31,26.09,31.31,43271,1350500,N/A,N/A,31.2103,0.0865,1565500000,N/A,6262000000,50000000,0,200000000,23.7075,3.6759,1.5582,183.2013,
002756.SZ,永兴特钢,2015-05-18,31.31,34.44,34.44,34.44,34.44,12300,423612,3.13,9.9968,34.44,0.0246,1722000000,N/A,6888000000,50000000,0,200000000,26.0775,4.0434,1.7139,201.5156,
002756.SZ,永兴特钢,2015-05-19,34.44,37.88,37.88,37.88,37.88,18100,685628,3.44,9.9884,37.88,0.0362,1894000000,N/A,7576000000,50000000,0,200000000,28.6823,4.4473,1.8851,221.6437,
002756.SZ,永兴特钢,2015-05-20,37.88,41.67,41.67,41.67,41.67,15700,654219,3.79,10.0053,41.67,0.0314,2083500000,N/A,8334000000,50000000,0,200000000,31.552,4.8922,2.0737,243.8198,
002756.SZ,永兴特钢,2015-05-21,41.67,45.84,45.84,45.84,45.84,25600,1173504,4.17,10.0072,45.84,0.0512,2292000000,N/A,9168000000,50000000,0,200000000,34.7095,5.3818,2.2813,268.2193,
002756.SZ,永兴特钢,2015-05-22,45.84,50.42,50.42,50.42,50.42,36185,1824447.7,4.58,9.9913,50.42,0.0724,2521000000,N/A,10084000000,50000000,0,200000000,38.1774,5.9195,2.5092,295.0179,
002756.SZ,永兴特钢,2015-05-25,50.42,55.46,55.46,55.46,55.46,36800,2040928,5.04,9.996,55.46,0.0736,2773000000,N/A,11092000000,50000000,0,200000000,41.9936,6.5112,2.76,324.5079,
002756.SZ,永兴特钢,2015-05-26,55.46,61.01,61.01,61.01,61.01,29640,1808336.4,5.55,10.0072,61.01,0.0593,3050500000,N/A,12202000000,50000000,0,200000000,46.196,7.1628,3.0362,356.9821,
002756.SZ,永兴特钢,2015-05-27,61.01,67.11,67.11,67.11,67.11,30400,2040144,6.1,9.9984,67.11,0.0608,3355500000,N/A,13422000000,50000000,0,200000000,50.8148,7.879,3.3398,392.6745,
002756.SZ,永兴特钢,2015-05-28,67.11,73.82,73.82,73.82,73.82,155196,11456568.7,6.71,9.9985,73.82,0.3104,3691000000,N/A,14764000000,50000000,0,200000000,55.8956,8.6668,3.6737,431.9361,
002756.SZ,永兴特钢,2015-05-29,73.82,81.2,81.2,81.2,81.2,689319,55972702.8,7.38,9.9973,81.2,1.3786,4060000000,N/A,16240000000,50000000,0,200000000,61.4836,9.5332,4.041,475.118,
002756.SZ,永兴特钢,2015-06-01,81.2,89.32,89.32,89.32,89.32,89700,8012004,8.12,10,89.32,0.1794,4466000000,N/A,17864000000,50000000,0,200000000,67.632,10.4866,4.4451,522.6298,
002756.SZ,永兴特钢,2015-06-02,89.32,98.25,98.25,98.25,98.25,127370,12514102.5,8.93,9.9978,98.25,0.2547,4912500000,N/A,19650000000,50000000,0,200000000,74.3936,11.535,4.8895,574.8811,
002756.SZ,永兴特钢,2015-06-03,98.25,108.08,108.08,103.87,108.08,9712872,1047496888.8,9.83,10.0051,107.8463,19.4257,5404000000,N/A,21616000000,50000000,0,200000000,81.8368,12.6891,5.3787,632.3985,
002756.SZ,永兴特钢,2015-06-04,108.08,113,113,97.27,97.27,15677780,1600429042.6,-10.81,-10.0019,102.0826,31.3556,4863500000,N/A,19454000000,50000000,0,200000000,73.6516,11.4199,4.8407,569.1469,
002756.SZ,永兴特钢,2015-06-05,97.27,91,95.97,87.54,89.51,16432095,1476295633.5,-7.76,-7.9778,89.8422,32.8642,4475500000,N/A,17902000000,50000000,0,200000000,67.7758,10.5089,4.4545,523.7416,
002756.SZ,永兴特钢,2015-06-08,89.51,86.99,89,82.35,83.1,11312466,965711234.5,-6.41,-7.1612,85.367,22.6249,4155000000,N/A,16620000000,50000000,0,200000000,62.9223,9.7563,4.1355,486.2353,
002756.SZ,永兴特钢,2015-06-09,83.1,81.6,86.5,81.11,84.47,6862426,580344854.7,1.37,1.6486,84.5685,13.7249,4223500000,N/A,16894000000,50000000,0,200000000,63.9596,9.9171,4.2037,494.2515,
002756.SZ,永兴特钢,2015-06-10,84.47,82.88,88.57,81.8,86.56,8397645,726960844.5,2.09,2.4743,86.5672,16.7953,4328000000,N/A,17312000000,50000000,0,200000000,65.5421,10.1625,4.3077,506.4805,
002756.SZ,永兴特钢,2015-06-11,86.56,86.95,95.22,84.96,95.22,10559113,968901627.7,8.66,10.0046,91.7598,21.1182,4761000000,N/A,19044000000,50000000,0,200000000,72.0994,11.1792,4.7387,557.1519,
002756.SZ,永兴特钢,2015-06-12,95.22,99,103.3,85.8,86.12,15356495,1446434601.2,-9.1,-9.5568,94.1904,30.713,4306000000,N/A,17224000000,50000000,0,200000000,65.209,10.1109,4.2858,503.906,
002756.SZ,永兴特钢,2015-06-15,86.12,80.12,81.86,77.51,77.51,7477740,586409322.4,-8.61,-9.9977,78.4207,14.9555,3875500000,N/A,15502000000,50000000,0,200000000,58.6896,9.1,3.8573,453.5271,
002756.SZ,永兴特钢,2015-06-16,77.51,72.02,75.05,70,70.24,8079377,578692128.2,-7.27,-9.3794,71.6258,16.1588,3512000000,N/A,14048000000,50000000,0,200000000,53.1848,8.2465,3.4956,410.9888,
002756.SZ,永兴特钢,2015-06-17,70.24,71.08,73.97,68.8,73.35,5610114,402345810.8,3.11,4.4277,71.7179,11.2202,3667500000,N/A,14670000000,50000000,0,200000000,55.5397,8.6116,3.6503,429.186,
002756.SZ,永兴特钢,2015-06-18,73.35,73,73,66.02,66.02,5215081,361694563.5,-7.33,-9.9932,69.3555,10.4302,3301000000,N/A,13204000000,50000000,0,200000000,49.9895,7.751,3.2855,386.2967,
002756.SZ,永兴特钢,2015-06-19,66.02,63.5,72.5,61,64.97,5627228,371204987.4,-1.05,-1.5904,65.9659,11.2545,3248500000,N/A,12994000000,50000000,0,200000000,49.1945,7.6278,3.2333,380.1529,
