代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002129.SZ,中环股份,2007-04-20,N/A,4.0294,4.3172,4.0294,4.1661,51777152,897129335.9,N/A,N/A,17.3267,64.7214,1389600000,N/A,6299468243.19,80000000,0,362663687,84.3792,15.2566,11.1038,268.2455,
002129.SZ,中环股份,2007-04-23,4.1661,4.1613,4.1949,3.8375,4.1037,21307958,361069101.7,-0.0624,-1.4968,16.9453,26.6349,1368800000,N/A,6205175684.57,80000000,0,362663687,83.1162,15.0282,10.9376,264.2303,
002129.SZ,中环股份,2007-04-24,4.1037,4.1013,4.2644,4.0774,4.1733,15872963,275698076.4,0.0696,1.6949,17.369,19.8412,1392000000,N/A,6310348153.8,80000000,0,362663687,84.525,15.2829,11.123,268.7088,
002129.SZ,中环股份,2007-04-25,4.1733,4.1685,4.2548,4.0054,4.0654,12557050,215002020.9,-0.1079,-2.5862,17.122,15.6963,1356000000,N/A,6147149494.65,80000000,0,362663687,82.339,14.8877,10.8354,261.7595,
002129.SZ,中环股份,2007-04-26,4.0654,4.0534,4.0774,3.9406,3.9742,9373339,155609328.8,-0.0911,-2.2419,16.6013,11.7167,1325600000,N/A,6009337293.59,80000000,0,362663687,80.493,14.5539,10.5924,255.8911,
002129.SZ,中环股份,2007-04-27,3.9742,3.9814,4.0702,3.8423,4.0294,9471911,155574388.5,0.0552,1.3881,16.4248,11.8399,1344000000,N/A,6092749941.6,80000000,0,362663687,81.6103,14.7559,10.7395,259.443,
002129.SZ,中环股份,2007-04-30,4.0294,3.979,4.0126,3.8999,3.9335,4733041,77945003.3,-0.0959,-2.381,16.4683,5.9163,1312000000,N/A,5947684466.8,80000000,0,362663687,79.6672,14.4046,10.4838,253.2658,
002129.SZ,中环股份,2007-05-08,3.9335,3.9814,3.9838,3.9095,3.9622,5531408,90974513.2,0.0288,0.7317,16.4469,6.9143,1321600000,N/A,5991204109.24,80000000,0,362663687,80.2502,14.51,10.5605,255.119,
002129.SZ,中环股份,2007-05-09,3.9622,3.9335,3.9694,3.8087,3.967,7813060,126861400.8,0.0048,0.1211,16.2371,9.7663,1323200000,N/A,5998457382.98,80000000,0,362663687,80.3473,14.5276,10.5733,255.4278,
002129.SZ,中环股份,2007-05-10,3.967,3.979,4.0534,3.9574,3.9718,7482159,124796088.8,0.0048,0.1209,16.6792,9.3527,1324800000,N/A,6005710656.72,80000000,0,362663687,80.4445,14.5451,10.586,255.7367,
002129.SZ,中环股份,2007-05-11,3.9718,3.967,3.967,3.8591,3.9023,3549048,57773872,-0.0696,-1.7512,16.2787,4.4363,1301600000,N/A,5900538187.49,80000000,0,362663687,79.0357,14.2904,10.4007,251.2582,
002129.SZ,中环股份,2007-05-14,3.9023,3.8519,3.9502,3.8159,3.8903,4177961,67899740.8,-0.012,-0.3073,16.2519,5.2225,1297600000,N/A,5882405003.14,80000000,0,362663687,78.7928,14.2465,10.3687,250.4861,
002129.SZ,中环股份,2007-05-15,3.8903,3.8903,3.8903,3.8903,3.8903,N/A,N/A,0,0,N/A,N/A,1297600000,N/A,5882405003.14,80000000,0,362663687,78.7928,14.2465,10.3687,250.4861,
