測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
300099.SZ,蚧醫縐,2010-08-06,N/A,5.7238,5.9839,5.5751,5.7907,6909943,537283181.3,N/A,N/A,77.7551,82.853,649686000,N/A,3220386000,8340000,0,41340000,66.8026,24.5489,37.2378,3930.4338,
300099.SZ,蚧醫縐,2010-08-09,5.7907,5.7201,5.8947,5.6212,5.6457,3828403,294800781.4,-0.145,-2.5032,77.0036,45.9041,633423000,N/A,3139773000,8340000,0,41340000,65.1304,23.9344,36.3057,3832.0469,
300099.SZ,蚧醫縐,2010-08-10,5.6457,5.5751,5.8397,5.5454,5.7981,2638959,202602651.1,0.1524,2.6991,76.7737,31.6422,650520000,N/A,3224520000,8340000,0,41340000,66.8883,24.5804,37.2856,3935.4792,
300099.SZ,蚧醫縐,2010-08-11,5.7981,5.7803,5.8264,5.6509,5.7223,1806007,139312465.5,-0.0758,-1.3077,77.1384,21.6548,642013200,N/A,3182353200,8340000,0,41340000,66.0136,24.259,36.798,3884.0154,
300099.SZ,蚧醫縐,2010-08-12,5.7223,5.6123,5.642,5.3239,5.3528,2268084,168388122.7,-0.3694,-6.4562,74.2425,27.1953,600563400,N/A,2976893400,8340000,0,41340000,61.7516,22.6927,34.4223,3633.2546,
300099.SZ,蚧醫縐,2010-08-13,5.3528,5.3402,5.4227,5.2778,5.4041,973782,70227686.3,0.0513,0.9582,72.1185,11.676,606318000,N/A,3005418000,8340000,0,41340000,62.3433,22.9102,34.7521,3668.0686,
300099.SZ,蚧醫縐,2010-08-16,5.4041,5.3737,5.448,5.3187,5.4041,964118,69730088.6,0,0,72.3253,11.5602,606318000,N/A,3005418000,8340000,0,41340000,62.3433,22.9102,34.7521,3668.0686,
300099.SZ,蚧醫縐,2010-08-17,5.4041,5.4175,5.5,5.3744,5.4116,721421,52803167.2,0.0074,0.1376,73.1933,8.6501,607152000,N/A,3009552000,8340000,0,41340000,62.4291,22.9417,34.7999,3673.114,
300099.SZ,蚧醫縐,2010-08-18,5.4116,5.4175,5.4599,5.2911,5.303,779869,56141035.6,-0.1085,-2.0055,71.9878,9.3509,594975600,N/A,2949195600,8340000,0,41340000,61.1771,22.4816,34.102,3599.45,
300099.SZ,蚧醫縐,2010-08-19,5.303,5.312,5.419,5.312,5.3595,662842,48003496.9,0.0565,1.0653,72.4207,7.9477,601314000,N/A,2980614000,8340000,0,41340000,61.8288,22.7211,34.4653,3637.7957,
300099.SZ,蚧醫縐,2010-08-20,5.3595,5.3068,5.5253,5.3068,5.4235,827208,60515448.8,0.0639,1.1928,73.1563,9.9186,608486400,N/A,3016166400,8340000,0,41340000,62.5663,22.9921,34.8764,3681.1868,
300099.SZ,蚧醫縐,2010-08-23,5.4235,5.4547,5.946,5.4264,5.8063,1770794,136741849.1,0.3828,7.0587,77.2206,21.2325,651437400,N/A,3229067400,8340000,0,41340000,66.9826,24.6151,37.3382,3941.0293,
300099.SZ,蚧醫縐,2010-08-24,5.8063,5.7609,5.8628,5.6911,5.7684,872304,67822287.5,-0.0379,-0.6529,77.7507,10.4593,647184000,N/A,3207984000,8340000,0,41340000,66.5453,24.4543,37.0944,3915.2974,
300099.SZ,蚧醫縐,2010-08-25,5.7684,5.7223,5.9468,5.4428,5.4525,1117860,85781116.2,-0.3159,-5.4768,76.7369,13.4036,611739000,N/A,3032289000,8340000,0,41340000,62.9007,23.115,35.0628,3700.8643,
300099.SZ,蚧醫縐,2010-08-26,5.4525,5.451,5.6866,5.4264,5.6777,990412,73662324.5,0.2252,4.1309,74.3754,11.8754,637009200,N/A,3157549200,8340000,0,41340000,65.4991,24.0699,36.5112,3853.7424,
300099.SZ,蚧醫縐,2010-08-27,5.6777,5.7067,5.9319,5.6257,5.8323,1065253,83131778,0.1546,2.7232,78.0395,12.7728,654356400,N/A,3243536400,8340000,0,41340000,67.2828,24.7253,37.5055,3958.6885,
300099.SZ,蚧醫縐,2010-08-30,5.8323,5.8717,6.4062,5.871,6.2872,1316100,109336032.6,0.4549,7.8002,83.0758,15.7806,705397200,N/A,3496537200,8340000,0,41340000,72.531,26.654,40.431,4267.4722,
300099.SZ,蚧醫縐,2010-08-31,6.2872,6.2441,6.6827,6.1698,6.5823,1412998,123479125.6,0.2951,4.6938,87.388,16.9424,738507000,N/A,3660657000,8340000,0,41340000,75.9354,27.905,42.3287,4467.7783,
