´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
000902.SZ,ÐÂÑó·á,1999-04-08,N/A,2.2328,2.5202,2.1723,2.4748,40709100,310572794.4,N/A,N/A,7.6291,69.5882,478530000,N/A,1758700000,58500000,0,215000000,34.2089,7.2962,6.8506,N/A,
000902.SZ,ÐÂÑó·á,1999-04-09,2.4748,2.4415,2.5535,2.375,2.4234,20812900,168792775.1,-0.0514,-2.0782,8.11,35.5776,468585000,N/A,1722150000,58500000,0,215000000,33.4979,7.1446,6.7082,N/A,
000902.SZ,ÐÂÑó·á,1999-04-12,2.4234,2.4506,2.617,2.4325,2.5111,13572100,113035366.8,0.0877,3.6205,8.3285,23.2002,485550000,N/A,1784500000,58500000,0,215000000,34.7107,7.4032,6.9511,N/A,
000902.SZ,ÐÂÑó·á,1999-04-13,2.5111,2.5111,2.5535,2.4082,2.4204,8086100,66015962.8,-0.0908,-3.6145,8.1641,13.8224,468000000,N/A,1720000000,58500000,0,215000000,33.4561,7.1356,6.6999,N/A,
000902.SZ,ÐÂÑó·á,1999-04-14,2.4204,2.4204,2.5323,2.4204,2.5111,5507100,45239083.1,0.0908,3.75,8.2147,9.4138,485550000,N/A,1784500000,58500000,0,215000000,34.7107,7.4032,6.9511,N/A,
000902.SZ,ÐÂÑó·á,1999-04-15,2.5111,2.5141,2.6926,2.4657,2.614,9990100,85312417.9,0.1029,4.0964,8.5397,17.0771,505440000,N/A,1857600000,58500000,0,215000000,36.1326,7.7065,7.2358,N/A,
000902.SZ,ÐÂÑó·á,1999-04-16,2.614,2.6079,2.7168,2.5777,2.617,8006900,70220142.1,0.003,0.1157,8.77,13.687,506025000,N/A,1859750000,58500000,0,215000000,36.1744,7.7154,7.2442,N/A,
000902.SZ,ÐÂÑó·á,1999-04-19,2.617,2.6624,2.7108,2.5565,2.5686,6666800,57585440.3,-0.0484,-1.8497,8.6376,11.3962,496665000,N/A,1825350000,58500000,0,215000000,35.5053,7.5727,7.1102,N/A,
000902.SZ,ÐÂÑó·á,1999-04-20,2.5686,2.5656,2.6019,2.5202,2.5383,4687500,39497045.8,-0.0303,-1.1779,8.426,8.0128,490815000,N/A,1803850000,58500000,0,215000000,35.0871,7.4835,7.0265,N/A,
000902.SZ,ÐÂÑó·á,1999-04-21,2.5383,2.5656,2.614,2.5111,2.5262,3526900,29812602,-0.0121,-0.4768,8.4529,6.0289,488475000,N/A,1795250000,58500000,0,215000000,34.9198,7.4478,6.993,N/A,
