╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
002213.SZ,ль╤Ш╪я,2008-02-01,N/A,7.1524,7.1524,6.1987,6.3799,14763106,202741463.6,N/A,N/A,13.733,70.9765,278304000,N/A,1378140000,20800000,0,103000000,57.621,13.1295,10.1544,-189.0267,
002213.SZ,ль╤Ш╪я,2008-02-04,6.3799,6.6803,6.9044,6.399,6.7471,8862267,123676798.8,0.3672,5.7549,13.9554,42.6071,294320000,N/A,1457450000,20800000,0,103000000,60.937,13.8851,10.7388,-199.9049,
002213.SZ,ль╤Ш╪я,2008-02-05,6.7471,6.5897,6.6708,6.3895,6.5325,5183405,70978226.5,-0.2146,-3.1802,13.6934,24.9202,284960000,N/A,1411100000,20800000,0,103000000,58.9991,13.4435,10.3973,-193.5475,
002213.SZ,ль╤Ш╪я,2008-02-13,6.5325,6.4419,6.7232,6.3656,6.6374,3050435,42266580.3,0.1049,1.6058,13.8559,14.6656,289536000,N/A,1433760000,20800000,0,103000000,59.9465,13.6594,10.5642,-196.6556,
002213.SZ,ль╤Ш╪я,2008-02-14,6.6374,6.6803,6.79,6.5421,6.7137,2767971,38796414.8,0.0763,1.1494,14.0162,13.3076,292864000,N/A,1450240000,20800000,0,103000000,60.6356,13.8164,10.6857,-198.916,
002213.SZ,ль╤Ш╪я,2008-02-15,6.7137,6.6613,6.6613,6.4372,6.5945,2383993,32716514.1,-0.1192,-1.7756,13.7234,11.4615,287664000,N/A,1424490000,20800000,0,103000000,59.559,13.5711,10.4959,-195.3841,
002213.SZ,ль╤Ш╪я,2008-02-18,6.5945,6.6279,7.0713,6.5802,6.914,4327889,61987652.1,0.3195,4.8445,14.3228,20.8072,301600000,N/A,1493500000,20800000,0,103000000,62.4443,14.2285,11.0044,-204.8496,
002213.SZ,ль╤Ш╪я,2008-02-19,6.914,6.8663,7.0332,6.7948,6.9426,2575928,37358751.1,0.0286,0.4138,14.503,12.3843,302848000,N/A,1499680000,20800000,0,103000000,62.7027,14.2874,11.0499,-205.6972,
002213.SZ,ль╤Ш╪я,2008-02-20,6.9426,6.9617,6.995,6.7995,6.7995,2374036,34178158.2,-0.143,-2.0604,14.3966,11.4136,296608000,N/A,1468780000,20800000,0,103000000,61.4108,13.993,10.8223,-201.4589,
002213.SZ,ль╤Ш╪я,2008-02-21,6.7995,6.7519,6.8472,6.6279,6.7232,1586024,22448896.1,-0.0763,-1.122,14.1542,7.6251,293280000,N/A,1452300000,20800000,0,103000000,60.7217,13.836,10.7008,-199.1985,
002213.SZ,ль╤Ш╪я,2008-02-22,6.7232,6.6851,7.0475,6.6851,6.9998,3253059,47073947.5,0.2766,4.1135,14.4707,15.6397,305344000,N/A,1512040000,20800000,0,103000000,63.2195,14.4052,11.141,-207.3925,
002213.SZ,ль╤Ш╪я,2008-02-25,6.9998,7.0093,7.6912,6.9378,7.3908,6922058,106225737.6,0.391,5.5858,15.346,33.2791,322400000,N/A,1596500000,20800000,0,103000000,66.7508,15.2098,11.7633,-218.9771,
002213.SZ,ль╤Ш╪я,2008-02-26,7.3908,7.3956,7.5339,6.8186,7.0856,3696746,55450896,-0.3052,-4.129,14.9999,17.7728,309088000,N/A,1530580000,20800000,0,103000000,63.9947,14.5818,11.2776,-209.9355,
002213.SZ,ль╤Ш╪я,2008-02-27,7.0856,7.057,7.7961,6.995,7.7961,5436804,85838776.5,0.7105,10.0269,15.7885,26.1385,340080000,N/A,1684050000,20800000,0,103000000,70.4113,16.0439,12.4084,-230.9855,
002213.SZ,ль╤Ш╪я,2008-02-28,7.7961,7.8199,7.8915,7.5386,7.5815,3243312,52273456.5,-0.2146,-2.7523,16.1173,15.5928,330720000,N/A,1637700000,20800000,0,103000000,68.4734,15.6023,12.0669,-224.6281,
002213.SZ,ль╤Ш╪я,2008-02-29,7.5815,7.5815,7.7818,7.4385,7.5815,2639181,41955169.4,0,0,15.897,12.6884,330720000,N/A,1637700000,20800000,0,103000000,68.4734,15.6023,12.0669,-224.6281,
002213.SZ,ль╤Ш╪я,2008-03-03,7.5815,7.572,7.9105,7.3002,7.8486,2665964,42466364.8,0.267,3.522,15.9291,12.8171,342368000,N/A,1695380000,20800000,0,103000000,70.8851,16.1518,12.4919,-232.5396,
002213.SZ,ль╤Ш╪я,2008-03-04,7.8486,7.839,7.839,7.4766,7.4957,2237445,35685121.3,-0.3529,-4.4957,15.949,10.7569,326976000,N/A,1619160000,20800000,0,103000000,67.6982,15.4257,11.9303,-222.0852,
002213.SZ,ль╤Ш╪я,2008-03-05,7.4957,7.4766,7.572,7.2048,7.2954,2200983,33919612.3,-0.2003,-2.6718,15.4111,10.5816,318240000,N/A,1575900000,20800000,0,103000000,65.8895,15.0136,11.6116,-216.1516,
002213.SZ,ль╤Ш╪я,2008-03-06,7.2954,7.2048,7.4576,7.2001,7.2239,1382908,21164203.4,-0.0715,-0.9804,15.3041,6.6486,315120000,N/A,1560450000,20800000,0,103000000,65.2435,14.8664,11.4977,-214.0325,
002213.SZ,ль╤Ш╪я,2008-03-07,7.2239,7.1572,7.3813,7.0809,7.1333,1222523,18442512.3,-0.0906,-1.2541,15.0856,5.8775,311168000,N/A,1540880000,20800000,0,103000000,64.4253,14.6799,11.3535,-211.3482,
002213.SZ,ль╤Ш╪я,2008-03-10,7.1333,7.0475,7.1953,6.7614,6.7995,1383992,20154191.5,-0.3338,-4.6791,14.5624,6.6538,296608000,N/A,1468780000,20800000,0,103000000,61.4108,13.993,10.8223,-201.4589,
002213.SZ,ль╤Ш╪я,2008-03-11,6.7995,6.7757,6.9807,6.6851,6.9617,761823,10911989.5,0.1621,2.3843,14.3235,3.6626,303680000,N/A,1503800000,20800000,0,103000000,62.875,14.3267,11.0803,-206.2623,
002213.SZ,ль╤Ш╪я,2008-03-12,6.9617,7.0236,7.0523,6.6756,6.6851,1066497,15327411.4,-0.2766,-3.9726,14.3717,5.1274,291616000,N/A,1444060000,20800000,0,103000000,60.3772,13.7575,10.6401,-198.0683,
002213.SZ,ль╤Ш╪я,2008-03-13,6.6851,6.6279,6.8663,6.5087,6.7519,1013841,14193623.9,0.0668,0.9986,13.9999,4.8742,294528000,N/A,1458480000,20800000,0,103000000,60.9801,13.8949,10.7464,-200.0462,
002213.SZ,ль╤Ш╪я,2008-03-14,6.7519,6.7709,6.9044,6.6756,6.8186,686935,9844356.2,0.0668,0.9887,14.3308,3.3026,297440000,N/A,1472900000,20800000,0,103000000,61.583,14.0323,10.8526,-202.024,
002213.SZ,ль╤Ш╪я,2008-03-17,6.8186,6.7709,6.8281,6.4085,6.4419,883035,12161378.4,-0.3767,-5.5245,13.7722,4.2454,281008000,N/A,1391530000,20800000,0,103000000,58.1809,13.2571,10.2531,-190.8633,
002213.SZ,ль╤Ш╪я,2008-03-18,6.4419,6.4419,6.6183,5.9222,6.1034,1413943,18547029.1,-0.3385,-5.2554,13.1172,6.7978,266240000,N/A,1318400000,20800000,0,103000000,55.1233,12.5604,9.7142,-180.8327,
002213.SZ,ль╤Ш╪я,2008-03-19,6.1034,6.2464,6.4801,6.0557,6.3895,1072690,14196649.9,0.2861,4.6875,13.2346,5.1572,278720000,N/A,1380200000,20800000,0,103000000,57.7072,13.1491,10.1696,-189.3092,
002213.SZ,ль╤Ш╪я,2008-03-20,6.3895,6.1749,6.6279,6.0366,6.5325,938293,12542269.3,0.143,2.2388,13.3671,4.511,284960000,N/A,1411100000,20800000,0,103000000,58.9991,13.4435,10.3973,-193.5475,
002213.SZ,ль╤Ш╪я,2008-03-21,6.5325,6.5421,6.604,6.3847,6.5087,693093,9444249.9,-0.0238,-0.365,13.6262,3.3322,283920000,N/A,1405950000,20800000,0,103000000,58.7838,13.3944,10.3593,-192.8411,
002213.SZ,ль╤Ш╪я,2008-03-24,6.5087,6.5754,6.5754,6.3466,6.4467,571769,7731232.3,-0.062,-0.9524,13.5216,2.7489,281216000,N/A,1392560000,20800000,0,103000000,58.2239,13.2669,10.2607,-191.0045,
002213.SZ,ль╤Ш╪я,2008-03-25,6.4467,6.461,6.7519,6.3704,6.7471,1088326,15052962.4,0.3004,4.6598,13.8313,5.2323,294320000,N/A,1457450000,20800000,0,103000000,60.937,13.8851,10.7388,-199.9049,
002213.SZ,ль╤Ш╪я,2008-03-26,6.7471,6.7519,6.8043,6.5468,6.604,803362,11246040.3,-0.143,-2.1201,13.9987,3.8623,288080000,N/A,1426550000,20800000,0,103000000,59.6451,13.5907,10.5111,-195.6666,
002213.SZ,ль╤Ш╪я,2008-03-27,6.604,6.5325,6.6517,6.3466,6.6517,1154678,15847222.8,0.0477,0.722,13.7244,5.5513,290160000,N/A,1436850000,20800000,0,103000000,60.0757,13.6888,10.587,-197.0794,
002213.SZ,ль╤Ш╪я,2008-03-28,6.6517,6.5802,6.8329,6.461,6.8091,2149128,30247750.3,0.1574,2.3656,14.0744,10.3323,297024000,N/A,1470840000,20800000,0,103000000,61.4969,14.0127,10.8374,-201.7415,
002213.SZ,ль╤Ш╪я,2008-03-31,6.8091,6.7185,6.7662,6.5373,6.6088,1077008,14995510.8,-0.2003,-2.9412,13.9233,5.1779,288288000,N/A,1427580000,20800000,0,103000000,59.6881,13.6005,10.5187,-195.8079,
002213.SZ,ль╤Ш╪я,2008-04-01,6.6088,6.5039,6.728,5.9603,6.1272,1344285,17323742.2,-0.4816,-7.2872,12.887,6.4629,267280000,N/A,1323550000,20800000,0,103000000,55.3386,12.6094,9.7522,-181.5391,
002213.SZ,ль╤Ш╪я,2008-04-02,6.1272,6.1415,6.194,5.7553,5.7744,1110050,13703652.8,-0.3529,-5.7588,12.3451,5.3368,251888000,N/A,1247330000,20800000,0,103000000,52.1518,11.8833,9.1906,-171.0847,
002213.SZ,ль╤Ш╪я,2008-04-03,5.7744,5.7219,5.9126,5.5073,5.9126,477256,5712734.9,0.1383,2.3947,11.97,2.2945,257920000,N/A,1277200000,20800000,0,103000000,53.4007,12.1679,9.4107,-175.1817,
002213.SZ,ль╤Ш╪я,2008-04-07,5.9126,5.8602,6.1987,5.7744,6.1511,1546389,19687002.7,0.2384,4.0323,12.731,7.4346,268320000,N/A,1328700000,20800000,0,103000000,55.5539,12.6585,9.7901,-182.2455,
002213.SZ,ль╤Ш╪я,2008-04-08,6.1511,6.1034,6.2226,6.0175,6.0843,948660,12166880.2,-0.0668,-1.0853,12.8253,4.5609,265408000,N/A,1314280000,20800000,0,103000000,54.951,12.5211,9.6839,-180.2676,
002213.SZ,ль╤Ш╪я,2008-04-09,6.0843,6.0175,6.1034,5.679,5.7362,827081,10254702,-0.3481,-5.721,12.3987,3.9764,250224000,N/A,1239090000,20800000,0,103000000,51.8072,11.8048,9.1299,-169.9545,
002213.SZ,ль╤Ш╪я,2008-04-10,5.7362,5.8125,5.8173,5.555,5.8173,567868,6789830.6,0.0811,1.4131,11.9567,2.7301,253760000,N/A,1256600000,20800000,0,103000000,52.5394,11.9716,9.2589,-172.3562,
002213.SZ,ль╤Ш╪я,2008-04-11,5.8173,5.8316,6.0795,5.7744,5.9031,575150,7178576.4,0.0858,1.4754,12.4812,2.7651,257504000,N/A,1275140000,20800000,0,103000000,53.3145,12.1482,9.3955,-174.8991,
002213.SZ,ль╤Ш╪я,2008-04-14,5.9031,5.7887,5.7934,5.5312,5.5693,531706,6280009.7,-0.3338,-5.6543,11.8111,2.5563,242944000,N/A,1203040000,20800000,0,103000000,50.3,11.4613,8.8642,-165.0099,
002213.SZ,ль╤Ш╪я,2008-04-15,5.5693,5.5312,5.7553,5.493,5.7553,400324,4718085.1,0.186,3.339,11.7857,1.9246,251056000,N/A,1243210000,20800000,0,103000000,51.9795,11.844,9.1602,-170.5196,
002213.SZ,ль╤Ш╪я,2008-04-16,5.7553,5.6742,5.7124,5.5216,5.5693,344340,4043747,-0.186,-3.2312,11.7435,1.6555,242944000,N/A,1203040000,20800000,0,103000000,50.3,11.4613,8.8642,-165.0099,
002213.SZ,ль╤Ш╪я,2008-04-17,5.5693,5.4835,5.6504,5.2594,5.2928,628661,7172466.2,-0.2766,-4.9658,11.4091,3.0224,230880000,N/A,1143300000,20800000,0,103000000,47.8022,10.8922,8.4241,-156.8159,
002213.SZ,ль╤Ш╪я,2008-04-18,5.2928,5.3881,5.3881,4.9113,4.9161,800762,8494958.6,-0.3767,-7.1171,10.6086,3.8498,214448000,N/A,1061930000,20800000,0,103000000,44.4001,10.117,7.8245,-145.6551,
002213.SZ,ль╤Ш╪я,2008-04-21,4.9161,5.2451,5.3643,4.9256,5.0496,578809,6223011.8,0.1335,2.7158,10.7514,2.7827,220272000,N/A,1090770000,20800000,0,103000000,45.6059,10.3917,8.037,-149.6108,
002213.SZ,ль╤Ш╪я,2008-04-22,5.0496,4.9351,5.0544,4.5823,5.0544,865216,8687653.5,0.0048,0.0944,10.041,4.1597,220480000,N/A,1091800000,20800000,0,103000000,45.6489,10.4016,8.0446,-149.7521,
002213.SZ,ль╤Ш╪я,2008-04-23,5.0544,5.5073,5.5073,5.0067,5.2451,941876,10274623.4,0.1907,3.7736,10.9087,4.5282,228800000,N/A,1133000000,20800000,0,103000000,47.3715,10.7941,8.3482,-155.4031,
002213.SZ,ль╤Ш╪я,2008-04-24,5.2451,5.6027,5.7458,5.4263,5.6838,1938549,22729360.3,0.4387,8.3636,11.7249,9.3199,247936000,N/A,1227760000,20800000,0,103000000,51.3335,11.6968,9.0464,-168.4005,
002213.SZ,ль╤Ш╪я,2008-04-25,5.6838,5.6838,5.6838,5.6838,5.6838,N/A,N/A,0,0,N/A,N/A,247936000,N/A,1227760000,20800000,0,103000000,51.3335,11.6968,9.0464,-168.4005,
002213.SZ,ль╤Ш╪я,2008-04-28,5.6838,5.4501,5.4501,5.1497,5.1688,981067,10844001.2,-0.515,-9.0604,11.0533,4.7167,225472000,N/A,1116520000,20800000,0,103000000,46.6825,10.6371,8.2267,-153.1427,
002213.SZ,ль╤Ш╪я,2008-04-29,5.1688,5.021,5.3977,5.0162,5.3977,865386,9555057.6,0.2289,4.428,11.0414,4.1605,235456000,N/A,1165960000,20800000,0,103000000,48.7496,11.1081,8.591,-159.9239,
002213.SZ,ль╤Ш╪я,2008-04-30,5.3977,5.4024,5.6265,5.3691,5.5598,1876447,21535313.1,0.1621,3.0035,11.4766,9.0214,242528000,N/A,1200980000,20800000,0,103000000,50.2138,11.4417,8.8491,-164.7273,
002213.SZ,ль╤Ш╪я,2008-05-05,5.5598,5.5789,5.7601,5.2928,5.7219,4712351,54010219.9,0.1621,2.916,11.4614,18.1244,312000000,N/A,1236000000,26000000,0,103000000,51.6781,11.7753,9.1071,-169.5307,
002213.SZ,ль╤Ш╪я,2008-05-06,5.7219,5.6265,5.6742,5.4883,5.5121,2430908,28336300,-0.2098,-3.6667,11.6567,9.3496,300560000,N/A,1190680000,26000000,0,103000000,49.7832,11.3436,8.7732,-163.3145,
002213.SZ,ль╤Ш╪я,2008-05-07,5.5121,5.4787,5.5216,5.2451,5.2451,1554176,17578766.4,-0.267,-4.8443,11.3107,5.9776,286000000,N/A,1133000000,26000000,0,103000000,47.3715,10.7941,8.3482,-155.4031,
002213.SZ,ль╤Ш╪я,2008-05-08,5.2451,5.2594,5.6456,5.1974,5.617,1695064,19181506.3,0.3719,7.0909,11.3161,6.5195,306280000,N/A,1213340000,26000000,0,103000000,50.7306,11.5595,8.9401,-166.4226,
002213.SZ,ль╤Ш╪я,2008-05-09,5.617,5.555,5.6838,5.474,5.5789,2027158,23750732.4,-0.0381,-0.6791,11.7163,7.7968,304200000,N/A,1205100000,26000000,0,103000000,50.3861,11.481,8.8794,-165.2924,
002213.SZ,ль╤Ш╪я,2008-05-12,5.5789,5.5884,5.9508,5.5312,5.865,4925766,59271243.1,0.2861,5.1282,12.0329,18.9453,319800000,N/A,1266900000,26000000,0,103000000,52.97,12.0697,9.3348,-173.7689,
002213.SZ,ль╤Ш╪я,2008-05-13,5.865,5.7207,5.8938,5.5765,5.7159,2734304,32434827.6,-0.149,-2.541,11.8622,10.5166,309140000,N/A,1224670000,26000000,0,103000000,51.2043,11.6674,9.0236,-167.9766,
002213.SZ,ль╤Ш╪я,2008-05-14,5.7159,5.7015,5.865,5.6246,5.8169,1770536,21270020.5,0.101,1.7662,12.0133,6.8098,314600000,N/A,1246300000,26000000,0,103000000,52.1087,11.8735,9.183,-170.9434,
002213.SZ,ль╤Ш╪я,2008-05-15,5.8169,5.8217,5.9226,5.6823,5.7159,1639660,19907838,-0.101,-1.7355,12.1414,6.3064,309140000,N/A,1224670000,26000000,0,103000000,51.2043,11.6674,9.0236,-167.9766,
002213.SZ,ль╤Ш╪я,2008-05-16,5.7159,5.6534,5.7688,5.5044,5.5621,1338228,15613462.4,-0.1538,-2.6913,11.6673,5.147,300820000,N/A,1191710000,26000000,0,103000000,49.8263,11.3534,8.7808,-163.4558,
002213.SZ,ль╤Ш╪я,2008-05-19,5.5621,5.5765,5.5765,5.4371,5.4804,792108,9030646.5,-0.0817,-1.4693,11.4008,3.0466,296400000,N/A,1174200000,26000000,0,103000000,49.0941,11.1866,8.6517,-161.0541,
002213.SZ,ль╤Ш╪я,2008-05-20,5.4804,5.4756,5.5573,5.1246,5.1919,1151100,12909880.4,-0.2884,-5.2632,11.2153,4.4273,280800000,N/A,1112400000,26000000,0,103000000,46.5102,10.5978,8.1964,-152.5776,
002213.SZ,ль╤Ш╪я,2008-05-21,5.1919,5.2352,5.3313,5.0429,5.2833,850273,9061532.3,0.0913,1.7593,10.6572,3.2703,285740000,N/A,1131970000,26000000,0,103000000,47.3285,10.7842,8.3406,-155.2618,
