¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-10,N/A,4.2509,4.6563,4.2054,4.5766,12802240,343040902.2,N/A,N/A,26.7954,90.0932,399443100,N/A,1991059410,14210000,0,70831000,24.4909,8.2758,2.4345,-3019.2256,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-11,4.5766,4.57,4.7475,4.4056,4.4186,8879260,247921262.1,-0.1579,-3.4507,27.9214,62.486,385659400,N/A,1922353340,14210000,0,70831000,23.6458,7.9902,2.3505,-2915.0403,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-12,4.4186,4.3226,4.3242,4.0442,4.0719,6868530,176076884.5,-0.3468,-7.8482,25.6353,48.3359,355392100,N/A,1771483310,14210000,0,70831000,21.79,7.3631,2.166,-2686.2622,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-13,4.0719,4.0735,4.1956,3.909,3.94,4779546,118841141,-0.1319,-3.2387,24.8645,33.6351,343882000,N/A,1714110200,14210000,0,70831000,21.0843,7.1246,2.0959,-2599.2622,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-16,3.94,3.8032,3.8635,3.7251,3.7527,3137001,72882208.8,-0.1872,-4.7521,23.2331,22.076,327540500,N/A,1632654550,14210000,0,70831000,20.0824,6.7861,1.9963,-2475.7434,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-17,3.7527,3.7251,4.0018,3.7251,3.94,3861860,91942018.8,0.1872,4.9892,23.8077,27.1771,343882000,N/A,1714110200,14210000,0,70831000,21.0843,7.1246,2.0959,-2599.2622,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-18,3.94,3.9107,3.9351,3.546,3.546,4491537,102625918.3,-0.394,-10,22.8487,31.6083,309493800,N/A,1542699180,14210000,0,70831000,18.9759,6.4122,1.8863,-2339.3359,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-19,3.546,3.4809,3.7055,3.4369,3.6469,3064328,67658269.8,0.1009,2.8466,22.0793,21.5646,318304000,N/A,1586614400,14210000,0,70831000,19.5161,6.5947,1.94,-2405.9285,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-20,3.6469,3.6665,4.0116,3.6665,3.8097,3201314,75948995.2,0.1628,4.4643,23.7243,22.5286,332514000,N/A,1657445400,14210000,0,70831000,20.3873,6.8891,2.0266,-2513.3362,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-30,3.8097,3.7934,4.093,3.7723,3.9481,3989294,97048858.2,0.1384,3.6325,24.3273,28.0738,344592500,N/A,1717651750,14210000,0,70831000,21.1279,7.1394,2.1002,-2604.6326,
300283.SZ,Œ¬÷›∫Í∑·,2012-01-31,3.9481,3.9172,3.9628,3.8276,3.9351,2263301,54203654.7,-0.013,-0.3299,23.9489,15.9275,343455700,N/A,1711985270,14210000,0,70831000,21.0582,7.1158,2.0933,-2596.0398,
300283.SZ,Œ¬÷›∫Í∑·,2012-02-01,3.9351,3.9025,4.1109,3.883,4.0002,2981996,73478465.4,0.0651,1.6549,24.6407,20.9852,349139700,N/A,1740317670,14210000,0,70831000,21.4067,7.2336,2.1279,-2639.0029,
300283.SZ,Œ¬÷›∫Í∑·,2012-02-02,4.0002,3.9807,4.036,3.9188,4.0328,2157028,52729013.7,0.0326,0.814,24.4452,15.1796,351981700,N/A,1754483870,14210000,0,70831000,21.5809,7.2925,2.1453,-2660.4844,
300283.SZ,Œ¬÷›∫Í∑·,2012-02-03,4.0328,4.0214,4.15,3.9986,4.0719,3184931,79663749.8,0.0391,0.9689,25.0127,22.4133,355392100,N/A,1771483310,14210000,0,70831000,21.79,7.3631,2.166,-2686.2622,
300283.SZ,Œ¬÷›∫Í∑·,2012-02-06,4.0719,4.08,4.1321,4.0084,4.0898,2581268,64616466.6,0.0179,0.4398,25.0328,18.1652,356955200,N/A,1779274720,14210000,0,70831000,21.8859,7.3955,2.1756,-2698.0771,
300283.SZ,Œ¬÷›∫Í∑·,2012-02-07,4.0898,4.0539,4.0539,3.896,3.9416,2617615,63671867.5,-0.1482,-3.6226,24.3244,18.4209,344024100,N/A,1714818510,14210000,0,70831000,21.093,7.1276,2.0968,-2600.3362,
