ДњТы,МђГЦ,ШеЦк,ЧАЪеХЬМл(дЊ),ПЊХЬМл(дЊ),зюИпМл(дЊ),зюЕЭМл(дЊ),ЪеХЬМл(дЊ),ГЩНЛСП(ЙЩ),ГЩНЛН№Жю(дЊ),еЧЕј(дЊ),еЧЕјЗљ(%),ОљМл(дЊ),ЛЛЪжТЪ(%),AЙЩСїЭЈЪажЕ(дЊ),BЙЩСїЭЈЪажЕ(дЊ),змЪажЕ(дЊ),AЙЩСїЭЈЙЩБО(ЙЩ),BЙЩСїЭЈЙЩБО(ЙЩ),змЙЩБО(ЙЩ),ЪагЏТЪ,ЪаОЛТЪ,ЪаЯњТЪ,ЪаЯжТЪ,
002287.SZ,Цце§ВивЉ,2010-10-18,25.0716,24.7739,25.4437,22.7272,23.5366,8723673,223294047.7,-1.535,-6.1224,25.5963,21.2773,1037300000,N/A,10271800000,41000000,0,406000000,63.8746,8.986,21.8876,16.7835,
002287.SZ,Цце§ВивЉ,2010-10-19,23.5366,24.2808,24.6064,23.49,24.5413,10944124,281187394.1,1.0047,4.2688,25.693,26.693,1081580000,N/A,10710280000,41000000,0,406000000,66.6012,9.3696,22.8219,17.4999,
002287.SZ,Цце§ВивЉ,2010-10-20,24.5413,24.1692,24.5134,23.6017,23.9924,6879541,177943912.6,-0.5489,-2.2365,25.8657,16.7794,1057390000,N/A,10470740000,41000000,0,406000000,65.1117,9.16,22.3115,17.1085,
002287.SZ,Цце§ВивЉ,2010-10-21,23.9924,23.9645,24.5413,23.6296,24.4296,5149102,134204438.6,0.4372,1.8224,26.0637,12.5588,1076660000,N/A,10661560000,41000000,0,406000000,66.2983,9.3269,22.7181,17.4203,
002287.SZ,Цце§ВивЉ,2010-10-22,24.4296,24.5134,24.5413,24.0854,24.1971,4027495,104997069.1,-0.2326,-0.952,26.0701,9.8232,1066410000,N/A,10560060000,41000000,0,406000000,65.6671,9.2381,22.5018,17.2545,
002287.SZ,Цце§ВивЉ,2010-10-25,24.1971,24.1878,24.4203,23.825,24.3552,5319188,138316988.9,0.1582,0.6536,26.0034,12.9736,1073380000,N/A,10629080000,41000000,0,406000000,66.0963,9.2985,22.6489,17.3672,
002287.SZ,Цце§ВивЉ,2010-10-26,24.3552,24.3552,24.3552,24.3552,24.3552,N/A,N/A,0,0,N/A,N/A,1073380000,N/A,10629080000,41000000,0,406000000,66.0963,9.2985,22.6489,17.3672,
002287.SZ,Цце§ВивЉ,2010-10-27,24.3552,25.3227,26.681,25.3227,25.4902,9661912,269306710.9,1.135,4.66,27.873,23.5656,1123400000,N/A,11124400000,41000000,0,406000000,69.1764,9.7318,23.7043,18.1766,
002287.SZ,Цце§ВивЉ,2010-10-28,25.4902,25.4716,25.4809,24.7459,24.9227,4113592,110413355.1,-0.5675,-2.2263,26.8411,10.0332,1098390000,N/A,10876740000,41000000,0,406000000,67.6364,9.5152,23.1766,17.7719,
002287.SZ,Цце§ВивЉ,2010-10-29,24.9227,24.6529,25.1181,24.4203,24.5785,2752764,72982248.5,-0.3442,-1.3811,26.5124,6.7141,1083220000,N/A,10726520000,41000000,0,406000000,66.7022,9.3838,22.8565,17.5265,
002287.SZ,Цце§ВивЉ,2010-11-01,24.5785,24.6529,25.0995,24.4576,25.0716,4086747,108895992.8,0.4931,2.0061,26.6461,9.9677,1104950000,N/A,10941700000,41000000,0,406000000,68.0403,9.572,23.315,17.878,
002287.SZ,Цце§ВивЉ,2010-11-02,25.0716,25.0716,26.467,24.7087,25.7786,6818547,188880021.4,0.707,2.82,27.7009,16.6306,1136110000,N/A,11250260000,41000000,0,406000000,69.9591,9.8419,23.9725,18.3822,
002287.SZ,Цце§ВивЉ,2010-11-03,25.7786,25.9646,25.9646,25.146,25.2204,3240980,89201132.7,-0.5582,-2.1653,27.5229,7.9048,1111510000,N/A,11006660000,41000000,0,406000000,68.4443,9.6288,23.4535,17.9842,
002287.SZ,Цце§ВивЉ,2010-11-04,25.2204,25.1181,25.453,24.9785,25.3227,2805466,76031376.9,0.1023,0.4058,27.1012,6.8426,1116020000,N/A,11051320000,41000000,0,406000000,68.722,9.6679,23.5486,18.0572,
002287.SZ,Цце§ВивЉ,2010-11-05,25.3227,25.3506,26.0205,24.9971,25.9553,5250820,144087685.9,0.6326,2.4982,27.441,12.8069,1143900000,N/A,11327400000,41000000,0,406000000,70.4388,9.9094,24.1369,18.5083,
002287.SZ,Цце§ВивЉ,2010-11-08,25.9553,26.1042,26.4205,25.7786,26.3554,5189368,146114193.1,0.4,1.5412,28.1565,12.657,1161530000,N/A,11501980000,41000000,0,406000000,71.5244,10.0621,24.5089,18.7935,
002287.SZ,Цце§ВивЉ,2010-11-09,26.3554,26.4112,26.6531,26.16,26.56,4715775,134108777.9,0.2047,0.7766,28.4383,11.5019,1170550000,N/A,11591300000,41000000,0,406000000,72.0798,10.1403,24.6992,18.9394,
002287.SZ,Цце§ВивЉ,2010-11-10,26.56,26.7182,27.7787,26.6251,26.7554,5448210,159077622.2,0.1954,0.7356,29.1981,13.2883,1179160000,N/A,11676560000,41000000,0,406000000,72.61,10.2149,24.8809,19.0788,
002287.SZ,Цце§ВивЉ,2010-11-11,26.7554,26.6996,26.6996,26.0205,26.0205,4262844,120510978.1,-0.7349,-2.7469,28.2701,10.3972,1146770000,N/A,11355820000,41000000,0,406000000,70.6155,9.9343,24.1975,18.5547,
002287.SZ,Цце§ВивЉ,2010-11-12,26.0205,25.9832,25.9832,23.7319,23.7505,3721273,99073435.7,-2.2699,-8.7236,26.6235,9.0763,1046730000,N/A,10365180000,41000000,0,406000000,64.4553,9.0677,22.0866,16.936,
002287.SZ,Цце§ВивЉ,2010-11-15,23.7505,24.5413,24.6994,24.0017,24.6994,2892342,75794756.7,0.9489,3.9953,26.2053,7.0545,1088550000,N/A,10779300000,41000000,0,406000000,67.0304,9.4299,22.969,17.6127,
002287.SZ,Цце§ВивЉ,2010-11-16,24.6994,24.718,25.5832,24.2064,24.6994,3637775,97983521.5,0,0,26.935,8.8726,1088550000,N/A,10779300000,41000000,0,406000000,67.0304,9.4299,22.969,17.6127,
002287.SZ,Цце§ВивЉ,2010-11-17,24.6994,24.1878,24.6901,22.8202,22.876,2407080,61428978.3,-1.8234,-7.3823,25.5201,5.8709,1008190000,N/A,9983540000,41000000,0,406000000,62.082,8.7338,21.2733,16.3125,
002287.SZ,Цце§ВивЉ,2010-11-18,22.876,22.4388,23.3784,22.4388,23.0714,1497884,37015618.8,0.1954,0.854,24.7119,3.6534,1016800000,N/A,10068800000,41000000,0,406000000,62.6122,8.8084,21.455,16.4518,
002287.SZ,Цце§ВивЉ,2010-11-19,23.0714,23.2575,23.6668,23.0342,23.5924,1529402,38375138.5,0.521,2.2581,25.0916,3.7302,1039760000,N/A,10296160000,41000000,0,406000000,64.0261,9.0073,21.9395,16.8233,
002287.SZ,Цце§ВивЉ,2010-11-22,23.5924,23.7226,24.5227,23.6017,24.1971,1986667,51516542.7,0.6047,2.5631,25.9311,4.8455,1066410000,N/A,10560060000,41000000,0,406000000,65.6671,9.2381,22.5018,17.2545,
002287.SZ,Цце§ВивЉ,2010-11-23,24.1971,24.2064,24.2808,23.1365,23.5086,1289828,32721910.1,-0.6884,-2.8451,25.3692,3.1459,1036070000,N/A,10259620000,41000000,0,406000000,63.7988,8.9753,21.8616,16.7636,
002287.SZ,Цце§ВивЉ,2010-11-24,23.5086,23.3505,24.2808,23.1737,24.1878,1958773,50381459.9,0.6791,2.8888,25.7209,4.7775,1066000000,N/A,10556000000,41000000,0,406000000,65.6419,9.2346,22.4932,17.2478,
002287.SZ,Цце§ВивЉ,2010-11-25,24.1878,24.4483,24.7832,24.2808,24.4669,2123891,55921301.1,0.2791,1.1538,26.3296,5.1802,1078300000,N/A,10677800000,41000000,0,406000000,66.3993,9.3411,22.7527,17.4468,
002287.SZ,Цце§ВивЉ,2010-11-26,24.4669,24.4669,25.8437,24.0947,25.4716,4804156,130273686.3,1.0047,4.1065,27.1169,11.7175,1122580000,N/A,11116280000,41000000,0,406000000,69.1259,9.7247,23.687,18.1633,
002287.SZ,Цце§ВивЉ,2010-11-29,25.4716,25.3506,26.867,25.0064,26.3926,6428557,181127047.7,0.921,3.6158,28.1754,15.6794,1163170000,N/A,11518220000,41000000,0,406000000,71.6254,10.0764,24.5435,18.82,
002287.SZ,Цце§ВивЉ,2010-11-30,26.3926,26.0763,26.374,23.7691,24.718,4182860,112691190.9,-1.6745,-6.3447,26.9412,10.2021,1089370000,N/A,10787420000,41000000,0,406000000,67.0809,9.437,22.9863,17.626,
002287.SZ,Цце§ВивЉ,2010-12-01,24.718,24.4669,24.4669,23.8156,24.0389,1956176,50639699.5,-0.6791,-2.7475,25.8871,4.7712,1059440000,N/A,10491040000,41000000,0,406000000,65.2379,9.1778,22.3547,17.1417,
002287.SZ,Цце§ВивЉ,2010-12-02,24.0389,24.1599,24.8204,24.104,24.2808,1726102,45310818.7,0.2419,1.0062,26.2504,4.21,1070100000,N/A,10596600000,41000000,0,406000000,65.8943,9.2701,22.5797,17.3142,
002287.SZ,Цце§ВивЉ,2010-12-03,24.2808,24.1133,24.1878,23.2854,23.7319,1840008,46768565.6,-0.5489,-2.2605,25.4176,4.4878,1045910000,N/A,10357060000,41000000,0,406000000,64.4048,9.0606,22.0693,16.9228,
002287.SZ,Цце§ВивЉ,2010-12-06,23.7319,23.8156,23.9645,22.9784,23.0807,1401820,35069576.1,-0.6512,-2.744,25.0172,3.4191,1017210000,N/A,10072860000,41000000,0,406000000,62.6375,8.8119,21.4637,16.4584,
002287.SZ,Цце§ВивЉ,2010-12-07,23.0807,22.8853,23.49,22.8853,23.4528,871175,21782034.3,0.3721,1.6123,25.0031,2.1248,1033610000,N/A,10235260000,41000000,0,406000000,63.6474,8.954,21.8097,16.7238,
002287.SZ,Цце§ВивЉ,2010-12-08,23.4528,23.3691,24.6436,23.2668,24.0575,2241676,58146789.1,0.6047,2.5783,25.939,5.4675,1060260000,N/A,10499160000,41000000,0,406000000,65.2884,9.1849,22.3721,17.155,
002287.SZ,Цце§ВивЉ,2010-12-09,24.0575,23.7226,23.8156,23.1737,23.2296,1277763,32195712.5,-0.828,-3.4416,25.1969,3.1165,1023770000,N/A,10137820000,41000000,0,406000000,63.0414,8.8688,21.6021,16.5646,
002287.SZ,Цце§ВивЉ,2010-12-10,23.2296,23.0714,23.5831,22.9784,23.4342,753344,18858789.9,0.2047,0.8811,25.0334,1.8374,1032790000,N/A,10227140000,41000000,0,406000000,63.5969,8.9469,21.7924,16.7105,
002287.SZ,Цце§ВивЉ,2010-12-13,23.4342,23.797,23.9924,23.518,23.9087,1376815,35178409.9,0.4745,2.0246,25.5506,3.3581,1053700000,N/A,10434200000,41000000,0,406000000,64.8844,9.128,22.2336,17.0488,
002287.SZ,Цце§ВивЉ,2010-12-14,23.9087,24.0017,24.0761,23.7505,24.0482,1259179,32413481.3,0.1395,0.5837,25.7418,3.0712,1059850000,N/A,10495100000,41000000,0,406000000,65.2632,9.1813,22.3634,17.1483,
002287.SZ,Цце§ВивЉ,2010-12-15,24.0482,24.0017,24.4296,23.9459,24.0296,1266303,32903434.3,-0.0186,-0.0774,25.9839,3.0885,1059030000,N/A,10486980000,41000000,0,406000000,65.2127,9.1742,22.3461,17.1351,
002287.SZ,Цце§ВивЉ,2010-12-16,24.0296,24.0017,24.6529,23.9087,24.2715,2090476,54761088.8,0.2419,1.0066,26.1955,5.0987,1069690000,N/A,10592540000,41000000,0,406000000,65.8691,9.2666,22.571,17.3075,
002287.SZ,Цце§ВивЉ,2010-12-17,24.2715,24.2715,24.2715,24.2715,24.2715,N/A,N/A,0,0,N/A,N/A,1069690000,N/A,10592540000,41000000,0,406000000,65.8691,9.2666,22.571,17.3075,
002287.SZ,Цце§ВивЉ,2010-12-20,24.2715,24.1878,24.6064,22.9784,23.6017,1762198,44932106,-0.6698,-2.7597,25.4978,4.298,1040170000,N/A,10300220000,41000000,0,406000000,64.0513,9.0108,21.9481,16.8299,
002287.SZ,Цце§ВивЉ,2010-12-21,23.6017,23.5273,25.3506,23.5273,25.1088,5438475,145566009.7,1.5071,6.3855,26.766,13.2646,1106590000,N/A,10957940000,41000000,0,406000000,68.1413,9.5862,23.3496,17.9046,
002287.SZ,Цце§ВивЉ,2010-12-22,25.1088,25.0622,25.6669,24.4669,24.7366,3525980,95033413,-0.3721,-1.482,26.9523,8.6,1090190000,N/A,10795540000,41000000,0,406000000,67.1314,9.4441,23.0036,17.6392,
002287.SZ,Цце§ВивЉ,2010-12-23,24.7366,24.5599,24.6529,23.611,23.7691,2048670,52985674.8,-0.9675,-3.9112,25.8635,4.9968,1047550000,N/A,10373300000,41000000,0,406000000,64.5057,9.0748,22.1039,16.9493,
002287.SZ,Цце§ВивЉ,2010-12-24,23.7691,23.7691,24.0017,23.0993,23.1737,1230526,30877479.8,-0.5954,-2.5049,25.0929,3.0013,1021310000,N/A,10113460000,41000000,0,406000000,62.8899,8.8474,21.5502,16.5247,
002287.SZ,Цце§ВивЉ,2010-12-27,23.1737,23.0993,23.5273,22.597,22.9319,1005099,25067855.2,-0.2419,-1.0438,24.9407,2.4515,1010650000,N/A,10007900000,41000000,0,406000000,62.2335,8.7551,21.3253,16.3523,
002287.SZ,Цце§ВивЉ,2010-12-28,22.9319,22.9784,22.9784,22.3272,22.4016,882838,21351172.7,-0.5303,-2.3124,24.1847,2.1533,987280000,N/A,9776480000,41000000,0,406000000,60.7945,8.5526,20.8321,15.9741,
002287.SZ,Цце§ВивЉ,2010-12-29,22.4016,22.4016,22.7365,22.4016,22.5318,532461,12906327.2,0.1302,0.5814,24.239,1.2987,993020000,N/A,9833320000,41000000,0,406000000,61.1479,8.6024,20.9533,16.067,
002287.SZ,Цце§ВивЉ,2010-12-30,22.5318,22.7086,23.0993,22.569,22.8853,599509,14735367.8,0.3535,1.569,24.5791,1.4622,1008600000,N/A,9987600000,41000000,0,406000000,62.1073,8.7373,21.282,16.3191,
002287.SZ,Цце§ВивЉ,2010-12-31,22.8853,22.7086,23.1644,22.7086,23.1365,681649,16888530.6,0.2512,1.0976,24.776,1.6626,1019670000,N/A,10097220000,41000000,0,406000000,62.789,8.8332,21.5156,16.4982,
002287.SZ,Цце§ВивЉ,2011-01-04,23.1365,23.2575,23.4435,22.9784,23.3691,905092,22613686.2,0.2326,1.0052,24.985,2.2075,1029920000,N/A,10198720000,41000000,0,406000000,59.8301,8.587,19.4764,-154.8629,
002287.SZ,Цце§ВивЉ,2011-01-05,23.3691,23.2854,23.704,23.1644,23.183,1091203,27479221.3,-0.1861,-0.7962,25.1825,2.6615,1021720000,N/A,10117520000,41000000,0,406000000,59.3537,8.5186,19.3213,-153.6299,
002287.SZ,Цце§ВивЉ,2011-01-06,23.183,23.1644,23.4621,22.8853,23.2389,771667,19158191.5,0.0558,0.2408,24.827,1.8821,1024180000,N/A,10141880000,41000000,0,406000000,59.4966,8.5391,19.3678,-153.9998,
002287.SZ,Цце§ВивЉ,2011-01-07,23.2389,23.2482,23.4249,22.997,23.1272,829440,20719880.8,-0.1116,-0.4804,24.9806,2.023,1019260000,N/A,10093160000,41000000,0,406000000,59.2108,8.4981,19.2748,-153.26,
002287.SZ,Цце§ВивЉ,2011-01-10,23.1272,23.0342,23.1272,21.9551,21.9551,1401544,33786850.3,-1.1722,-5.0684,24.1069,3.4184,967600000,N/A,9581600000,41000000,0,406000000,56.2098,8.0674,18.2979,-145.4922,
002287.SZ,Цце§ВивЉ,2011-01-11,21.9551,22.0016,22.1411,21.2294,21.3876,1032716,23874410.4,-0.5675,-2.5847,23.1181,2.5188,942590000,N/A,9333940000,41000000,0,406000000,54.7569,7.8589,17.8249,-141.7316,
002287.SZ,Цце§ВивЉ,2011-01-12,21.3876,21.5085,21.9551,21.4062,21.7411,508753,11822776.9,0.3535,1.6529,23.2387,1.2409,958170000,N/A,9488220000,41000000,0,406000000,55.662,7.9888,18.1196,-144.0743,
002287.SZ,Цце§ВивЉ,2011-01-13,21.7411,21.7411,21.9085,21.5271,21.5364,343690,7992002.8,-0.2047,-0.9414,23.2535,0.8383,949150000,N/A,9398900000,41000000,0,406000000,55.138,7.9136,17.949,-142.718,
002287.SZ,Цце§ВивЉ,2011-01-14,21.5364,21.5364,21.5364,20.7922,20.9596,777891,17566495.6,-0.5768,-2.6782,22.5822,1.8973,923730000,N/A,9147180000,41000000,0,406000000,53.6613,7.7016,17.4683,-138.8957,
002287.SZ,Цце§ВивЉ,2011-01-17,20.9596,20.5689,20.9131,19.8433,19.8619,838033,18146080.7,-1.0978,-5.2375,21.6532,2.044,875350000,N/A,8668100000,41000000,0,406000000,50.8508,7.2983,16.5534,-131.6211,
002287.SZ,Цце§ВивЉ,2011-01-18,19.8619,19.8526,20.0293,19.6107,19.7688,411643,8773307,-0.093,-0.4684,21.3129,1.004,871250000,N/A,8627500000,41000000,0,406000000,50.6126,7.2641,16.4759,-131.0046,
002287.SZ,Цце§ВивЉ,2011-01-19,19.7688,20.4945,21.7504,20.4945,21.2294,2205576,50015842,1.4606,7.3882,22.677,5.3795,935620000,N/A,9264920000,41000000,0,406000000,54.352,7.8008,17.6931,-140.6836,
002287.SZ,Цце§ВивЉ,2011-01-20,21.2294,20.8945,20.9317,19.9642,20.0945,1100258,24213847.6,-1.135,-5.3462,22.0074,2.6836,885600000,N/A,8769600000,41000000,0,406000000,51.4462,7.3837,16.7472,-133.1624,
002287.SZ,Цце§ВивЉ,2011-01-21,20.0945,19.9084,20.8201,19.8991,20.3549,690777,15118852.7,0.2605,1.2963,21.8867,1.6848,897080000,N/A,8883280000,41000000,0,406000000,52.1131,7.4794,16.9643,-134.8885,
002287.SZ,Цце§ВивЉ,2011-01-24,20.3549,20.2898,20.4573,19.8154,19.8247,464787,10017888,-0.5303,-2.6051,21.5537,1.1336,873710000,N/A,8651860000,41000000,0,406000000,50.7555,7.2846,16.5224,-131.3745,
002287.SZ,Цце§ВивЉ,2011-01-25,19.8247,19.834,20.1503,19.2572,19.3037,426849,9002633.8,-0.521,-2.6279,21.0909,1.0411,850750000,N/A,8424500000,41000000,0,406000000,49.4217,7.0931,16.0882,-127.9222,
002287.SZ,Цце§ВивЉ,2011-01-26,19.3037,19.313,19.6293,19.3037,19.527,516376,10815536,0.2233,1.1566,20.9451,1.2595,860590000,N/A,8521940000,41000000,0,406000000,49.9933,7.1752,16.2743,-129.4018,
002287.SZ,Цце§ВивЉ,2011-01-27,19.527,19.4898,19.9735,19.4432,19.8712,493430,10502147.8,0.3442,1.7627,21.284,1.2035,875760000,N/A,8672160000,41000000,0,406000000,50.8746,7.3017,16.5611,-131.6828,
002287.SZ,Цце§ВивЉ,2011-01-28,19.8712,19.9084,20.2154,19.8898,20.1596,513774,11087847.8,0.2884,1.4513,21.5812,1.2531,888470000,N/A,8798020000,41000000,0,406000000,51.6129,7.4076,16.8015,-133.5939,
002287.SZ,Цце§ВивЉ,2011-01-31,20.1596,20.2619,20.3084,19.9084,20.2991,582875,12641757,0.1395,0.6922,21.6886,1.4216,894620000,N/A,8858920000,41000000,0,406000000,51.9702,7.4589,16.9178,-134.5186,
002287.SZ,Цце§ВивЉ,2011-02-01,20.2991,20.4666,20.4666,20.1503,20.327,516595,11296137,0.0279,0.1375,21.8665,1.26,895850000,N/A,8871100000,41000000,0,406000000,52.0417,7.4692,16.9411,-134.7036,
002287.SZ,Цце§ВивЉ,2011-02-09,20.327,20.2433,20.448,19.9828,20.0479,495606,10774900.3,-0.2791,-1.373,21.7409,1.2088,883550000,N/A,8749300000,41000000,0,406000000,51.3271,7.3666,16.7085,-132.8541,
002287.SZ,Цце§ВивЉ,2011-02-10,20.0479,19.6851,21.1271,19.6293,21.0806,1438273,32161958.8,1.0326,5.1508,22.3615,3.508,929060000,N/A,9199960000,41000000,0,406000000,53.9709,7.7461,17.5691,-139.6972,
002287.SZ,Цце§ВивЉ,2011-02-11,21.0806,21.1457,21.3224,20.8387,21.1643,1125720,25481907.7,0.0837,0.3972,22.6361,2.7457,932750000,N/A,9236500000,41000000,0,406000000,54.1853,7.7768,17.6389,-140.252,
002287.SZ,Цце§ВивЉ,2011-02-14,21.1643,21.248,22.6063,21.2387,21.6015,1829516,43163997.8,0.4372,2.0659,23.5931,4.4622,952020000,N/A,9427320000,41000000,0,406000000,55.3047,7.9375,18.0033,-143.1495,
002287.SZ,Цце§ВивЉ,2011-02-15,21.6015,21.5829,22.1132,21.3969,21.6853,1255841,29351749.3,0.0837,0.3876,23.3722,3.063,955710000,N/A,9463860000,41000000,0,406000000,55.5191,7.9683,18.073,-143.7044,
002287.SZ,Цце§ВивЉ,2011-02-16,21.6853,21.6294,22.0295,21.5829,21.9178,857488,20118393.2,0.2326,1.0725,23.462,2.0914,965960000,N/A,9565360000,41000000,0,406000000,56.1145,8.0537,18.2669,-145.2456,
002287.SZ,Цце§ВивЉ,2011-02-17,21.9178,22.4016,22.4016,21.7504,22.0295,863003,20364726.4,0.1116,0.5093,23.5975,2.1049,970880000,N/A,9614080000,41000000,0,406000000,56.4003,8.0947,18.3599,-145.9854,
002287.SZ,Цце§ВивЉ,2011-02-18,22.0295,21.983,22.0202,21.5178,21.6201,892849,20782642.9,-0.4093,-1.8581,23.2768,2.1777,952840000,N/A,9435440000,41000000,0,406000000,55.3523,7.9443,18.0188,-143.2728,
002287.SZ,Цце§ВивЉ,2011-02-21,21.6201,21.5271,22.2062,21.5271,22.0667,1212285,28733497.7,0.4465,2.0654,23.7019,2.9568,972520000,N/A,9630320000,41000000,0,406000000,56.4956,8.1084,18.3909,-146.232,
002287.SZ,Цце§ВивЉ,2011-02-22,22.0667,22.0481,22.4202,21.6574,21.9178,2082222,49635053,-0.1488,-0.6745,23.8375,5.0786,965960000,N/A,9565360000,41000000,0,406000000,56.1145,8.0537,18.2669,-145.2456,
002287.SZ,Цце§ВивЉ,2011-02-23,21.9178,21.862,22.7644,21.5736,22.69,2630148,63401373.9,0.7721,3.5229,24.1056,6.415,999990000,N/A,9902340000,41000000,0,406000000,58.0914,8.3374,18.9104,-150.3625,
002287.SZ,Цце§ВивЉ,2011-02-24,22.69,22.4946,22.69,22.29,22.4667,1439207,34715741.4,-0.2233,-0.984,24.1214,3.5103,990150000,N/A,9804900000,41000000,0,406000000,57.5197,8.2554,18.7243,-148.8829,
002287.SZ,Цце§ВивЉ,2011-02-25,22.4667,22.3272,22.5132,21.862,22.2434,1014455,24160726.9,-0.2233,-0.9938,23.8165,2.4743,980310000,N/A,9707460000,41000000,0,406000000,56.9481,8.1734,18.5382,-147.4033,
002287.SZ,Цце§ВивЉ,2011-02-28,22.2434,22.3272,22.597,21.8434,22.5132,1240901,29780944.2,0.2698,1.2129,23.9995,3.0266,992200000,N/A,9825200000,41000000,0,406000000,57.6388,8.2725,18.7631,-149.1912,
002287.SZ,Цце§ВивЉ,2011-03-01,22.5132,22.5039,23.0249,22.4109,22.69,1845501,45084625,0.1768,0.7851,24.4295,4.5012,999990000,N/A,9902340000,41000000,0,406000000,58.0914,8.3374,18.9104,-150.3625,
002287.SZ,Цце§ВивЉ,2011-03-02,22.69,22.6993,22.997,22.476,22.8388,1606092,39301478.7,0.1488,0.656,24.4703,3.9173,1006550000,N/A,9967300000,41000000,0,406000000,58.4724,8.3921,19.0345,-151.3489,
002287.SZ,Цце§ВивЉ,2011-03-03,22.8388,22.8388,22.9412,21.9644,22.076,1355224,32852174.3,-0.7628,-3.3401,24.2411,3.3054,972930000,N/A,9634380000,41000000,0,406000000,56.5194,8.1118,18.3987,-146.2937,
002287.SZ,Цце§ВивЉ,2011-03-04,22.076,21.9644,22.5877,21.9551,22.3458,999658,23973047.6,0.2698,1.2221,23.9812,2.4382,984820000,N/A,9752120000,41000000,0,406000000,57.2101,8.211,18.6235,-148.0815,
002287.SZ,Цце§ВивЉ,2011-03-07,22.3458,22.5132,22.7923,22.3272,22.5132,1011464,24411974,0.1675,0.7494,24.1353,2.467,992200000,N/A,9825200000,41000000,0,406000000,57.6388,8.2725,18.7631,-149.1912,
002287.SZ,Цце§ВивЉ,2011-03-08,22.5132,22.4202,23.1458,22.1039,22.9784,2518300,61377602.5,0.4651,2.0661,24.3726,6.1422,1012700000,N/A,10028200000,41000000,0,406000000,58.8297,8.4434,19.1508,-152.2736,
002287.SZ,Цце§ВивЉ,2011-03-09,22.9784,22.9598,23.0249,22.6807,22.69,1080606,26468860.9,-0.2884,-1.2551,24.4945,2.6356,999990000,N/A,9902340000,41000000,0,406000000,58.0914,8.3374,18.9104,-150.3625,
002287.SZ,Цце§ВивЉ,2011-03-10,22.69,22.6528,23.0621,22.3737,22.7551,1586297,38861925.6,0.0651,0.287,24.4985,3.869,1002860000,N/A,9930760000,41000000,0,406000000,58.2581,8.3614,18.9647,-150.7941,
002287.SZ,Цце§ВивЉ,2011-03-11,22.7551,22.7644,22.9412,22.4202,22.4574,1334426,32475435.2,-0.2977,-1.3083,24.3366,3.2547,989740000,N/A,9800840000,41000000,0,406000000,57.4959,8.252,18.7166,-148.8213,
002287.SZ,Цце§ВивЉ,2011-03-14,22.4574,22.3644,23.0063,22.3086,22.9784,2051420,50341337.8,0.521,2.3198,24.5398,5.0035,1012700000,N/A,10028200000,41000000,0,406000000,58.8297,8.4434,19.1508,-152.2736,
002287.SZ,Цце§ВивЉ,2011-03-15,22.9784,22.9784,23.3505,22.5132,22.8947,2172279,53473866.8,-0.0837,-0.3644,24.6165,5.2982,1009010000,N/A,9991660000,41000000,0,406000000,58.6154,8.4126,19.081,-151.7188,
002287.SZ,Цце§ВивЉ,2011-03-16,22.8947,22.8388,23.7133,22.6993,23.6668,3604755,90686188.3,0.7721,3.3726,25.1574,8.7921,1043040000,N/A,10328640000,41000000,0,406000000,60.5922,8.6964,19.7245,-156.8357,
002287.SZ,Цце§ВивЉ,2011-03-17,23.6668,23.49,23.8808,23.1644,23.4435,2277339,57489993.8,-0.2233,-0.9434,25.2444,5.5545,1033200000,N/A,10231200000,41000000,0,406000000,60.0206,8.6143,19.5384,-155.3561,
002287.SZ,Цце§ВивЉ,2011-03-18,23.4435,23.6668,24.4389,23.4435,24.3273,3991026,103712419.3,0.8838,3.7698,25.9864,9.7342,1072150000,N/A,10616900000,41000000,0,406000000,62.2833,8.9391,20.275,-161.2128,
002287.SZ,Цце§ВивЉ,2011-03-21,24.3273,24.2808,24.5971,23.8715,24.4576,2925379,76227965,0.1302,0.5354,26.0575,7.1351,1077890000,N/A,10673740000,41000000,0,406000000,62.6167,8.9869,20.3835,-162.0759,
002287.SZ,Цце§ВивЉ,2011-03-22,24.4576,24.4855,24.4855,23.8808,24.0947,1912423,49701270.3,-0.3628,-1.4835,25.9886,4.6644,1061900000,N/A,10515400000,41000000,0,406000000,61.6878,8.8536,20.0812,-159.6715,
002287.SZ,Цце§ВивЉ,2011-03-23,24.0947,24.0203,24.1413,23.5366,23.7784,2329692,59327094.5,-0.3163,-1.3127,25.4656,5.6822,1047960000,N/A,10377360000,41000000,0,406000000,60.878,8.7374,19.8175,-157.5755,
002287.SZ,Цце§ВивЉ,2011-03-24,23.7784,23.7877,24.1413,23.6761,23.7877,1825958,46913407.3,0.0093,0.0391,25.6925,4.4536,1048370000,N/A,10381420000,41000000,0,406000000,60.9019,8.7408,19.8253,-157.6371,
002287.SZ,Цце§ВивЉ,2011-03-25,23.7877,23.7133,23.7133,23.3505,23.4249,1824121,45983638,-0.3628,-1.5252,25.2087,4.4491,1032380000,N/A,10223080000,41000000,0,406000000,59.973,8.6075,19.5229,-155.2328,
002287.SZ,Цце§ВивЉ,2011-03-28,23.4249,23.397,24.3552,23.183,23.8156,3314321,84837731.8,0.3907,1.668,25.5973,8.0837,1049600000,N/A,10393600000,41000000,0,406000000,60.9733,8.7511,19.8486,-157.8221,
