測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
300093.SZ,踢試產薛,2010-07-08,N/A,11.262,12.2234,10.9874,12.152,20809864,435672214.8,N/A,N/A,20.9359,86.7078,530880000,N/A,2654400000,24000000,0,120000000,63.4911,9.3165,10.3989,71.2305,
300093.SZ,踢試產薛,2010-07-09,12.152,11.4269,11.9543,10.9929,11.8664,15473327,321493669.1,-0.2857,-2.3508,20.7773,64.4722,518400000,N/A,2592000000,24000000,0,120000000,61.9985,9.0975,10.1544,69.556,
300093.SZ,踢試產薛,2010-07-12,11.8664,11.8664,11.8664,11.1302,11.262,9749086,202505518.7,-0.6043,-5.0926,20.7717,40.6212,492000000,N/A,2460000000,24000000,0,120000000,58.8412,8.6342,9.6373,66.0138,
300093.SZ,踢試產薛,2010-07-13,11.262,11.3719,11.6686,11.0862,11.3994,7676989,159944426,0.1373,1.2195,20.8343,31.9875,498000000,N/A,2490000000,24000000,0,120000000,59.5588,8.7395,9.7548,66.8188,
300093.SZ,踢試產薛,2010-07-14,11.3994,11.4159,11.4543,10.9874,11.2291,6559415,133753122.7,-0.1703,-1.494,20.391,27.3309,490560000,N/A,2452800000,24000000,0,120000000,58.669,8.6089,9.6091,65.8206,
300093.SZ,踢試產薛,2010-07-15,11.2291,11.0862,11.1357,10.2787,10.2842,7365628,142221282.3,-0.9449,-8.4149,19.3088,30.6901,449280000,N/A,2246400000,24000000,0,120000000,53.7321,7.8845,8.8005,60.2819,
300093.SZ,踢試產薛,2010-07-16,10.2842,10.026,10.2622,9.8776,10.1194,3419105,62499592.9,-0.1648,-1.6026,18.2795,14.2463,442080000,N/A,2210400000,24000000,0,120000000,52.871,7.7581,8.6595,59.3158,
300093.SZ,踢試產薛,2010-07-19,10.1194,9.9271,10.2622,9.9161,10.2292,2814835,52009033.4,0.1099,1.0858,18.4768,11.7285,446880000,N/A,2234400000,24000000,0,120000000,53.445,7.8424,8.7535,59.9599,
300093.SZ,踢試產薛,2010-07-20,10.2292,10.1963,10.5149,10.1798,10.4984,3647492,68872246.1,0.2692,2.6316,18.8821,15.1979,458640000,N/A,2293200000,24000000,0,120000000,54.8515,8.0487,8.9839,61.5377,
300093.SZ,踢試產薛,2010-07-21,10.4984,10.4655,10.6962,10.3886,10.4105,3591015,68883780.3,-0.0879,-0.8373,19.1823,14.9626,454800000,N/A,2274000000,24000000,0,120000000,54.3922,7.9814,8.9086,61.0225,
