代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300392.SZ,腾信股份,2014-09-10,N/A,5.2157,6.2582,5.2157,6.2582,31756,1186473.9,N/A,N/A,37.3622,0.1985,601280000,N/A,2405120000,16000000,0,64000000,31.0672,7.3528,3.4721,61.5612,
300392.SZ,腾信股份,2014-09-11,6.2582,6.8844,6.8844,6.8844,6.8844,9500,392730,0.6262,10.0053,41.34,0.0594,661440000,N/A,2645760000,16000000,0,64000000,34.1756,8.0885,3.8194,67.7205,
300392.SZ,腾信股份,2014-09-12,6.8844,7.5722,7.5722,7.5722,7.5722,15650,711605.5,0.6878,9.9903,45.47,0.0978,727520000,N/A,2910080000,16000000,0,64000000,37.5899,8.8965,4.201,74.486,
300392.SZ,腾信股份,2014-09-15,7.5722,8.3299,8.3299,8.3299,8.3299,42050,2103341,0.7577,10.0066,50.02,0.2628,800320000,N/A,3201280000,16000000,0,64000000,41.3513,9.7868,4.6214,81.9396,
300392.SZ,腾信股份,2014-09-16,8.3299,9.1625,9.1625,9.1625,9.1625,155950,8580369,0.8327,9.996,55.02,0.9747,880320000,N/A,3521280000,16000000,0,64000000,45.4848,10.7651,5.0834,90.1302,
300392.SZ,腾信股份,2014-09-17,9.1625,10.0784,10.0784,10.0784,10.0784,237677,14384212,0.9159,9.9964,60.52,1.4855,968320000,N/A,3873280000,16000000,0,64000000,50.0317,11.8412,5.5915,99.14,
300392.SZ,腾信股份,2014-09-18,10.0784,11.086,11.086,11.086,11.086,245824,16364503.7,1.0075,9.9967,66.57,1.5364,1065120000,N/A,4260480000,16000000,0,64000000,55.0332,13.0249,6.1505,109.0507,
300392.SZ,腾信股份,2014-09-19,11.086,12.195,12.195,12.195,12.195,247148,18098648,1.1091,10.0045,73.23,1.5447,1171680000,N/A,4686720000,16000000,0,64000000,60.539,14.328,6.7658,119.9607,
300392.SZ,腾信股份,2014-09-22,12.195,13.4141,13.4141,13.4141,13.4141,808502,65124836.1,1.219,9.9959,80.55,5.0531,1288800000,N/A,5155200000,16000000,0,64000000,66.5904,15.7602,7.4421,131.9519,
300392.SZ,腾信股份,2014-09-23,13.4141,13.8171,14.7563,13.6572,14.7563,9999230,856258942.5,1.3422,10.0062,85.6325,62.4952,1417760000,N/A,5671040000,16000000,0,64000000,73.2536,17.3372,8.1868,145.1552,
300392.SZ,腾信股份,2014-09-24,14.7563,15.6539,16.2318,15.4874,16.2318,3463143,329778510.6,1.4755,9.9989,95.2252,21.6446,1559520000,N/A,6238080000,16000000,0,64000000,80.5781,19.0707,9.0054,159.6691,
300392.SZ,腾信股份,2014-09-25,16.2318,17.0694,17.8554,16.3333,16.6198,7042693,724796184.5,0.388,2.3905,102.9146,44.0168,1596800000,N/A,6387200000,16000000,0,64000000,82.5043,19.5266,9.2206,163.486,
300392.SZ,腾信股份,2014-09-26,16.6198,16.5848,17.111,16.2034,16.3983,3476656,346481107.5,-0.2215,-1.3327,99.6593,21.7291,1575520000,N/A,6302080000,16000000,0,64000000,81.4048,19.2664,9.0977,161.3073,
300392.SZ,腾信股份,2014-09-29,16.3983,16.5282,16.9462,16.2534,16.8113,2678452,266851749.2,0.413,2.5185,99.6291,16.7403,1615200000,N/A,6460800000,16000000,0,64000000,83.455,19.7516,9.3269,165.3698,
300392.SZ,腾信股份,2014-09-30,16.8113,16.6531,16.8396,16.3783,16.8396,1690143,168297108.7,0.0283,0.1684,99.5757,10.5634,1617920000,N/A,6471680000,16000000,0,64000000,83.5955,19.7849,9.3426,165.6483,
300392.SZ,腾信股份,2014-10-08,16.8396,16.8196,18.5232,16.708,18.5232,2746369,293117011.5,1.6836,9.998,106.7289,17.1648,1779680000,N/A,7118720000,16000000,0,64000000,91.9534,21.763,10.2767,182.2099,
300392.SZ,腾信股份,2014-10-09,18.5232,18.8679,19.151,17.987,18.1852,2987122,332325940.1,-0.3381,-1.825,111.2529,18.6695,1747200000,N/A,6988800000,16000000,0,64000000,90.2752,21.3658,10.0891,178.8845,
300392.SZ,腾信股份,2014-10-10,18.1852,17.8138,17.9803,17.161,17.3192,1984312,209417618.1,-0.866,-4.7619,105.5366,12.402,1664000000,N/A,6656000000,16000000,0,64000000,85.9764,20.3484,9.6087,170.3661,
300392.SZ,腾信股份,2014-10-13,17.3192,17.0877,17.619,17.0694,17.4691,1186346,123969068.9,0.1499,0.8654,104.4966,7.4147,1678400000,N/A,6713600000,16000000,0,64000000,86.7204,20.5244,9.6918,171.8405,
300392.SZ,腾信股份,2014-10-14,17.4691,17.3225,18.1185,17.1327,17.8521,1793547,189393149.2,0.383,2.1926,105.597,11.2097,1715200000,N/A,6860800000,16000000,0,64000000,88.6218,20.9745,9.9043,175.6082,
300392.SZ,腾信股份,2014-10-15,17.8521,17.6323,19.6373,17.5024,19.6373,2255412,256357304.7,1.7852,10,113.6632,14.0963,1886720000,N/A,7546880000,16000000,0,64000000,97.484,23.0719,10.8948,193.169,
300392.SZ,腾信股份,2014-10-16,19.6373,19.8355,21.6007,19.8172,20.7431,2670608,330991402.4,1.1058,5.6309,123.9386,16.6913,1992960000,N/A,7971840000,16000000,0,64000000,102.9733,24.3711,11.5082,204.0462,
300392.SZ,腾信股份,2014-10-17,20.7431,20.6332,21.7822,20.5382,20.8513,1881721,238642724.3,0.1082,0.5218,126.8215,11.7608,2003360000,N/A,8013440000,16000000,0,64000000,103.5106,24.4982,11.5683,205.111,
300392.SZ,腾信股份,2014-10-20,20.8513,20.818,21.4492,20.3334,21.0495,1499344,187693466.7,0.1982,0.9504,125.1837,9.3709,2022400000,N/A,8089600000,16000000,0,64000000,104.4944,24.7311,11.6782,207.0604,
300392.SZ,腾信股份,2014-10-21,21.0495,21.0695,21.8638,20.7331,21.1161,1330705,169760456.5,0.0666,0.3165,127.5718,8.3169,2028800000,N/A,8115200000,16000000,0,64000000,104.8251,24.8093,11.7152,207.7157,
300392.SZ,腾信股份,2014-10-22,21.1161,20.8497,21.3076,20.1019,20.1202,1418952,176604730.8,-0.9959,-4.7161,124.4614,8.8684,1933120000,N/A,7732480000,16000000,0,64000000,99.8814,23.6393,11.1627,197.9196,
300392.SZ,腾信股份,2014-10-23,20.1202,19.8671,20.4783,19.659,19.982,1013805,122266667.8,-0.1382,-0.687,120.6018,6.3363,1919840000,N/A,7679360000,16000000,0,64000000,99.1953,23.4769,11.086,196.5599,
300392.SZ,腾信股份,2014-10-24,19.982,20.067,21.9804,20.0037,21.5158,2275758,291849941.5,1.5337,7.6756,128.243,14.2235,2067200000,N/A,8268800000,16000000,0,64000000,106.8092,25.2789,11.9369,211.6472,
300392.SZ,腾信股份,2014-10-27,21.5158,21.0695,21.6473,20.6498,20.6498,1424578,181332954.3,-0.866,-4.0248,127.2889,8.9036,1984000000,N/A,7936000000,16000000,0,64000000,102.5103,24.2615,11.4565,203.1289,
300392.SZ,腾信股份,2014-10-28,20.6498,20.9263,21.2943,19.9837,20.9779,1871829,231941671.7,0.3281,1.5887,123.9118,11.6989,2015520000,N/A,8062080000,16000000,0,64000000,104.1389,24.6469,11.6385,206.356,
300392.SZ,腾信股份,2014-10-29,20.9779,20.883,22.7315,20.7514,22.2652,1829379,239063176.5,1.2873,6.1364,130.68,11.4336,2139200000,N/A,8556800000,16000000,0,64000000,110.5293,26.1594,12.3527,219.0188,
300392.SZ,腾信股份,2014-10-30,22.2652,22.2818,23.3376,22.0903,22.9313,1383793,188972164.1,0.6661,2.9918,136.561,8.6487,2203200000,N/A,8812800000,16000000,0,64000000,113.8361,26.942,12.7223,225.5713,
300392.SZ,腾信股份,2014-10-31,22.9313,22.8897,23.639,22.3151,23.2677,1019684,140712509.6,0.3364,1.467,137.9962,6.373,2235520000,N/A,8942080000,16000000,0,64000000,115.506,27.3372,12.9089,228.8804,
300392.SZ,腾信股份,2014-11-03,23.2677,22.9846,23.4808,22.5649,23.3143,997846,138471006.2,0.0466,0.2004,138.7699,6.2365,2240000000,N/A,8960000000,16000000,0,64000000,115.7375,27.392,12.9348,229.3391,
300392.SZ,腾信股份,2014-11-04,23.3143,23.1478,23.241,22.3151,22.9812,890329,121889859.9,-0.3331,-1.4286,136.9043,5.5646,2208000000,N/A,8832000000,16000000,0,64000000,114.0841,27.0007,12.75,226.0628,
300392.SZ,腾信股份,2014-11-05,22.9812,22.898,24.2319,22.898,23.9971,1393703,197486031.7,1.0158,4.4203,141.6988,8.7106,2305600000,N/A,9222400000,16000000,0,64000000,119.1269,28.1942,13.3136,236.0554,
300392.SZ,腾信股份,2014-11-06,23.9971,24.0637,26.3968,23.9804,26.3968,1984626,305974901.8,2.3997,10,154.1726,12.4039,2536160000,N/A,10144640000,16000000,0,64000000,131.0396,31.0136,14.6449,259.6609,
300392.SZ,腾信股份,2014-11-07,26.3968,26.6449,26.7299,24.6299,25.0129,2510359,385754429.9,-1.3839,-5.2426,153.665,15.6897,2403200000,N/A,9612800000,16000000,0,64000000,124.1698,29.3877,13.8771,246.048,
300392.SZ,腾信股份,2014-11-10,25.0129,24.6466,27.2911,24.5766,27.2261,2011535,311777232.8,2.2132,8.8482,154.9947,12.5721,2615840000,N/A,10463360000,16000000,0,64000000,135.1566,31.988,15.105,267.8188,
300392.SZ,腾信股份,2014-11-11,27.2261,26.7282,28.6433,26.2469,27.9772,2007272,330840762.6,0.7511,2.7586,164.8211,12.5454,2688000000,N/A,10752000000,16000000,0,64000000,138.885,32.8704,15.5217,275.2068,
300392.SZ,腾信股份,2014-11-12,27.9772,27.8106,30.64,27.4942,29.8107,1907805,332907831.9,1.8335,6.5536,174.4978,11.9238,2864160000,N/A,11456640000,16000000,0,64000000,147.9869,35.0246,16.5389,293.2427,
300392.SZ,腾信股份,2014-11-13,29.8107,27.6441,29.6591,27.6441,28.7266,1909050,329403423.7,-1.0841,-3.6367,172.5483,11.9316,2760000000,N/A,11040000000,16000000,0,64000000,142.6051,33.7509,15.9375,282.5785,
300392.SZ,腾信股份,2014-11-14,28.7266,28.4768,28.9347,25.8539,25.8572,2737498,438151180.6,-2.8693,-9.9884,160.0553,17.1094,2484320000,N/A,9937280000,16000000,0,64000000,128.3611,30.3797,14.3456,254.3534,
300392.SZ,腾信股份,2014-11-17,25.8572,25.4792,27.6441,25.4709,25.8106,1898774,303209245,-0.0466,-0.1803,159.6869,11.8673,2479840000,N/A,9919360000,16000000,0,64000000,128.1297,30.3249,14.3197,253.8947,
300392.SZ,腾信股份,2014-11-18,25.8106,25.8339,26.3785,25.0612,25.4875,1836811,283308980.3,-0.3231,-1.2517,154.2396,11.4801,2448800000,N/A,9795200000,16000000,0,64000000,126.5259,29.9453,14.1405,250.7167,
300392.SZ,腾信股份,2014-11-19,25.4875,25.346,25.9771,24.8148,25.5458,1847013,281126242.4,0.0583,0.2287,152.2059,11.5438,2454400000,N/A,9817600000,16000000,0,64000000,126.8152,30.0138,14.1728,251.2901,
300392.SZ,腾信股份,2014-11-20,25.5458,25.2477,25.8622,25.0962,25.6391,983273,150464034,0.0933,0.3651,153.0237,6.1455,2463360000,N/A,9853440000,16000000,0,64000000,127.2782,30.1234,14.2245,252.2074,
300392.SZ,腾信股份,2014-11-21,25.6391,25.5325,26.953,25.4892,26.2136,1650278,260695131.1,0.5745,2.2408,157.9704,10.3142,2518560000,N/A,10074240000,16000000,0,64000000,130.1303,30.7984,14.5433,257.859,
300392.SZ,腾信股份,2014-11-24,26.2136,26.4734,26.4734,25.5791,25.5958,1272631,197541774.4,-0.6178,-2.3569,155.2231,7.9539,2459200000,N/A,9836800000,16000000,0,64000000,127.0632,30.0725,14.2005,251.7815,
300392.SZ,腾信股份,2014-11-25,25.5958,25.3177,25.4626,23.0362,23.1111,3705311,526414425.4,-2.4846,-9.7072,142.0702,23.1582,2220480000,N/A,8881920000,16000000,0,64000000,114.7289,27.1533,12.822,227.3405,
