測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
002032.SZ,劼眼嫌,2004-08-17,N/A,2.036,2.036,1.8392,1.8676,7877969,90923238.2,N/A,N/A,11.5415,23.1705,380800000,N/A,1516480000,34000000,0,135400000,19.83,7.2753,1.8128,-657.9561,
002032.SZ,劼眼嫌,2004-08-18,1.8676,1.7859,1.8175,1.7158,1.7158,5043224,52955668.6,-0.1517,-8.125,10.5004,14.833,349860000,N/A,1393266000,34000000,0,135400000,18.2188,6.6842,1.6655,-604.4971,
002032.SZ,劼眼嫌,2004-08-19,1.7158,1.7175,1.7759,1.7175,1.7558,3116885,32614676,0.04,2.3324,10.4639,9.1673,358020000,N/A,1425762000,34000000,0,135400000,18.6438,6.8401,1.7044,-618.5962,
002032.SZ,劼眼嫌,2004-08-20,1.7558,1.7592,1.7692,1.7175,1.7592,1777455,18559856.4,0.0033,0.1899,10.4418,5.2278,358700000,N/A,1428470000,34000000,0,135400000,18.6792,6.8531,1.7076,-619.7711,
002032.SZ,劼眼嫌,2004-08-23,1.7592,1.7392,1.7392,1.6608,1.6841,1671166,16857720.5,-0.075,-4.2654,10.0874,4.9152,343400000,N/A,1367540000,34000000,0,135400000,17.8824,6.5607,1.6348,-593.3353,
002032.SZ,劼眼嫌,2004-08-24,1.6841,1.6841,1.7342,1.6341,1.7092,1847886,18815702.1,0.025,1.4851,10.1823,5.435,348500000,N/A,1387850000,34000000,0,135400000,18.148,6.6582,1.6591,-602.1473,
002032.SZ,劼眼嫌,2004-08-25,1.7092,1.6808,1.6975,1.6508,1.6641,937752,9367003.7,-0.045,-2.6341,9.9888,2.7581,339320000,N/A,1351292000,34000000,0,135400000,17.67,6.4828,1.6154,-586.2858,
002032.SZ,劼眼嫌,2004-08-26,1.6641,1.6575,1.6625,1.6174,1.6208,1001694,9802841.5,-0.0434,-2.6052,9.7863,2.9462,330480000,N/A,1316088000,34000000,0,135400000,17.2096,6.3139,1.5733,-571.0118,
002032.SZ,劼眼嫌,2004-08-27,1.6208,1.6141,1.6508,1.6041,1.6325,713256,6971399.2,0.0117,0.7202,9.774,2.0978,332860000,N/A,1325566000,34000000,0,135400000,17.3336,6.3594,1.5846,-575.1241,
002032.SZ,劼眼嫌,2004-08-30,1.6325,1.6074,1.6825,1.5741,1.6358,950229,9385570,0.0033,0.2043,9.8772,2.7948,333540000,N/A,1328274000,34000000,0,135400000,17.369,6.3724,1.5879,-576.299,
002032.SZ,劼眼嫌,2004-08-31,1.6358,1.6975,1.7158,1.6508,1.6575,1204643,12093951.9,0.0217,1.3252,10.0394,3.5431,337960000,N/A,1345876000,34000000,0,135400000,17.5991,6.4568,1.6089,-583.936,
002032.SZ,劼眼嫌,2004-09-01,1.6575,1.6408,1.6491,1.6124,1.6124,441850,4306205.9,-0.045,-2.7163,9.7459,1.2996,328780000,N/A,1309318000,34000000,0,135400000,17.1211,6.2814,1.5652,-568.0745,
002032.SZ,劼眼嫌,2004-09-02,1.6124,1.6058,1.6391,1.5991,1.6308,577225,5580172.9,0.0183,1.1375,9.6672,1.6977,332520000,N/A,1324212000,34000000,0,135400000,17.3159,6.3529,1.583,-574.5366,
002032.SZ,劼眼嫌,2004-09-03,1.6308,1.6258,1.6441,1.6108,1.6225,341869,3330681.7,-0.0083,-0.5112,9.7426,1.0055,330820000,N/A,1317442000,34000000,0,135400000,17.2273,6.3204,1.5749,-571.5993,
002032.SZ,劼眼嫌,2004-09-06,1.6225,1.6141,1.6325,1.6108,1.6258,330925,3217767.7,0.0033,0.2055,9.7236,0.9733,331500000,N/A,1320150000,34000000,0,135400000,17.2627,6.3334,1.5781,-572.7742,
002032.SZ,劼眼嫌,2004-09-07,1.6258,1.6141,1.6391,1.6141,1.6308,197000,1923643.2,0.005,0.3077,9.7647,0.5794,332520000,N/A,1324212000,34000000,0,135400000,17.3159,6.3529,1.583,-574.5366,
002032.SZ,劼眼嫌,2004-09-08,1.6308,1.6308,1.6358,1.6141,1.6225,310585,3021458.1,-0.0083,-0.5112,9.7283,0.9135,330820000,N/A,1317442000,34000000,0,135400000,17.2273,6.3204,1.5749,-571.5993,
002032.SZ,劼眼嫌,2004-09-09,1.6225,1.5858,1.6158,1.5808,1.5824,543470,5179937.1,-0.04,-2.4666,9.5312,1.5984,322660000,N/A,1284946000,34000000,0,135400000,16.8024,6.1645,1.5361,-557.5002,
002032.SZ,劼眼嫌,2004-09-10,1.5824,1.5758,1.6141,1.5591,1.6141,458958,4354296.5,0.0317,2.0021,9.4874,1.3499,329120000,N/A,1310672000,34000000,0,135400000,17.1388,6.2879,1.5668,-568.662,
002032.SZ,劼眼嫌,2004-09-13,1.6141,1.5974,1.5991,1.5524,1.5541,425486,4002528.9,-0.06,-3.719,9.407,1.2514,316880000,N/A,1261928000,34000000,0,135400000,16.5014,6.0541,1.5085,-547.5134,
002032.SZ,劼眼嫌,2004-09-14,1.5541,1.5558,1.6058,1.5558,1.5924,479681,4559828.3,0.0384,2.4678,9.506,1.4108,324700000,N/A,1293070000,34000000,0,135400000,16.9086,6.2035,1.5458,-561.025,
002032.SZ,劼眼嫌,2004-09-15,1.5924,1.6008,1.7325,1.5758,1.6841,2306782,23135325.1,0.0917,5.7592,10.0293,6.7847,343400000,N/A,1367540000,34000000,0,135400000,17.8824,6.5607,1.6348,-593.3353,
