¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-19,N/A,4.1937,4.8188,4.1322,4.4448,9330073,387673528.4,N/A,N/A,41.551,91.114,429568000,N/A,2143645000,10240000,0,51100000,66.1389,14.1313,6.2447,82.8317,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-20,4.4448,4.4628,4.5126,4.0294,4.0538,4615535,183145498,-0.391,-8.7962,39.6802,45.0736,391782400,N/A,1955086000,10240000,0,51100000,60.3212,12.8883,5.6954,75.5456,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-21,4.0538,4.1004,4.1608,4.0263,4.039,2529606,97711536.4,-0.0148,-0.3659,38.6272,24.7032,390348800,N/A,1947932000,10240000,0,51100000,60.1005,12.8412,5.6746,75.2692,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-22,4.039,3.9203,4.0422,3.8525,4.0422,2790754,103411108.7,0.0032,0.0787,37.0549,27.2535,390656000,N/A,1949465000,10240000,0,51100000,60.1478,12.8513,5.6791,75.3284,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-25,4.0422,4.0422,4.1841,3.9945,4.0496,2782153,107368872.6,0.0074,0.1835,38.592,27.1695,391372800,N/A,1953042000,10240000,0,51100000,60.2581,12.8749,5.6895,75.4667,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-26,4.0496,3.9818,4.0263,3.6734,3.8069,2265113,81211431,-0.2426,-5.9916,35.8531,22.1202,367923200,N/A,1836023000,10240000,0,51100000,56.6477,12.1034,5.3486,70.945,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-27,3.8069,3.7646,4.0475,3.7307,3.95,2020794,74497280.7,0.143,3.7573,36.8654,19.7343,381747200,N/A,1905008000,10240000,0,51100000,58.7761,12.5582,5.5495,73.6106,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-28,3.95,3.8917,4.235,3.8144,4.1333,3374576,131405939.5,0.1833,4.6406,38.94,32.9548,399462400,N/A,1993411000,10240000,0,51100000,61.5037,13.141,5.8071,77.0265,
300244.SZ,µœ∞≤’Ô∂œ,2011-07-29,4.1333,4.0983,4.2339,4.0581,4.1704,2270525,89289708.9,0.0371,0.8972,39.3256,22.1731,403046400,N/A,2011296000,10240000,0,51100000,62.0555,13.2589,5.8592,77.7176,
300244.SZ,µœ∞≤’Ô∂œ,2011-08-01,4.1704,4.164,4.5878,4.111,4.5878,2087248,87661524.9,0.4175,10.0102,41.9986,20.3833,443392000,N/A,2212630000,10240000,0,51100000,68.2673,14.5861,6.4457,85.4973,
300244.SZ,µœ∞≤’Ô∂œ,2011-08-02,4.5878,4.7796,5.0466,4.7574,5.0466,4825910,225668039.5,0.4588,10,46.7618,47.128,487731200,N/A,2433893000,10240000,0,51100000,75.0941,16.0447,7.0903,94.047,
300244.SZ,µœ∞≤’Ô∂œ,2011-08-03,5.0466,5.1918,5.4037,4.9354,5.2341,4797018,232024980.2,0.1875,3.7161,48.3686,46.8459,505856000,N/A,2524340000,10240000,0,51100000,77.8847,16.641,7.3537,97.5419,
