╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
300173.SZ,жг╩шки╣б,2011-02-01,N/A,4.3282,4.6347,4.2847,4.5344,9207444,216960341,N/A,N/A,23.5636,67.7018,325992000,N/A,1605990000,13600000,0,67000000,40.7982,8.4732,6.3939,179.9862,
300173.SZ,жг╩шки╣б,2011-02-09,4.5344,4.385,4.472,4.3509,4.3566,3834104,89114477.9,-0.1778,-3.9216,23.2426,28.1919,313208000,N/A,1543010000,13600000,0,67000000,39.1983,8.1409,6.1431,172.9279,
300173.SZ,жг╩шки╣б,2011-02-10,4.3566,4.366,4.7065,4.3604,4.6271,4857156,116481057.3,0.2705,6.2093,23.9813,35.7144,332656000,N/A,1638820000,13600000,0,67000000,41.6322,8.6464,6.5246,183.6656,
300173.SZ,жг╩шки╣б,2011-02-11,4.6271,4.5722,4.6403,4.4795,4.5893,3259769,78721577.1,-0.0378,-0.8177,24.1494,23.9689,329936000,N/A,1625420000,13600000,0,67000000,41.2918,8.5757,6.4712,182.1638,
300173.SZ,жг╩шки╣б,2011-02-14,4.5893,4.5779,4.7273,4.559,4.6498,2853489,69817868,0.0605,1.319,24.4675,20.9815,334288000,N/A,1646860000,13600000,0,67000000,41.8364,8.6889,6.5566,184.5666,
300173.SZ,жг╩шки╣б,2011-02-15,4.6498,4.6309,4.646,4.5722,4.576,2211376,53903289.4,-0.0738,-1.5867,24.3755,16.2601,328984000,N/A,1620730000,13600000,0,67000000,41.1726,8.551,6.4526,181.6382,
300173.SZ,жг╩шки╣б,2011-02-16,4.576,4.5628,4.7765,4.5439,4.7255,2935696,72664581.8,0.1494,3.2658,24.7521,21.586,339728000,N/A,1673660000,13600000,0,67000000,42.5173,8.8303,6.6633,187.5701,
300173.SZ,жг╩шки╣б,2011-02-17,4.7255,4.7311,4.786,4.663,4.7217,2344743,58542265.8,-0.0038,-0.0801,24.9675,17.2408,339456000,N/A,1672320000,13600000,0,67000000,42.4832,8.8232,6.658,187.42,
300173.SZ,жг╩шки╣б,2011-02-18,4.7217,4.7311,4.856,4.6744,4.7746,2390817,60051915.9,0.053,1.1218,25.1177,17.5795,343264000,N/A,1691080000,13600000,0,67000000,42.9598,8.9222,6.7327,189.5224,
300173.SZ,жг╩шки╣б,2011-02-21,4.7746,4.7576,4.8049,4.7103,4.7992,1567292,39517103.6,0.0246,0.5151,25.2136,11.5242,345032000,N/A,1699790000,13600000,0,67000000,43.1811,8.9681,6.7673,190.4986,
300173.SZ,жг╩шки╣б,2011-02-22,4.7992,4.7784,4.7954,4.5022,4.5174,2414941,59001396.7,-0.2819,-5.8731,24.4318,17.7569,324768000,N/A,1599960000,13600000,0,67000000,40.645,8.4414,6.3699,179.3104,
300173.SZ,жг╩шки╣б,2011-02-23,4.5174,4.5174,4.6063,4.5022,4.5684,883297,21272634.4,0.0511,1.1307,24.0832,6.4948,328440000,N/A,1618050000,13600000,0,67000000,41.1046,8.5369,6.4419,181.3378,
300173.SZ,жг╩шки╣б,2011-02-24,4.5684,4.6063,4.7292,4.6063,4.6611,1664495,41144452.8,0.0927,2.029,24.7189,12.2389,335104000,N/A,1650880000,13600000,0,67000000,41.9386,8.7101,6.5726,185.0171,
300173.SZ,жг╩шки╣б,2011-02-25,4.6611,4.6384,4.7103,4.5703,4.6706,1036778,25485005.1,0.0095,0.2029,24.581,7.6234,335784000,N/A,1654230000,13600000,0,67000000,42.0237,8.7277,6.5859,185.3926,
