測鎢,潠備,�梪�,ヶ彶攫歎(啋),羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),傖蝠踢塗(啋),梀視(啋),梀視盟(%),歙歎(啋),遙忒薹(%),A嘖霜籵庈硉(啋),B嘖霜籵庈硉(啋),軞庈硉(啋),A嘖霜籵嘖掛(嘖),B嘖霜籵嘖掛(嘖),軞嘖掛(嘖),庈荅薹,庈噱薹,庈种薹,庈珋薹,
002247.SZ,著韓陔第,2008-06-12,N/A,3.2925,3.3395,2.9475,2.9475,11157691,219619245.6,N/A,N/A,19.6832,83.0185,252672000,N/A,1255840000,13440000,0,66800000,32.2737,10.6023,6.3617,-174.0158,
002247.SZ,著韓陔第,2008-06-13,2.9475,2.8237,2.9005,2.6622,2.7202,4782471,83588346,-0.2273,-7.7128,17.4781,35.5839,233184000,N/A,1158980000,13440000,0,66800000,29.7845,9.7845,5.871,-160.5943,
002247.SZ,著韓陔第,2008-06-16,2.7202,2.6841,2.8064,2.6073,2.7719,2503556,43291935.9,0.0517,1.902,17.2922,18.6276,237619200,N/A,1181024000,13440000,0,66800000,30.351,9.9706,5.9827,-163.6489,
002247.SZ,著韓陔第,2008-06-17,2.7719,2.7249,2.819,2.6214,2.6387,1523776,26337990.6,-0.1333,-4.8077,17.2847,11.3376,226195200,N/A,1124244000,13440000,0,66800000,28.8918,9.4913,5.6951,-155.7811,
002247.SZ,著韓陔第,2008-06-18,2.6387,2.6183,2.7406,2.565,2.7092,1602865,27350676,0.0706,2.6738,17.0636,11.9261,232243200,N/A,1154304000,13440000,0,66800000,29.6643,9.7451,5.8473,-159.9464,
002247.SZ,著韓陔第,2008-06-19,2.7092,2.6669,2.6857,2.438,2.4396,2369284,38447078.2,-0.2697,-9.9537,16.2273,17.6286,209126400,N/A,1039408000,13440000,0,66800000,26.7116,8.7751,5.2653,-144.0258,
002247.SZ,著韓陔第,2008-06-20,2.4396,2.4458,2.5571,2.2765,2.4129,1760537,27210881.6,-0.0267,-1.0925,15.456,13.0992,206841600,N/A,1028052000,13440000,0,66800000,26.4198,8.6792,5.2078,-142.4523,
002247.SZ,著韓陔第,2008-06-23,2.4129,2.3486,2.3909,2.2765,2.2859,989472,14658319.3,-0.127,-5.2632,14.8143,7.3621,195955200,N/A,973944000,13440000,0,66800000,25.0293,8.2224,4.9337,-134.9548,
002247.SZ,著韓陔第,2008-06-24,2.2859,2.2718,2.3753,2.2592,2.3439,824192,12229200.6,0.058,2.5377,14.8378,6.1324,200928000,N/A,998660000,13440000,0,66800000,25.6644,8.431,5.0589,-138.3796,
002247.SZ,著韓陔第,2008-06-25,2.3439,2.3188,2.4709,2.3047,2.4348,1206666,18587505,0.0909,3.8796,15.404,8.9782,208723200,N/A,1037404000,13440000,0,66800000,26.6601,8.7581,5.2552,-143.7481,
002247.SZ,著韓陔第,2008-06-26,2.4348,2.4301,2.5054,2.4082,2.4631,1069614,16815187.8,0.0282,1.159,15.7208,7.9584,211142400,N/A,1049428000,13440000,0,66800000,26.9691,8.8597,5.3161,-145.4142,
002247.SZ,著韓陔第,2008-06-27,2.4631,2.3988,2.4051,2.2577,2.2734,1032515,15303156.9,-0.1897,-7.7021,14.8212,7.6824,194880000,N/A,968600000,13440000,0,66800000,24.8919,8.1773,4.9066,-134.2143,
002247.SZ,著韓陔第,2008-06-30,2.2734,2.242,2.3392,2.231,2.2969,511946,7504979.8,0.0235,1.0345,14.6597,3.8091,196896000,N/A,978620000,13440000,0,66800000,25.1494,8.2619,4.9574,-135.6027,
002247.SZ,著韓陔第,2008-07-01,2.2969,2.3126,2.4239,2.3126,2.3674,1102616,16684528.6,0.0706,3.0717,15.1318,8.204,202944000,N/A,1008680000,13440000,0,66800000,25.9219,8.5156,5.1097,-139.768,
002247.SZ,著韓陔第,2008-07-02,2.3674,2.38,2.4145,2.3518,2.3831,504781,7661906.3,0.0157,0.6623,15.1787,3.7558,204288000,N/A,1015360000,13440000,0,66800000,26.0936,8.572,5.1435,-140.6936,
002247.SZ,著韓陔第,2008-07-03,2.3831,2.2859,2.4913,2.2859,2.4348,1168324,17938860.6,0.0517,2.1711,15.3544,8.6929,208723200,N/A,1037404000,13440000,0,66800000,26.6601,8.7581,5.2552,-143.7481,
002247.SZ,著韓陔第,2008-07-04,2.4348,2.4333,2.4599,2.3674,2.3941,774348,11883390.5,-0.0408,-1.6742,15.3463,5.7615,205228800,N/A,1020036000,13440000,0,66800000,26.2138,8.6115,5.1672,-141.3415,
002247.SZ,著韓陔第,2008-07-07,2.3941,2.3941,2.5368,2.3941,2.507,1238165,19656705.5,0.1129,4.7151,15.8757,9.2125,214905600,N/A,1068132000,13440000,0,66800000,27.4498,9.0176,5.4108,-148.006,
002247.SZ,著韓陔第,2008-07-08,2.507,2.5211,2.5869,2.4693,2.5164,1301009,21017197.9,0.0094,0.3752,16.1545,9.6801,215712000,N/A,1072140000,13440000,0,66800000,27.5528,9.0514,5.4311,-148.5613,
002247.SZ,著韓陔第,2008-07-09,2.5164,2.5477,2.5681,2.5242,2.5587,1183759,19197385.3,0.0423,1.6822,16.2173,8.8077,219340800,N/A,1090176000,13440000,0,66800000,28.0163,9.2037,5.5225,-151.0605,
