¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-05-30,N/A,7.5957,8.3597,7.5565,8.3597,41125816,662639414.4,N/A,N/A,16.1125,85.6788,819360000,N/A,8159460000,48000000,0,478000000,56.2735,8.8395,6.9573,-161.9562,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-05-31,8.3597,8.2372,8.7612,8.1197,8.678,30079116,518587344.3,0.3183,3.8079,17.2408,62.6648,850560000,N/A,8470160000,48000000,0,478000000,58.4163,9.1761,7.2222,-168.1233,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-01,8.678,8.5751,8.6633,8.3645,8.4282,15404456,266928697.3,-0.2498,-2.8781,17.328,32.0926,826080000,N/A,8226380000,48000000,0,478000000,56.735,8.912,7.0143,-163.2845,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-04,8.4282,8.1344,8.2421,7.9336,8.0168,13976228,230114921.3,-0.4114,-4.8809,16.4647,29.1171,785760000,N/A,7824860000,48000000,0,478000000,53.9658,8.477,6.672,-155.3148,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-05,8.0168,8.0658,8.1295,7.7671,7.8699,9429878,152422105,-0.1469,-1.8326,16.1637,19.6456,771360000,N/A,7681460000,48000000,0,478000000,52.9768,8.3216,6.5497,-152.4685,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-06,7.8699,7.8895,8.1197,7.8356,7.8895,9295149,151184734.8,0.0196,0.2489,16.2649,19.3649,773280000,N/A,7700580000,48000000,0,478000000,53.1087,8.3424,6.566,-152.848,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-07,7.8895,7.9728,8.0217,7.6202,7.6349,9650608,153229233.2,-0.2547,-3.2278,15.8777,20.1054,748320000,N/A,7452020000,48000000,0,478000000,51.3944,8.0731,6.3541,-147.9143,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-08,7.6349,7.6789,7.7965,7.3459,7.3802,8362199,129798570.3,-0.2547,-3.3355,15.5221,17.4212,723360000,N/A,7203460000,48000000,0,478000000,49.6802,7.8038,6.1421,-142.9807,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-11,7.3802,7.3802,7.4879,7.0423,7.2725,9060132,133631704.4,-0.1077,-1.4599,14.7494,18.8753,712800000,N/A,7098300000,48000000,0,478000000,48.9549,7.6899,6.0525,-140.8934,
002678.SZ,÷ÈΩ≠∏÷«Ÿ,2012-06-12,7.2725,7.1451,7.3949,7.0766,7.1941,7887191,116783627.8,-0.0784,-1.0774,14.8067,16.4316,705120000,N/A,7021820000,48000000,0,478000000,48.4275,7.607,5.9873,-139.3754,
