╢ЗбК,╪РЁф,хуфз,г╟йуел╪ш(т╙),©╙ел╪ш(т╙),вН╦ъ╪ш(т╙),вН╣м╪ш(т╙),йуел╪ш(т╙),Ёи╫╩а©(╧и),Ёи╫╩╫П╤Н(т╙),уг╣Ь(т╙),уг╣Ь╥Ы(%),╬Ы╪ш(т╙),╩╩йжбй(%),A╧иаВм╗йпж╣(т╙),B╧иаВм╗йпж╣(т╙),вэйпж╣(т╙),A╧иаВм╗╧и╠╬(╧и),B╧иаВм╗╧и╠╬(╧и),вэ╧и╠╬(╧и),йпс╞бй,йп╬╩бй,йпоЗбй,йпожбй,
002745.SZ,д╬ажи╜,2015-02-17,N/A,25.5529,30.6635,25.5529,30.6635,66000,2032782,N/A,N/A,30.7997,0.1483,1377720000,N/A,13761720000,44500000,0,444500000,31.7264,9.3695,3.439,-197.6781,
002745.SZ,д╬ажи╜,2015-02-25,30.6635,33.7338,33.7338,33.7338,33.7338,14400,490464,3.0703,10.0129,34.06,0.0324,1515670000,N/A,15139670000,44500000,0,444500000,34.9031,10.3076,3.7833,-217.4714,
002745.SZ,д╬ажи╜,2015-02-26,33.7338,37.1112,37.1112,37.1112,37.1112,14500,543315,3.3773,10.0117,37.47,0.0326,1667415000,N/A,16655415000,44500000,0,444500000,38.3976,11.3396,4.1621,-239.2441,
002745.SZ,д╬ажи╜,2015-02-27,37.1112,40.8253,40.8253,40.8253,40.8253,54800,2258856,3.7141,10.008,41.22,0.1231,1834290000,N/A,18322290000,44500000,0,444500000,42.2404,12.4745,4.5787,-263.1877,
002745.SZ,д╬ажи╜,2015-03-02,40.8253,44.9058,44.9058,44.9058,44.9058,269100,12200994,4.0805,9.9951,45.34,0.6047,2017630000,N/A,20153630000,44500000,0,444500000,46.4624,13.7213,5.0363,-289.4937,
002745.SZ,д╬ажи╜,2015-03-03,44.9058,44.9058,49.0062,40.5578,47.0154,26072515,1164226765.6,2.1096,4.6978,44.6534,58.5899,2112415000,N/A,21100415000,44500000,0,444500000,48.6451,14.3659,5.2729,-303.0936,
002745.SZ,д╬ажи╜,2015-03-04,47.0154,43.7767,45.0643,42.6873,43.8163,13438186,596948204.2,-3.1991,-6.8043,44.4218,30.1982,1968680000,N/A,19664680000,44500000,0,444500000,45.3351,13.3884,4.9141,-282.4702,
002745.SZ,д╬ажи╜,2015-03-05,43.8163,43.5786,43.5786,41.6572,41.6671,10068349,428782850.7,-2.1492,-4.9051,42.5872,22.6255,1872115000,N/A,18700115000,44500000,0,444500000,43.1114,12.7317,4.6731,-268.6149,
002745.SZ,д╬ажи╜,2015-03-06,41.6671,41.578,42.7863,40.6173,40.855,7292743,304887914.1,-0.8121,-1.9491,41.807,16.3882,1835625000,N/A,18335625000,44500000,0,444500000,42.2711,12.4836,4.582,-263.3792,
002745.SZ,д╬ажи╜,2015-03-09,40.855,40.5876,40.5975,38.7256,39.1713,6494962,257106888.6,-1.6837,-4.1212,39.5856,14.5954,1759975000,N/A,17579975000,44500000,0,444500000,40.529,11.9691,4.3932,-252.5248,
