¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
002629.SZ,» ÷«”Õ∑˛,2011-11-03,N/A,6.1704,6.5996,6.0657,6.2052,20598885,479445141.6,N/A,N/A,23.2753,89.9122,529908300,N/A,2646765900,22910000,0,114430000,43.9239,11.1521,6.1501,161.7766,
002629.SZ,» ÷«”Õ∑˛,2011-11-04,6.2052,6.0792,6.1918,5.8538,6.0201,10703691,240643614.5,-0.1851,-2.9831,22.4823,46.7206,514100400,N/A,2567809200,22910000,0,114430000,42.6136,10.8194,5.9666,156.9506,
002629.SZ,» ÷«”Õ∑˛,2011-11-07,6.0201,5.9826,6.436,5.9397,6.2884,11091104,255756212.1,0.2683,4.4563,23.0596,48.4116,537010400,N/A,2682239200,22910000,0,114430000,44.5126,11.3015,6.2325,163.9448,
002629.SZ,» ÷«”Õ∑˛,2011-11-08,6.2884,6.1731,6.4038,6.0631,6.2911,8596628,199561495.9,0.0027,0.0427,23.2139,37.5235,537239500,N/A,2683383500,22910000,0,114430000,44.5316,11.3064,6.2352,164.0147,
002629.SZ,» ÷«”Õ∑˛,2011-11-09,6.2911,6.2991,6.9162,6.2267,6.6721,14722271,363340867.4,0.381,6.0554,24.6797,64.2613,569771700,N/A,2845874100,22910000,0,114430000,47.2282,11.991,6.6127,173.9466,
002629.SZ,» ÷«”Õ∑˛,2011-11-10,6.6721,6.5808,6.7579,6.5004,6.5701,8579697,211658289.8,-0.1019,-1.5279,24.6697,37.4496,561065900,N/A,2802390700,22910000,0,114430000,46.5066,11.8078,6.5117,171.2887,
002629.SZ,» ÷«”Õ∑˛,2011-11-11,6.5701,6.5943,6.6399,6.1409,6.1999,7350435,174702706.1,-0.3702,-5.635,23.7677,32.084,529450100,N/A,2644477300,22910000,0,114430000,43.8859,11.1424,6.1448,161.6367,
002629.SZ,» ÷«”Õ∑˛,2011-11-14,6.1999,6.2643,6.4628,6.1462,6.4118,5518126,129941608.4,0.2119,3.4184,23.5481,24.0861,547549000,N/A,2734877000,22910000,0,114430000,45.3861,11.5233,6.3548,167.1622,
002629.SZ,» ÷«”Õ∑˛,2011-11-15,6.4118,6.3769,6.393,6.216,6.2938,4709996,110670616.9,-0.118,-1.841,23.497,20.5587,537468600,N/A,2684527800,22910000,0,114430000,44.5506,11.3112,6.2378,164.0847,
002629.SZ,» ÷«”Õ∑˛,2011-11-16,6.2938,6.267,6.4226,6.1194,6.224,4676354,109207380.4,-0.0698,-1.1083,23.3531,20.4118,531512000,N/A,2654776000,22910000,0,114430000,44.0568,11.1858,6.1687,162.2662,
002629.SZ,» ÷«”Õ∑˛,2011-11-17,6.224,6.2428,6.4306,6.2052,6.3582,5551292,131267285.7,0.1341,2.1552,23.6463,24.2309,542967000,N/A,2711991000,22910000,0,114430000,45.0063,11.4269,6.3016,165.7633,
002629.SZ,» ÷«”Õ∑˛,2011-11-18,6.3582,6.2562,6.267,6.0389,6.1087,3809250,87146786,-0.2495,-3.9241,22.8777,16.627,521660700,N/A,2605571100,22910000,0,114430000,43.2403,10.9785,6.0544,159.2587,
002629.SZ,» ÷«”Õ∑˛,2011-11-21,6.1087,6.1194,6.1704,5.7519,5.9048,3532739,78358397.7,-0.2039,-3.3377,22.1806,15.4201,504249100,N/A,2518604300,22910000,0,114430000,41.797,10.6121,5.8523,153.9431,
002629.SZ,» ÷«”Õ∑˛,2011-11-22,5.9048,5.7706,5.8967,5.6687,5.8216,2490792,53590979.4,-0.0832,-1.4085,21.5156,10.8721,497147000,N/A,2483131000,22910000,0,114430000,41.2083,10.4626,5.7699,151.7748,
002629.SZ,» ÷«”Õ∑˛,2011-11-23,5.8216,5.8216,5.8914,5.7814,5.8002,1865393,40532446.1,-0.0215,-0.3687,21.7286,8.1423,495314200,N/A,2473976600,22910000,0,114430000,41.0564,10.424,5.7486,151.2153,
002629.SZ,» ÷«”Õ∑˛,2011-11-24,5.8002,5.6875,5.7733,5.5614,5.6848,2536943,53511523.4,-0.1154,-1.9889,21.0929,11.0735,485462900,N/A,2424771700,22910000,0,114430000,40.2399,10.2167,5.6342,148.2078,
