¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
000678.SZ,œÂ—Ù÷·≥–,1997-01-06,N/A,5.2729,5.6395,4.8903,4.9104,9228600,231190194.8,N/A,N/A,25.0515,60.3982,372516648,N/A,1455161746,15279600,0,59686700,32.6161,3.7923,3.7628,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-07,4.9104,4.7916,5.0151,4.5338,4.8137,2299300,53991192.7,-0.0967,-1.9688,23.4816,15.0482,365182440,N/A,1426512130,15279600,0,59686700,31.9739,3.7176,3.6887,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-08,4.8137,4.713,4.8339,4.6324,4.7372,1122700,26474936.4,-0.0765,-1.59,23.5815,7.3477,359376192,N/A,1403831184,15279600,0,59686700,31.4655,3.6585,3.63,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-09,4.7372,4.7332,4.995,4.7332,4.8923,1149000,27991127.2,0.1551,3.2738,24.3613,7.5198,371141484,N/A,1449789943,15279600,0,59686700,32.4957,3.7783,3.7489,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-10,4.8923,4.8882,4.9285,4.7734,4.8339,873600,20952387.1,-0.0584,-1.1939,23.984,5.7174,366710400,N/A,1432480800,15279600,0,59686700,32.1077,3.7332,3.7041,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-13,4.8339,4.8641,4.8741,4.7936,4.8238,705000,16874657.4,-0.0101,-0.2083,23.9357,4.614,365946420,N/A,1429496465,15279600,0,59686700,32.0408,3.7254,3.6964,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-14,4.8238,4.8641,5.0151,4.7936,4.8762,1102600,26966000.1,0.0524,1.0856,24.4567,7.2162,369919116,N/A,1445015007,15279600,0,59686700,32.3886,3.7658,3.7365,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-15,4.8762,4.8943,4.9144,4.8359,4.8721,454300,10990880.9,-0.004,-0.0826,24.193,2.9732,369613524,N/A,1443821273,15279600,0,59686700,32.3619,3.7627,3.7335,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-16,4.8721,4.8842,4.9346,4.8298,4.854,479500,11589446.8,-0.0181,-0.3721,24.1699,3.1382,368238360,N/A,1438449470,15279600,0,59686700,32.2415,3.7487,3.7196,N/A,
000678.SZ,œÂ—Ù÷·≥–,1997-01-17,4.854,4.8721,4.9466,4.8701,4.9326,526500,12815635.4,0.0786,1.6183,24.3412,3.4458,374197404,N/A,1461727283,15279600,0,59686700,32.7632,3.8094,3.7798,N/A,
