代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300287.SZ,飞利信,2012-02-01,N/A,1.3604,1.3735,1.2662,1.2818,12481274,198773989.3,N/A,N/A,15.9258,74.2933,262920000,N/A,1314600000,16800000,0,84000000,29.8933,7.9331,3.7509,65.6436,
300287.SZ,飞利信,2012-02-02,1.2818,1.3104,1.3326,1.2818,1.3104,8026537,128176394.3,0.0287,2.2364,15.9691,47.777,268800000,N/A,1344000000,16800000,0,84000000,30.5618,8.1105,3.8348,67.1117,
300287.SZ,飞利信,2012-02-03,1.3104,1.3039,1.3268,1.2801,1.326,7519042,119635438,0.0156,1.1875,15.911,44.7562,271992000,N/A,1359960000,16800000,0,84000000,30.9247,8.2068,3.8804,67.9087,
300287.SZ,飞利信,2012-02-06,1.326,1.3186,1.3465,1.2998,1.3154,6702371,107946765.4,-0.0106,-0.803,16.1058,39.8951,269808000,N/A,1349040000,16800000,0,84000000,30.6764,8.1409,3.8492,67.3634,
300287.SZ,飞利信,2012-02-07,1.3154,1.3375,1.358,1.2785,1.2859,6389012,103013617,-0.0295,-2.2416,16.1236,38.0298,263760000,N/A,1318800000,16800000,0,84000000,29.9888,7.9584,3.7629,65.8534,
300287.SZ,飞利信,2012-02-08,1.2859,1.2531,1.2818,1.2081,1.2777,6664360,101146100.4,-0.0082,-0.6369,15.1772,39.6688,262080000,N/A,1310400000,16800000,0,84000000,29.7978,7.9078,3.739,65.4339,
300287.SZ,飞利信,2012-02-09,1.2777,1.2531,1.2941,1.2498,1.2785,4513969,70145173.3,0.0008,0.0641,15.5396,26.8689,262248000,N/A,1311240000,16800000,0,84000000,29.8169,7.9128,3.7414,65.4759,
300287.SZ,飞利信,2012-02-10,1.2785,1.2711,1.2826,1.2597,1.2695,3133895,48591868.6,-0.009,-0.7047,15.5053,18.6541,260400000,N/A,1302000000,16800000,0,84000000,29.6068,7.8571,3.715,65.0145,
300287.SZ,飞利信,2012-02-13,1.2695,1.2793,1.2998,1.2662,1.2916,4426311,69655401.6,0.0221,1.7419,15.7367,26.3471,264936000,N/A,1324680000,16800000,0,84000000,30.1225,7.9939,3.7797,66.147,
300287.SZ,飞利信,2012-02-14,1.2916,1.2818,1.3211,1.2818,1.2933,3593970,57087308.2,0.0016,0.1268,15.8842,21.3927,265272000,N/A,1326360000,16800000,0,84000000,30.1607,8.0041,3.7845,66.2309,
