代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
300078.SZ,思创医惠,2010-04-30,N/A,10.291,10.5069,9.2751,9.2823,7549225,504084703.8,N/A,N/A,66.773,55.509,871080000,N/A,4291350000,13600000,0,67000000,71.8082,30.613,18.4586,287.9634,
300078.SZ,思创医惠,2010-05-04,9.2823,8.8403,9.4838,8.7113,9.0649,3379156,214807154.1,-0.2174,-2.3419,63.5683,24.8467,850680000,N/A,4190850000,13600000,0,67000000,70.1265,29.8961,18.0263,281.2195,
300078.SZ,思创医惠,2010-05-05,9.0649,8.8403,9.3475,8.7838,9.2736,2543353,160599886,0.2087,2.3022,63.1449,18.7011,870264000,N/A,4287330000,13600000,0,67000000,71.7409,30.5843,18.4413,287.6936,
300078.SZ,思创医惠,2010-05-06,9.2736,9.1157,9.2157,8.5795,8.6012,2700566,166960579.8,-0.6724,-7.2511,61.8243,19.8571,807160000,N/A,3976450000,13600000,0,67000000,66.5389,28.3666,17.1041,266.8326,
300078.SZ,思创医惠,2010-05-07,8.6012,8.3592,8.6215,8.2606,8.3911,1932098,112248922.7,-0.2101,-2.4431,58.0969,14.2066,787440000,N/A,3879300000,13600000,0,67000000,64.9133,27.6736,16.6862,260.3135,
300078.SZ,思创医惠,2010-05-10,8.3911,8.4374,8.478,7.6969,7.7969,1846495,102104623.9,-0.5942,-7.0812,55.2965,13.5772,731680000,N/A,3604600000,13600000,0,67000000,60.3167,25.714,15.5046,241.8803,
300078.SZ,思创医惠,2010-05-11,7.7969,8.0331,8.0795,7.5099,7.5722,1396461,75131854.4,-0.2246,-2.881,53.8016,10.2681,710600000,N/A,3500750000,13600000,0,67000000,58.5789,24.9731,15.0579,234.9116,
300078.SZ,思创医惠,2010-05-12,7.5722,7.5027,7.649,7.394,7.6259,921046,47886673.4,0.0536,0.7081,51.9916,6.7724,715632000,N/A,3525540000,13600000,0,67000000,58.9937,25.15,15.1646,236.5751,
300078.SZ,思创医惠,2010-05-13,7.6259,7.6259,7.9679,7.5012,7.9447,1237243,66321578.9,0.3188,4.1809,53.6043,9.0974,745552000,N/A,3672940000,13600000,0,67000000,61.4602,26.2015,15.7986,246.4661,
300078.SZ,思创医惠,2010-05-14,7.9447,7.8983,8.4041,7.8418,8.3302,1870191,106301137,0.3855,4.8522,56.8397,13.7514,781728000,N/A,3851160000,13600000,0,67000000,64.4424,27.4728,16.5652,258.4252,
300078.SZ,思创医惠,2010-05-17,8.3302,8.149,8.5925,8.1215,8.2592,2068555,119213707,-0.071,-0.8525,57.6314,15.21,775064000,N/A,3818330000,13600000,0,67000000,63.8931,27.2386,16.424,256.2222,
300078.SZ,思创医惠,2010-05-18,8.2592,8.1737,8.5881,7.9548,8.5679,2243825,129229320.6,0.3087,3.7375,57.5933,16.4987,804032000,N/A,3961040000,13600000,0,67000000,66.2811,28.2567,17.0378,265.7985,
300078.SZ,思创医惠,2010-05-19,8.5679,8.4751,9.4128,8.4751,8.9563,3445663,213408153.3,0.3884,4.5332,61.9353,25.3358,840480000,N/A,4140600000,13600000,0,67000000,69.2857,29.5376,17.8102,277.8476,
300078.SZ,思创医惠,2010-05-20,8.9563,8.7939,9.0577,8.6026,8.6954,2076685,126197218.5,-0.2609,-2.9126,60.7686,15.2697,816000000,N/A,4020000000,13600000,0,67000000,67.2676,28.6773,17.2914,269.7549,
300078.SZ,思创医惠,2010-05-21,8.6954,8.4055,9.3519,8.3505,9.3475,2964671,183291633.7,0.6522,7.5,61.8253,21.7991,877200000,N/A,4321500000,13600000,0,67000000,72.3127,30.8281,18.5883,289.9866,
300078.SZ,思创医惠,2010-05-24,9.3475,9.3475,9.6925,9.278,9.42,3392568,221951554.2,0.0725,0.7752,65.4229,24.9454,884000000,N/A,4355000000,13600000,0,67000000,72.8733,31.0671,18.7324,292.2345,
300078.SZ,思创医惠,2010-05-25,9.42,9.2881,9.6519,9.2461,9.5939,2527453,165427279.3,0.1739,1.8462,65.4522,18.5842,900320000,N/A,4435400000,13600000,0,67000000,74.2186,31.6406,19.0782,297.6296,
300078.SZ,思创医惠,2010-05-26,9.5939,9.6084,9.978,9.2215,9.2432,2287018,151206030.3,-0.3507,-3.6556,66.1149,16.8163,867408000,N/A,4273260000,13600000,0,67000000,71.5055,30.484,18.3808,286.7495,
300078.SZ,思创医惠,2010-05-27,9.2432,9.1707,9.6345,8.9939,9.5475,1813057,116406766.9,0.3043,3.2926,64.2047,13.3313,895968000,N/A,4413960000,13600000,0,67000000,73.8599,31.4877,18.986,296.1909,
300078.SZ,思创医惠,2010-05-28,9.5475,9.6519,9.678,9.1751,9.2461,1894250,122502660.8,-0.3014,-3.1573,64.6708,13.9283,867680000,N/A,4274600000,13600000,0,67000000,71.5279,30.4935,18.3865,286.8394,
300078.SZ,思创医惠,2010-05-31,9.2461,9.1157,9.1258,8.7244,8.7244,1831668,112626887.6,-0.5217,-5.6426,61.4887,13.4681,818720000,N/A,4033400000,13600000,0,67000000,67.4919,28.7729,17.3491,270.6541,
300078.SZ,思创医惠,2010-06-01,8.7244,8.5505,8.7244,8.2896,8.5244,1450810,85149485,-0.2,-2.2924,58.691,10.6677,799952000,N/A,3940940000,13600000,0,67000000,65.9447,28.1133,16.9513,264.4498,
300078.SZ,思创医惠,2010-06-02,8.5244,8.4171,9.0577,8.4171,9.0505,1480212,89619962.3,0.5261,6.1714,60.5454,10.8839,849320000,N/A,4184150000,13600000,0,67000000,70.0144,29.8483,17.9975,280.7699,
300078.SZ,思创医惠,2010-06-03,9.0505,9.0722,9.307,8.9678,8.9722,1861736,117235246,-0.0783,-0.8647,62.9709,13.6892,841976000,N/A,4147970000,13600000,0,67000000,69.409,29.5902,17.8419,278.3421,
300078.SZ,思创医惠,2010-06-04,8.9722,8.8983,9.4519,8.8621,9.433,1912877,122614324.4,0.4609,5.1365,64.0994,14.0653,885224000,N/A,4361030000,13600000,0,67000000,72.9742,31.1101,18.7583,292.6392,
300078.SZ,思创医惠,2010-06-07,9.433,9.2867,9.8765,9.2823,9.5838,2079055,137812919.4,0.1507,1.5978,66.2863,15.2872,899368000,N/A,4430710000,13600000,0,67000000,74.1402,31.6072,19.058,297.3149,
300078.SZ,思创医惠,2010-06-08,9.5838,9.5635,9.6794,9.42,9.6301,1509687,99327095.1,0.0464,0.4839,65.7932,11.1006,903720000,N/A,4452150000,13600000,0,67000000,74.4989,31.7601,19.1502,298.7536,
300078.SZ,思创医惠,2010-06-09,9.6301,9.6809,9.9098,9.4026,9.4867,1834299,122370653.4,-0.1435,-1.4898,66.7125,13.4875,890256000,N/A,4385820000,13600000,0,67000000,73.389,31.2869,18.8649,294.3026,
300078.SZ,思创医惠,2010-06-10,9.4867,9.3041,10.1417,9.3041,9.9707,2359610,159969123.2,0.484,5.1024,67.7947,17.3501,935680000,N/A,4609600000,13600000,0,67000000,77.1336,32.8833,19.8275,309.319,
300078.SZ,思创医惠,2010-06-11,9.9707,9.9968,10.2606,9.9374,9.9968,1853059,128728495.2,0.0261,0.2616,69.4681,13.6254,938128000,N/A,4621660000,13600000,0,67000000,77.3354,32.9693,19.8794,310.1283,
300078.SZ,思创医惠,2010-06-17,9.9968,10.0258,10.0722,9.2693,9.2751,1965402,130771666.1,-0.7217,-7.2195,66.5369,14.4515,870400000,N/A,4288000000,13600000,0,67000000,71.7522,30.5891,18.4442,287.7386,
300078.SZ,思创医惠,2010-06-18,9.2751,9.2896,9.6954,9.0577,9.1519,1710534,110651840.8,-0.1232,-1.3281,64.6885,12.5775,858840000,N/A,4231050000,13600000,0,67000000,70.7992,30.1829,18.1992,283.9171,
300078.SZ,思创医惠,2010-06-21,9.1519,9.1374,10.0678,8.8418,10.0678,2290706,152253744.1,0.9159,10.0079,66.4659,16.8434,944792000,N/A,4654490000,13600000,0,67000000,77.8847,33.2035,20.0206,312.3313,
300078.SZ,思创医惠,2010-06-22,10.0678,10.0287,10.4635,10.004,10.0475,2250280,158869653.6,-0.0203,-0.2015,70.5999,16.5462,942888000,N/A,4645110000,13600000,0,67000000,77.7278,33.1366,19.9802,311.7018,
300078.SZ,思创医惠,2010-06-23,10.0475,10.0432,10.8084,9.8707,10.7345,2742593,198625222.1,0.6869,6.8369,72.4224,20.1661,1007352000,N/A,4962690000,13600000,0,67000000,83.0419,35.4021,21.3462,333.0125,
300078.SZ,思创医惠,2010-06-24,10.7345,10.7069,10.8084,10.5084,10.7127,1601331,117507686.8,-0.0217,-0.2025,73.3813,11.7745,1005312000,N/A,4952640000,13600000,0,67000000,82.8737,35.3304,21.303,332.3381,
300078.SZ,思创医惠,2010-06-25,10.7127,10.591,10.9417,10.1533,10.72,2082801,151480476.4,0.0072,0.0676,72.7292,15.3147,1005992000,N/A,4955990000,13600000,0,67000000,82.9298,35.3543,21.3174,332.5629,
300078.SZ,思创医惠,2010-06-28,10.72,10.5779,10.6504,10.0026,10.0026,1619244,115674047.3,-0.7174,-6.6919,71.4371,11.9062,938672000,N/A,4624340000,13600000,0,67000000,77.3802,32.9884,19.8909,310.3081,
300078.SZ,思创医惠,2010-06-29,10.0026,9.9852,10.2562,9.5954,9.9635,2118438,144835588.9,-0.0391,-0.3912,68.369,15.5768,935000000,N/A,4606250000,13600000,0,67000000,77.0775,32.8594,19.8131,309.0942,
300078.SZ,思创医惠,2010-06-30,9.9635,9.8678,10.2895,9.6606,10.1272,1872457,128730217.5,0.1638,1.6436,68.7494,13.7681,950368000,N/A,4681960000,13600000,0,67000000,78.3444,33.3995,20.1387,314.1746,
300078.SZ,思创医惠,2010-07-01,10.1272,10.0388,10.0809,9.1142,9.1142,2599692,168963954.1,-1.013,-10.0029,64.9938,19.1154,855304000,N/A,4213630000,13600000,0,67000000,70.5077,30.0586,18.1243,282.7481,
300078.SZ,思创医惠,2010-07-02,9.1142,8.9867,9.2142,8.565,8.8577,2092538,128272960.6,-0.2565,-2.8144,61.3002,15.3863,831232000,N/A,4095040000,13600000,0,67000000,68.5233,29.2126,17.6142,274.7904,
300078.SZ,思创医惠,2010-07-05,8.8577,8.6954,8.8809,8.4055,8.7113,1162148,69342835.4,-0.1464,-1.6525,59.6678,8.5452,817496000,N/A,4027370000,13600000,0,67000000,67.391,28.7299,17.3231,270.2495,
300078.SZ,思创医惠,2010-07-06,8.7113,8.6997,9.2591,8.6968,9.0562,1732025,108144701.1,0.3449,3.9594,62.4383,12.7355,849864000,N/A,4186830000,13600000,0,67000000,70.0593,29.8674,18.009,280.9498,
300078.SZ,思创医惠,2010-07-07,9.0562,9.0142,9.1591,8.8548,9.1128,1162078,72520492.2,0.0565,0.6241,62.4059,8.5447,855168000,N/A,4212960000,13600000,0,67000000,70.4965,30.0538,18.1214,282.7032,
300078.SZ,思创医惠,2010-07-08,9.1128,9.1548,9.6359,9.0287,9.4273,1750444,112673302.3,0.3145,3.451,64.3684,12.8709,884680000,N/A,4358350000,13600000,0,67000000,72.9293,31.091,18.7468,292.4593,
300078.SZ,思创医惠,2010-07-09,9.4273,9.391,9.6171,9.2606,9.4852,1288030,83979472.3,0.058,0.6149,65.1999,9.4708,890120000,N/A,4385150000,13600000,0,67000000,73.3778,31.2821,18.862,294.2577,
300078.SZ,思创医惠,2010-07-12,9.4852,9.4562,9.562,9.0302,9.0939,1537375,98499086.8,-0.3913,-4.1253,64.0697,11.3042,853400000,N/A,4204250000,13600000,0,67000000,70.3507,29.9917,18.0839,282.1187,
300078.SZ,思创医惠,2010-07-13,9.0939,9.1736,9.6345,9.1736,9.5649,2160843,139480759.1,0.471,5.1793,64.5492,15.8886,897600000,N/A,4422000000,13600000,0,67000000,73.9944,31.545,19.0206,296.7304,
300078.SZ,思创医惠,2010-07-14,9.5649,9.4852,9.5925,9.1881,9.3084,1436730,93023647.3,-0.2565,-2.6818,64.7468,10.5642,873528000,N/A,4303410000,13600000,0,67000000,72.01,30.699,18.5105,288.7727,
300078.SZ,思创医惠,2010-07-15,9.3084,9.2722,9.7649,9.2722,9.3331,1333398,87547674.3,0.0246,0.2647,65.6576,9.8044,875840000,N/A,4314800000,13600000,0,67000000,72.2006,30.7803,18.5595,289.537,
300078.SZ,思创医惠,2010-07-16,9.3331,9.1244,9.1997,8.7679,9.0852,1322440,81923242.4,-0.2478,-2.6553,61.9486,9.7238,852584000,N/A,4200230000,13600000,0,67000000,70.2835,29.963,18.0666,281.8489,
300078.SZ,思创医惠,2010-07-19,9.0852,8.9128,9.2142,8.8983,9.1939,750669,47093127.8,0.1087,1.1964,62.7349,5.5196,862784000,N/A,4250480000,13600000,0,67000000,71.1243,30.3215,18.2828,285.2209,
300078.SZ,思创医惠,2010-07-20,9.1939,9.1954,9.4925,9.1128,9.3968,1039142,66780110.1,0.2029,2.2068,64.2647,7.6408,881824000,N/A,4344280000,13600000,0,67000000,72.6939,30.9906,18.6863,291.5152,
300078.SZ,思创医惠,2010-07-21,9.3968,9.3968,9.6939,9.3331,9.362,1221160,80189475.5,-0.0348,-0.3701,65.6666,8.9791,878560000,N/A,4328200000,13600000,0,67000000,72.4248,30.8759,18.6171,290.4362,
300078.SZ,思创医惠,2010-07-22,9.362,9.3331,9.4461,9.1331,9.3968,875055,56139935.4,0.0348,0.3715,64.1559,6.4342,881824000,N/A,4344280000,13600000,0,67000000,72.6939,30.9906,18.6863,291.5152,
300078.SZ,思创医惠,2010-07-23,9.3968,9.4229,9.6084,9.3635,9.5519,1187833,77906379.3,0.1551,1.6502,65.587,8.7341,896376000,N/A,4415970000,13600000,0,67000000,73.8935,31.502,18.9946,296.3258,
300078.SZ,思创医惠,2010-07-26,9.5519,9.5693,9.9823,9.533,9.7664,1559938,105244256.8,0.2145,2.2455,67.4669,11.4701,916504000,N/A,4515130000,13600000,0,67000000,75.5528,32.2094,19.4211,302.9798,
300078.SZ,思创医惠,2010-07-27,9.7664,9.707,9.8287,9.5678,9.707,1029201,68708187.9,-0.0594,-0.6084,66.7588,7.5677,910928000,N/A,4487660000,13600000,0,67000000,75.0931,32.0134,19.303,301.1364,
300078.SZ,思创医惠,2010-07-28,9.707,9.6954,9.8838,9.5954,9.7997,1141239,76795489.3,0.0928,0.9555,67.2913,8.3915,919632000,N/A,4530540000,13600000,0,67000000,75.8106,32.3193,19.4874,304.0138,
300078.SZ,思创医惠,2010-07-29,9.7997,9.7562,9.949,9.7562,9.8301,1047236,71006960.2,0.0304,0.3106,67.8042,7.7003,922488000,N/A,4544610000,13600000,0,67000000,76.0461,32.4197,19.5479,304.9579,
300078.SZ,思创医惠,2010-07-30,9.8301,9.7968,9.7968,9.5374,9.6504,2061286,137431747,-0.1797,-1.8281,66.6728,12.1252,1132030000,N/A,4461530000,17000000,0,67000000,74.6559,31.827,19.1906,299.383,
300078.SZ,思创医惠,2010-08-02,9.6504,9.6649,9.9243,9.5359,9.862,1630107,109422312.4,0.2116,2.1925,67.1258,9.5889,1156850000,N/A,4559350000,17000000,0,67000000,76.2927,32.5248,19.6113,305.9471,
300078.SZ,思创医惠,2010-08-03,9.862,9.8374,9.8548,9.5475,9.5635,1291902,86432047.2,-0.2985,-3.0272,66.9029,7.5994,1121830000,N/A,4421330000,17000000,0,67000000,73.9832,31.5402,19.0177,296.6855,
300078.SZ,思创医惠,2010-08-04,9.5635,9.5635,9.7678,9.5417,9.7171,894893,59685876,0.1536,1.6063,66.6961,5.2641,1139850000,N/A,4492350000,17000000,0,67000000,75.1716,32.0469,19.3232,301.4511,
300078.SZ,思创医惠,2010-08-05,9.7171,9.7185,9.9359,9.0026,9.4171,1889770,126100893.1,-0.3,-3.0872,66.7282,11.1163,1104660000,N/A,4353660000,17000000,0,67000000,72.8509,31.0575,18.7266,292.1446,
300078.SZ,思创医惠,2010-08-06,9.4171,9.3548,9.4896,9.1794,9.4577,1682041,108436608.3,0.0406,0.4309,64.4673,9.8944,1109420000,N/A,4372420000,17000000,0,67000000,73.1648,31.1913,18.8073,293.4034,
300078.SZ,思创医惠,2010-08-09,9.4577,9.4635,9.6374,9.3881,9.6185,1552066,101941690.1,0.1609,1.7009,65.6813,9.1298,1128290000,N/A,4446790000,17000000,0,67000000,74.4092,31.7219,19.1272,298.3939,
300078.SZ,思创医惠,2010-08-10,9.6185,9.6171,9.6809,9.1302,9.1809,1686675,109592135.1,-0.4377,-4.5502,64.9753,9.9216,1076950000,N/A,4244450000,17000000,0,67000000,71.0234,30.2784,18.2568,284.8163,
300078.SZ,思创医惠,2010-08-11,9.1809,9.1736,9.2867,9.1447,9.2258,936500,59516927.8,0.0449,0.4893,63.5525,5.5088,1082220000,N/A,4265220000,17000000,0,67000000,71.371,30.4266,18.3462,286.21,
300078.SZ,思创医惠,2010-08-12,9.2258,9.2258,9.2258,9.2258,9.2258,N/A,N/A,0,0,N/A,N/A,1082220000,N/A,4265220000,17000000,0,67000000,71.371,30.4266,18.3462,286.21,
300078.SZ,思创医惠,2010-08-13,9.2258,9.1302,9.3331,9.0142,9.3012,1086607,68673504.8,0.0754,0.8168,63.1999,6.3918,1091060000,N/A,4300060000,17000000,0,67000000,71.954,30.6751,18.496,288.5479,
300078.SZ,思创医惠,2010-08-16,9.3012,9.3041,9.5649,9.2765,9.5446,1024493,66718691.2,0.2435,2.6176,65.1236,6.0264,1119620000,N/A,4412620000,17000000,0,67000000,73.8375,31.4781,18.9802,296.101,
300078.SZ,思创医惠,2010-08-17,9.5446,9.591,9.7533,9.4925,9.6157,1070776,71255290,0.071,0.744,66.5455,6.2987,1127950000,N/A,4445450000,17000000,0,67000000,74.3868,31.7123,19.1214,298.304,
300078.SZ,思创医惠,2010-08-18,9.6157,9.6229,9.8983,9.5693,9.8258,1504729,101169981.2,0.2101,2.1854,67.2347,8.8513,1152600000,N/A,4542600000,17000000,0,67000000,76.0124,32.4053,19.5393,304.8231,
300078.SZ,思创医惠,2010-08-19,9.8258,9.8113,9.8954,9.6157,9.8098,1393166,93803813.9,-0.0159,-0.1622,67.3314,8.1951,1150730000,N/A,4535230000,17000000,0,67000000,75.8891,32.3528,19.5076,304.3285,
300078.SZ,思创医惠,2010-08-20,9.8098,9.6359,9.6359,9.2128,9.2316,2196478,142013446.8,-0.5782,-5.8945,64.6551,12.9205,1082900000,N/A,4267900000,17000000,0,67000000,71.4158,30.4457,18.3577,286.3898,
300078.SZ,思创医惠,2010-08-23,9.2316,9.1736,9.2997,9.1461,9.1823,809412,51398579,-0.0493,-0.5338,63.5011,4.7612,1077120000,N/A,4245120000,17000000,0,67000000,71.0346,30.2832,18.2597,284.8612,
300078.SZ,思创医惠,2010-08-24,9.1823,9.1736,9.3751,9.1736,9.2475,676046,43336358.4,0.0652,0.7102,64.1027,3.9767,1084770000,N/A,4275270000,17000000,0,67000000,71.5391,30.4983,18.3894,286.8844,
300078.SZ,思创医惠,2010-08-25,9.2475,9.2287,9.3896,8.9852,9.2432,993326,63091928,-0.0043,-0.047,63.5158,5.8431,1084260000,N/A,4273260000,17000000,0,67000000,71.5055,30.484,18.3808,286.7495,
300078.SZ,思创医惠,2010-08-26,9.2432,9.2157,9.5316,9.1635,9.407,1171760,76111694,0.1638,1.7717,64.955,6.8927,1103470000,N/A,4348970000,17000000,0,67000000,72.7724,31.0241,18.7064,291.8299,
300078.SZ,思创医惠,2010-08-27,9.407,9.378,9.7113,9.378,9.6809,1337786,88479677.7,0.2739,2.9117,66.1389,7.8693,1135600000,N/A,4475600000,17000000,0,67000000,74.8913,31.9274,19.2511,300.3272,
300078.SZ,思创医惠,2010-08-30,9.6809,9.7099,9.8041,9.5939,9.7099,1386950,93012167.4,0.029,0.2994,67.0624,8.1585,1139000000,N/A,4489000000,17000000,0,67000000,75.1155,32.023,19.3087,301.2263,
300078.SZ,思创医惠,2010-08-31,9.7099,9.6968,10.3693,9.6664,10.2258,2267093,157430123.9,0.5159,5.3134,69.4414,13.3358,1199520000,N/A,4727520000,17000000,0,67000000,79.1068,33.7245,20.3347,317.2318,
