代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
002610.SZ,爱康科技,2011-08-15,N/A,8.045,9.6154,7.9227,9.5896,36260500,962100028.1,N/A,N/A,26.533,90.6513,1192000000,N/A,5960000000,40000000,0,200000000,58.7381,13.8027,4.7758,84.0464,
002610.SZ,爱康科技,2011-08-16,9.5896,9.0072,9.6476,8.8592,9.2904,26672250,763906990.3,-0.2993,-3.1208,28.6405,66.6806,1154800000,N/A,5774000000,40000000,0,200000000,56.905,13.372,4.6268,81.4235,
002610.SZ,爱康科技,2011-08-17,9.2904,9.1681,9.477,8.9525,9.0104,16058776,457597375.3,-0.28,-3.0135,28.4952,40.1469,1120000000,N/A,5600000000,40000000,0,200000000,55.1902,12.969,4.4873,78.9698,
002610.SZ,爱康科技,2011-08-18,9.0104,8.8495,8.9589,8.5245,8.5502,12270530,331563928.2,-0.4602,-5.1071,27.0212,30.6763,1062800000,N/A,5314000000,40000000,0,200000000,52.3715,12.3067,4.2582,74.9367,
002610.SZ,爱康科技,2011-08-19,8.5502,8.2381,8.4279,8.1319,8.3378,8356997,214974250.5,-0.2124,-2.484,25.7239,20.8925,1036400000,N/A,5182000000,40000000,0,200000000,51.0706,12.001,4.1524,73.0753,
002610.SZ,爱康科技,2011-08-22,8.3378,8.3185,8.4955,8.1415,8.4247,7265723,188040180.4,0.0869,1.0421,25.8804,18.1643,1047200000,N/A,5236000000,40000000,0,200000000,51.6028,12.126,4.1957,73.8368,
002610.SZ,爱康科技,2011-08-23,8.4247,8.4312,8.753,8.3185,8.6886,9579932,254292134.8,0.2639,3.1322,26.5443,23.9498,1080000000,N/A,5400000000,40000000,0,200000000,53.2191,12.5058,4.3271,76.1495,
002610.SZ,爱康科技,2011-08-24,8.6886,8.6886,8.8431,8.5148,8.5921,10002132,269462550.4,-0.0965,-1.1111,26.9405,25.0053,1068000000,N/A,5340000000,40000000,0,200000000,52.6278,12.3669,4.279,75.3033,
002610.SZ,爱康科技,2011-08-25,8.5921,8.5792,8.6532,8.3411,8.6017,7821141,206443290.3,0.0097,0.1124,26.3955,19.5529,1069200000,N/A,5346000000,40000000,0,200000000,52.6869,12.3808,4.2838,75.388,
002610.SZ,爱康科技,2011-08-26,8.6017,8.5406,8.8173,8.502,8.7272,8309957,224602460,0.1255,1.459,27.0281,20.7749,1084800000,N/A,5424000000,40000000,0,200000000,53.4556,12.5614,4.3463,76.4879,
