¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
002761.SZ,∂‡œ≤∞Æ,2015-06-10,N/A,9.5101,10.4691,9.5101,10.4691,11800,123563,N/A,N/A,10.4714,0.0393,314400000,N/A,1257600000,30000000,0,120000000,27.82,3.0685,1.8711,49.465,
002761.SZ,∂‡œ≤∞Æ,2015-06-11,10.4691,11.518,11.518,11.518,11.518,3400,39202,1.0489,10.0191,11.53,0.0113,345900000,N/A,1383600000,30000000,0,120000000,30.6073,3.3759,2.0586,54.4209,
002761.SZ,∂‡œ≤∞Æ,2015-06-12,11.518,12.6668,12.6668,12.6668,12.6668,7400,93832,1.1488,9.974,12.68,0.0247,380400000,N/A,1521600000,30000000,0,120000000,33.6601,3.7126,2.2639,59.8488,
002761.SZ,∂‡œ≤∞Æ,2015-06-15,12.6668,13.9355,13.9355,13.9355,13.9355,2600,36270,1.2687,10.0158,13.95,0.0087,418500000,N/A,1674000000,30000000,0,120000000,37.0314,4.0845,2.4907,65.8431,
002761.SZ,∂‡œ≤∞Æ,2015-06-16,13.9355,15.334,15.334,15.334,15.334,6900,105915,1.3985,10.0358,15.35,0.023,460500000,N/A,1842000000,30000000,0,120000000,40.7478,4.4944,2.7406,72.451,
002761.SZ,∂‡œ≤∞Æ,2015-06-17,15.334,16.8724,16.8724,16.8724,16.8724,13900,234771,1.5384,10.0326,16.89,0.0463,506700000,N/A,2026800000,30000000,0,120000000,44.8359,4.9453,3.0156,79.7197,
002761.SZ,∂‡œ≤∞Æ,2015-06-18,16.8724,18.5607,18.5607,18.5607,18.5607,9600,178368,1.6882,10.0059,18.58,0.032,557400000,N/A,2229600000,30000000,0,120000000,49.3221,5.4401,3.3173,87.6964,
002761.SZ,∂‡œ≤∞Æ,2015-06-19,18.5607,20.4187,20.4187,20.4187,20.4187,104808,2142275.5,1.8581,10.0108,20.44,0.3494,613200000,N/A,2452800000,30000000,0,120000000,54.2596,5.9847,3.6494,96.4755,
002761.SZ,∂‡œ≤∞Æ,2015-06-23,20.4187,22.4566,22.4566,22.4566,22.4566,41400,930672,2.0379,9.9804,22.48,0.138,674400000,N/A,2697600000,30000000,0,120000000,59.675,6.582,4.0136,106.1042,
002761.SZ,∂‡œ≤∞Æ,2015-06-24,22.4566,24.7043,24.7043,24.7043,24.7043,7500,185475,2.2477,10.0089,24.73,0.025,741900000,N/A,2967600000,30000000,0,120000000,65.6478,7.2408,4.4153,116.7241,
002761.SZ,∂‡œ≤∞Æ,2015-06-25,24.7043,27.1717,27.1717,27.1717,27.1717,29230,795056,2.4674,9.9879,27.2,0.0974,816000000,N/A,3264000000,30000000,0,120000000,72.2046,7.964,4.8563,128.3823,
002761.SZ,∂‡œ≤∞Æ,2015-06-26,27.1717,29.8889,29.8889,29.8889,29.8889,2006291,60028226.7,2.7172,10,29.92,6.6876,897600000,N/A,3590400000,30000000,0,120000000,79.425,8.7604,5.342,141.2206,
002761.SZ,∂‡œ≤∞Æ,2015-06-29,29.8889,30.9677,30.9677,26.902,26.902,15763762,446600141.9,-2.9869,-9.9933,28.3308,52.5459,807900000,N/A,3231600000,30000000,0,120000000,71.4878,7.8849,4.8081,127.1079,
002761.SZ,∂‡œ≤∞Æ,2015-06-30,26.902,24.2248,29.5892,24.2148,29.5892,15937742,424234010.5,2.6872,9.9889,26.6182,53.1258,888600000,N/A,3554400000,30000000,0,120000000,78.6287,8.6725,5.2884,139.8046,
002761.SZ,∂‡œ≤∞Æ,2015-07-01,29.5892,29.1696,32.5461,29.0198,31.1475,11745513,369701235.6,1.5584,5.2667,31.476,39.1517,935400000,N/A,3741600000,30000000,0,120000000,82.7698,9.1293,5.5669,147.1677,
002761.SZ,∂‡œ≤∞Æ,2015-07-02,31.1475,28.2705,33.9646,28.2705,31.1475,11428335,353460715.3,0,0,30.9285,38.0945,935400000,N/A,3741600000,30000000,0,120000000,82.7698,9.1293,5.5669,147.1677,
002761.SZ,∂‡œ≤∞Æ,2015-07-03,31.1475,28.9498,33.625,28.0308,30.9677,9410336,282689941.7,-0.1798,-0.5773,30.0404,31.3678,930000000,N/A,3720000000,30000000,0,120000000,82.292,9.0766,5.5348,146.3181,
002761.SZ,∂‡œ≤∞Æ,2015-07-06,30.9677,34.0645,34.0645,28.9698,32.8158,9632725,312689244,1.8481,5.9677,32.4611,32.1091,985500000,N/A,3942000000,30000000,0,120000000,87.203,9.6183,5.8651,155.05,
002761.SZ,∂‡œ≤∞Æ,2015-07-07,32.8158,29.9688,36.1024,29.5392,36.1024,9571569,301922477,3.2866,10.0152,31.5437,31.9052,1084200000,N/A,4336800000,30000000,0,120000000,95.9365,10.5815,6.4525,170.5786,
002761.SZ,∂‡œ≤∞Æ,2015-07-08,36.1024,32.4961,32.4961,32.4961,32.4961,932700,30340731,-3.6062,-9.9889,32.53,3.109,975900000,N/A,3903600000,30000000,0,120000000,86.3535,9.5246,5.808,153.5396,
002761.SZ,∂‡œ≤∞Æ,2015-07-09,32.4961,29.2495,35.7428,29.2495,35.7428,20449521,668178430.8,3.2466,9.9908,32.6745,68.1651,1073400000,N/A,4293600000,30000000,0,120000000,94.9809,10.4761,6.3882,168.8794,
