¥˙¬Î,ºÚ≥∆,»’∆⁄,«∞ ’≈Ãº€(‘™),ø™≈Ãº€(‘™),◊Ó∏ﬂº€(‘™),◊ÓµÕº€(‘™), ’≈Ãº€(‘™),≥…Ωª¡ø(π…),≥…ΩªΩ∂Ó(‘™),’«µ¯(‘™),’«µ¯∑˘(%),æ˘º€(‘™),ªª ÷¬ (%),Aπ…¡˜Õ® –÷µ(‘™),Bπ…¡˜Õ® –÷µ(‘™),◊‹ –÷µ(‘™),Aπ…¡˜Õ®π…±æ(π…),Bπ…¡˜Õ®π…±æ(π…),◊‹π…±æ(π…), –”Ø¬ , –æª¬ , –œ˙¬ , –œ÷¬ ,
002773.SZ,øµ∫Î“©“µ,2015-06-26,N/A,10.8636,13.0376,10.8636,13.0376,29100,564926,N/A,N/A,19.4133,0.0638,894216000,N/A,8738216000,45600000,0,445600000,31.9517,5.4898,5.2183,43.8025,
002773.SZ,øµ∫Î“©“µ,2015-06-29,13.0376,14.3407,14.3407,14.3407,14.3407,22100,476697,1.3031,9.9949,21.57,0.0485,983592000,N/A,9611592000,45600000,0,445600000,35.1453,6.0385,5.7399,48.1805,
002773.SZ,øµ∫Î“©“µ,2015-06-30,14.3407,15.7768,15.7768,15.7768,15.7768,21200,503076,1.4361,10.0139,23.73,0.0465,1082088000,N/A,10574088000,45600000,0,445600000,38.6647,6.6432,6.3147,53.0052,
002773.SZ,øµ∫Î“©“µ,2015-07-01,15.7768,17.3525,17.3525,17.3525,17.3525,10800,281880,1.5757,9.9874,26.1,0.0237,1190160000,N/A,11630160000,45600000,0,445600000,42.5263,7.3067,6.9454,58.299,
002773.SZ,øµ∫Î“©“µ,2015-07-02,17.3525,19.0877,19.0877,19.0877,19.0877,51800,1487178,1.7352,10,28.71,0.1136,1309176000,N/A,12793176000,45600000,0,445600000,46.7789,8.0374,7.6399,64.1289,
002773.SZ,øµ∫Î“©“µ,2015-07-03,19.0877,20.9958,20.9958,20.9958,20.9958,506474,15994448.9,1.9081,9.9965,31.58,1.1107,1440048000,N/A,14072048000,45600000,0,445600000,51.4552,8.8408,8.4036,70.5396,
002773.SZ,øµ∫Î“©“µ,2015-07-06,20.9958,23.0967,23.0967,23.0967,23.0967,594026,20636463.2,2.1009,10.0063,34.74,1.3027,1584144000,N/A,15480144000,45600000,0,445600000,56.6039,9.7255,9.2445,77.598,
002773.SZ,øµ∫Î“©“µ,2015-07-07,23.0967,25.4037,25.4037,22.1061,24.9716,32062909,1176980679.3,1.8749,8.1174,36.7085,70.3134,1712736000,N/A,16736736000,45600000,0,445600000,61.1987,10.5149,9.995,83.897,
002773.SZ,øµ∫Î“©“µ,2015-07-08,24.9716,22.4718,24.4663,22.4718,23.469,13665509,473105340.6,-1.5025,-6.017,34.6204,29.9682,1609680000,N/A,15729680000,45600000,0,445600000,57.5164,9.8822,9.3936,78.8489,
002773.SZ,øµ∫Î“©“µ,2015-07-09,23.469,23.2696,25.8159,23.2696,25.8159,4056956,153899025.8,2.3469,10,37.9346,8.8968,1770648000,N/A,17302648000,45600000,0,445600000,63.268,10.8705,10.3329,86.7338,
002773.SZ,øµ∫Î“©“µ,2015-07-10,25.8159,28.3955,28.3955,28.3955,28.3955,80038,3418423,2.5796,9.9923,42.71,0.1755,1947576000,N/A,19031576000,45600000,0,445600000,69.5899,11.9567,11.3654,95.4005,
002773.SZ,øµ∫Î“©“µ,2015-07-13,28.3955,31.2344,31.2344,31.2344,31.2344,87469,4109293.6,2.8389,9.9977,46.98,0.1918,2142288000,N/A,20934288000,45600000,0,445600000,76.5473,13.152,12.5017,104.9383,
002773.SZ,øµ∫Î“©“µ,2015-07-14,31.2344,34.3592,34.3592,34.3592,34.3592,685581,35430826.1,3.1248,10.0043,51.68,1.5035,2356608000,N/A,23028608000,45600000,0,445600000,84.2053,14.4678,13.7524,115.4366,
002773.SZ,øµ∫Î“©“µ,2015-07-15,34.3592,37.7964,37.7964,36.5665,37.7167,10567600,599723140.5,3.3575,9.7717,56.7511,23.1746,2586888000,N/A,25278888000,45600000,0,445600000,92.4336,15.8816,15.0962,126.7166,
002773.SZ,øµ∫Î“©“µ,2015-07-16,37.7167,33.947,41.2204,33.947,39.4918,13272561,744178823.8,1.7751,4.7065,56.069,29.1065,2708640000,N/A,26468640000,45600000,0,445600000,96.7839,16.629,15.8067,132.6806,
002773.SZ,øµ∫Î“©“µ,2015-07-17,39.4918,38.561,41.0209,35.5426,37.7632,10300220,589561228.2,-1.7286,-4.3771,57.2377,22.5882,2590080000,N/A,25310080000,45600000,0,445600000,92.5476,15.9012,15.1148,126.873,
002773.SZ,øµ∫Î“©“µ,2015-07-20,37.7632,35.895,37.7964,35.2368,35.8817,6594483,360751588.5,-1.8815,-4.9824,54.7051,14.4616,2461032000,N/A,24049032000,45600000,0,445600000,87.9365,15.1089,14.3618,120.5517,
002773.SZ,øµ∫Î“©“µ,2015-07-21,35.8817,34.6384,37.0319,34.3592,36.2806,4143797,225106256.2,0.3989,1.1117,54.3237,9.0873,2488392000,N/A,24316392000,45600000,0,445600000,88.9141,15.2769,14.5214,121.8919,
002773.SZ,øµ∫Î“©“µ,2015-07-22,36.2806,35.9083,39.9106,35.6889,39.9106,7329843,420469056.5,3.6301,10.0055,57.364,16.0742,2737368000,N/A,26749368000,45600000,0,445600000,97.8104,16.8054,15.9744,134.0878,
002773.SZ,øµ∫Î“©“µ,2015-07-23,39.9106,39.3588,43.8997,36.2341,43.8997,4508246,273671548.6,3.9891,9.995,60.7047,9.8865,3010968000,N/A,29422968000,45600000,0,445600000,107.5866,18.4851,17.571,147.4899,
002773.SZ,øµ∫Î“©“µ,2015-07-24,43.8997,46.3862,48.2877,44.538,45.748,6926704,491117408.3,1.8483,4.2102,70.902,15.1901,3137736000,N/A,30661736000,45600000,0,445600000,112.1162,19.2634,18.3108,153.6995,
002773.SZ,øµ∫Î“©“µ,2015-07-27,45.748,43.8864,48.2611,41.1739,41.1739,5830488,392922235.4,-4.5741,-9.9985,67.391,12.7862,2824008000,N/A,27596008000,45600000,0,445600000,100.9062,17.3373,16.48,138.3318,
002773.SZ,øµ∫Î“©“µ,2015-07-28,41.1739,37.0585,42.5501,37.0585,38.7605,6656144,383759878.6,-2.4134,-5.8615,57.655,14.5968,2658480000,N/A,25978480000,45600000,0,445600000,94.9917,16.3211,15.514,130.2235,
